,ID,Strategy,Progress,Strategy_Label,problem,class,admin,age,sex,zone,gang,family,other,risk
4878,Newton 2-23-244-1,refer client to hopics trc core program. trauma counseling services.,A Little progress,get mentored for school/work,Client has explained trauma within the last 6 months. ,face spme kind of problem,intake,18.0,2,13.0,,-1.495003523,,3.075184441
4908,Newton 2-23-245-1,team will refer client to our in house classes that are facilitated by voa staff. ,Task/Service successfully completed,get mentored for school/work,Client needs assistance with an anger management workshops per probation officer.,"id, work related isssues",intake,17.0,1,13.0,,-0.785711411,-2.544035912,2.231918191
4940,Newton 2-23-247-1,client has been assessed and referred to hopics trauma group. cm will also provide client with individual counseling services. ,Excellent progress,get mentored for school/work,Open DPSF case. Client needed individual counseling services. ,face spme kind of problem,intake,23.0,2,13.0,,-1.940588274,,-2.378043347
4948,Newton 2-23-248-1,enroll client in community service program at voa. cm will monitor client progress in completing community services hours,A Little progress,get mentored for school/work,Client has probation requirement of competing 100 hours of community service.,face spme kind of problem,intake,14.0,2,13.0,,1.57527814,,1.6622372069999998
4960,Newton 2-23-249-1,enroll client in community service program here at voa,Task/Service successfully completed,get mentored for school/work,Client has 100 hours of community service ,face spme kind of problem,intake,15.0,1,13.0,,2.800492042,,0.350397078
4970,Newton 2-23-253-1,cm will provide anger management workshops.,Task/Service successfully completed,developmental asset,Client is committed through probation to complete Anger Management Workshops.,face spme kind of problem,intake,14.0,1,13.0,,-2.382595806,-1.87474958,0.305132517
4972,Newton 2-23-256-1,client will start his community service hrs in house and continue until he completes all required hours.,Task/Service successfully completed,get mentored for school/work,Client is currently on probation and needs assistance completing his community service hours.  ,"id, work related isssues",intake,15.0,1,13.0,,3.952751278,-0.292443789,0.093294411
4990,Newton 2-23-257-1,"cm will provide anger management workshops, and continue to contact client for all up coming appointments and sessions to keep client active and involved in our program.",Task/Service successfully completed,developmental asset,Client must complete probation requirement's. Client as to complete Anger Management workshops. Client will commit to twice a week workshops to complete classes.,face spme kind of problem,intake,15.0,2,13.0,,1.217457779,-2.309248262,-0.46478095
4992,Newton 2-23-258-1,"create/update resume, provide client with job leads, have client register with edd office. (cal-jobs)",A Little progress,developmental asset,Homeless. was staying in the park but have now been placed in a room. Family shares a house with other family. Client is not sure how long she will be able to stay there.,face spme kind of problem,intake,23.0,2,13.0,0.8801641440000001,0.533631569,,8.065683956
5038,Newton 2-23-263-1,enrolled client in community service program here at voa. ,Some progress,get mentored for school/work,100 hours of community service,face spme kind of problem,intake,18.0,1,13.0,,-1.5029154809999998,,5.539239351
5046,Newton 2-23-266-1,cm will provide substance abuse & anger management workshops.,Task/Service successfully completed,substance abuse/anger management/life skill,"Client needs to complete probation requirements, and has conditions.","id, work related isssues",intake,14.0,2,13.0,,5.328618934,-1.278591343,-2.956039882
5054,Newton 2-23-272-1,clients strategy plan will be to commit to program activities to complete probation requirements. ,Task/Service successfully completed,get mentored for school/work,"Client is currently on probation for Robbery, clients probation requirements our to complete requirements to get off probation.",face spme kind of problem,intake,16.0,1,13.0,-4.865234095,2.317483444,-1.613977437,-1.7497509569999998
5072,Newton 2-23-274-1,team will assist client meet all requirements in order to terminate his probation. ,Task/Service successfully completed,get mentored for school/work,Client is currently on probation an needs assistance meeting all requirements.,"id, work related isssues",intake,17.0,1,13.0,,2.821135623,-4.131313733,2.006556808
5104,Newton 2-23-276-1,team will refer client to our in house anger management classes.,Task/Service successfully completed,substance abuse/anger management/life skill,Client is Currently on probation and part of her requirement is to complete Anger Management classes. ,face spme kind of problem,intake,16.0,2,13.0,,-0.603370179,-2.451139149,0.777544855
5128,Newton 2-23-278-1,team will assist client fulfill his probation obligations at our voa site. ,Task/Service successfully completed,get mentored for school/work,Probation. Assistance meeting his probation requirements. ,face spme kind of problem,intake,17.0,1,13.0,,-4.477618659,,-1.707106756
5146,Newton 2-23-279-1,team will referred client to all our in house services in order to terminate his probation.,Task/Service successfully completed,get mentored for school/work,Client is currently on probation an needs assistance meeting all requirements.,"id, work related isssues",intake,18.0,1,13.0,,3.0081585580000003,-2.190731672,0.5892868
5198,Newton 2-23-286-1,cm will facilitate anger management workshops for client. cm will make sure client attends all workshops needed to complete services as directed through cm.,Task/Service successfully completed,get mentored for school/work,Client is in need of Anger Management workshops. ,anger related issues,intake,24.0,2,13.0,,2.7419599580000003,-1.910313468,-4.112032952
5216,Newton 2-23-287-1,cm will implement a plan 1x a week for client to come into office for individual counseling services that cm will provide client. cm will via phone client for a friendly reminder to come into office for sessions being conducted at voala. ,Task/Service successfully completed,get mentored for school/work,Client is in need of individual counseling services. ,anger related issues,intake,16.0,1,13.0,,-2.723464815,-0.495883057,-3.642910686000001
5266,Newton 2-23-290-1,team will find ways to get client into an emergency shelter through our volunteers of america program. ,Task/Service successfully completed,get mentored for school/work,Client needs assistance finding housing,"id, work related isssues",intake,20.0,1,13.0,,-15.11534856,-2.851195133,-1.042777485
5278,Newton 2-23-291-1,cm will refer client to in house workshops.,Task/Service successfully completed,get mentored for school/work,Client needs Life skills workshops. Client has issues in regards to the Loss of her brother.,"id, work related isssues",intake,19.0,2,13.0,,0.286266206,-1.731250231,-4.329781489
5291,Newton 2-23-310-1,team will advise client to re-enroll back into school and continue her education.,Task/Service successfully completed,get mentored for school/work,Client needs to go back to school to obtain her High school diploma.,"id, work related isssues",intake,18.0,2,13.0,,1.927592177,-3.0848615930000003,-3.24503815
5349,Northeast-20-10-3,ciw will take the clt to dmv to obtain id,Good progress,get mentored for school/work,Client needs ID,"id, work related isssues",intake,24.0,2,14.0,-2.97720487,,,2.798127608
5351,Northeast-20-18-3,cm will assist clt in finding comunity services to please the court,A Little progress,get mentored for school/work,Court expectations: including community service must be completed.,face spme kind of problem,intake,21.0,1,14.0,1.498426732,-0.526628067,,3.470618112
5357,Northeast-20-123-2,provide clt with therapy referral.,No progress,developmental asset,CLT struggles with depression.,anger related issues,intake,22.0,2,14.0,-3.553557374,0.074541562,,-0.195034144
5375,Northeast-20-130-3,gryd will assist clt at the social security office.,Task/Service successfully completed,get mentored for school/work,Fix name on social security card,face spme kind of problem,intake,20.0,2,14.0,-5.709360291,-2.205938817,,-2.378043347
5379,Northeast-20-162-3,will assist clt clear his vandalism court ticket by referring him to places where he can complete his community service hours.,N/A - not applicable to this phase,get mentored for school/work,CLT received a vandalism ticket from the court.,anger related issues,intake,15.0,1,14.0,,,,5.419066182000001
5395,Northeast-20-222-2,client is in need of encouragement and guidance ,Some progress,get mentored for school/work,Client currently on probation. Struggles with self motivation and commitment ,face spme kind of problem,intake,19.0,1,14.0,-1.827756398,-0.7364349590000001,-4.439352083,1.338755971
5397,Northeast-20-226-2,introduce clt to alternative social circles.,Some progress,get mentored for school/work,CLT is still associated with the community. ,anger related issues,intake,19.0,1,14.0,0.583856766,2.8983197080000003,4.9368723910000005,-2.884790151
5407,Northeast-20-228-2,cm will provide clt with substance abuse referrals.,No progress,substance abuse/anger management/life skill,CLT struggles with substance abuse.,anger related issues,intake,20.0,1,14.0,3.165996121,2.876853842,-0.872806805,1.920224073
5417,Northeast-20-243-2,cm will refer clt to new social circles.,Good progress,get mentored for school/work,CLT still associates with the community.,anger related issues,intake,21.0,1,14.0,0.17663846100000002,0.20013322100000006,0.456063858,2.654770372
5425,Northeast-20-249-2,provide referral to therapy.,N/A - not applicable to this phase,developmental asset,CLT struggles with depression.,anger related issues,intake,18.0,1,14.0,2.651920405,1.5099068409999998,0.7094989859999999,-0.648195021
5446,Northeast-20-268-2,encourage clt to be consistent with attendance.,A Little progress,get mentored for school/work,Improve school grades,face spme kind of problem,intake,18.0,2,14.0,-1.16042904,-7.220686633,,5.191112369
5464,Northeast-20-269-2,cm will provide mentoring and have client participate in positive programs and activities such as yes which client will enjoy due to his passion for tagging and art,N/A - not applicable to this phase,developmental asset,"Client in need of school support, needs encouragement and mentoring",anger related issues,intake,17.0,1,14.0,3.0989398460000004,-5.752808889,-3.421491482,6.741660726
5472,Northeast-20-284-2,cm guided client through creating a cover letter. ,Good progress,get mentored for school/work,"Lacks job readiness preparation- CM will assist client in preparing client for interviews and with work etiquette.


",face spme kind of problem,intake,18.0,2,14.0,2.765501871,2.815828672,1.392338159,-1.116466081
5481,Northeast-20-292-1,cm will assist clt in enrolling into ged or high school diploma equivalent program.,Some progress,get mentored for school/work,CLT did not graduate from high school.,anger related issues,intake,22.0,1,14.0,1.17440431,4.693806941,3.665576662,-2.069793619
5489,Northeast-20-294-2,cm has guided client through employment applications. ,Excellent progress,get mentored for school/work,Client is homeless,face spme kind of problem,intake,20.0,2,14.0,,6.472930318,4.958883438,-2.612422985
5498,Northeast-20-297-2,cm will provide school support ,A Little progress,developmental asset,Client is behind on school credits ,face spme kind of problem,intake,15.0,1,14.0,-1.170755905,-1.304920575,,8.026845221
5525,Northeast-20-303-1,cm will assist clt in enrolling into school.,N/A - not applicable to this phase,get mentored for school/work,CLT dropped out of High School.,anger related issues,intake,21.0,1,14.0,0.351872429,0.711914875,,2.818932982
5542,Northeast-20-306-1,cm will offer assistance in communicating with transitional housing staff to follow up on process.,A Little progress,get mentored for school/work,CLT and family are living in transitional housing awaiting for their own place through section 8.,anger related issues,intake,17.0,1,14.0,4.551820406,-1.185062176,,4.6843383880000005
5560,Northeast-20-308-1,cm has provided client with assistance in receiving food vouchers. ,Task/Service successfully completed,developmental asset,Client is in financial hardship.,face spme kind of problem,intake,14.0,1,14.0,4.967133982,2.615461074,,6.483701038
5592,Rampart 1-12-391-2,participant will be referred to substance abuse groups or na ,N/A - not applicable to this phase,substance abuse/anger management/life skill,Participant showed case manager that he has issues with focusing on daily task. ,face spme kind of problem,intake,18.0,1,17.0,-3.743100011,-1.7665401790000002,-1.390377644,1.178707463
5689,Rampart 1-12-518-1,his substance abuse when he is stressing,Good progress,substance abuse/anger management/life skill,Participants has problem managing his time. ,face spme kind of problem,intake,17.0,1,17.0,-8.583600888,0.52034793,,6.42198687
5731,Rampart 1-12-531-2,"follow ups, individual meetings",Some progress,get mentored for school/work,Anger Problems,need something,intake,18.0,2,17.0,-1.094448458,-7.389530441000002,2.28558895,3.326530993
5795,Rampart 1-12-536-1,client continues to do her tutoring and to do better for herself.,Good progress,get mentored for school/work,wants to build a relationship with father who has not been part of her life.,face spme kind of problem,intake,14.0,2,17.0,,-2.012250824,,-2.667041615
6163,Southeast 2-20-85-1,cm referred clt to work source to get guard card so that he can get a security job. ,Task/Service successfully completed,get mentored for school/work,In need of Guard Card to get hired as a Security Guard. ,anger related issues,intake,20.0,1,20.0,1.315312808,0.748388576,-0.06150698,-0.7471718970000001
6165,Southeast 2-20-127-1,refer her to work ready program,Some progress,get mentored for school/work,Clt problem is keeping a job,anger related issues,intake,23.0,2,20.0,0.340225282,0.726827879,,3.48170834
6204,BVCB-0-88-3,client has engaged employment counseling services. receives job leads and assitance with employment search from cm/ciw,Good progress,job readiness,client requested assistance with job search,"id, work related isssues",intake,21.0,1,22.0,-7.531817903999999,-0.046885205,,-3.299293789
6275,BVCB-0-129-2,client received referral to dmh to access counseling services. client works closely with cm/ciw to maintain compliance,Good progress,get mentored for school/work,Client has open custody case with DCFS,face spme kind of problem,intake,24.0,1,22.0,-0.433271805,-0.72820841,,-2.416519092
6359,BVCB-0-158-3,client receives weekly emails in addition to one on one assistance with job applications and referrals,A Little progress,get mentored for school/work,CLIENT REQUESTED ASSISTANCE WITH EMPLOYMENT SEARCH,gang related issues,intake,24.0,2,22.0,2.821278234,0.8452686640000001,,9.985345001
6399,BVCB-0-192-4,client has engaged cm/ciw for employment counseling services,Some progress,job readiness,CLIENT IS IN NEED OF MENTORING FROM CM/CIW TO NAVAGATE INTERPERSONAL RELATIONSHIPS AND AVOID PROBLEMS WITH STREET AFFILIATIONS,face spme kind of problem,intake,20.0,2,22.0,1.6614819369999998,1.28403252,-6.790298855,-3.193891087
6405,BVCB-0-192-5,cm/ciw maintain contact with client to provide advice during times of stress,Excellent progress,job readiness,CLIENT REQUESTED ASSITANCE WITH EMPLOYMENT SEARCH,gang related issues,intake,21.0,2,22.0,1.799441887,0.33791001,,-2.936788421
6429,BVCB-0-222-2,client works continuously with cm/ciw on employment search,Excellent progress,get mentored for school/work,Unemployed and seeking permanent housing,face spme kind of problem,intake,25.0,1,22.0,-1.249244012,0.257893916,,-2.830353017
6435,BVCB-0-225-3,client has engaged cm/ciw to receive employment counseling services,Good progress,job readiness,CLIENT REQUESTED ASSISTANCE WITH EMPLOYMENT SEARCH ,gang related issues,intake,23.0,1,22.0,,0.130734099,,4.831715579
6459,BVCB-0-235-3,client maintains contact with cm/ciw to receive advice during times of stress,Good progress,job readiness,CLIENT REQUIRES CONSISTENT CONTACT FROM CM/CIW TO NAVAGATE INTERPERSONAL RELATIONSHIPS AND AVOID POTENTIAL PROBLEMS WITH STREET AFFILIATIONS ,face spme kind of problem,intake,21.0,1,22.0,,-0.51919311,,10.39951474
6467,Southwest 1-15-238-1,client works continuously with cm/ciw on employment search. receives job leads and resume assistance,Task/Service successfully completed,get mentored for school/work,Unemployed,face spme kind of problem,intake,22.0,1,22.0,,4.516792682,3.148247884,-2.272459151
6479,Southwest 1-15-260-2,"client engaged cm/ciw to access employment counseling services. job leads, resume, transportation assistance",Excellent progress,job readiness,Client is on probation seeking employment,gang related issues,intake,20.0,1,22.0,-0.007315064,-5.051776951,,1.451771518
6497,Southwest 1-15-269-1,client maintains consistent contact with cm/ciw to remain in compliance and engaged in programming,Excellent progress,get mentored for school/work,client is on probation for multiple absences and fighting.,face spme kind of problem,intake,25.0,2,22.0,2.430068576,7.436289276,1.429387903,-1.062028946
6581,Southwest 1-15-270-2,client referred to amazon warehouse for employment,Task/Service successfully completed,get mentored for school/work,CLIENT REQUESTED ASSISTANCE WITH EMPLOYMENT SEARCH,gang related issues,intake,20.0,1,22.0,,5.697018515,1.893749111,-2.143482214
6605,Southwest 1-15-271-2,client found employment with panera bread,Task/Service successfully completed,get mentored for school/work,CLIENT REQUESTED ASSISTANCE WITH EMPLOYMENT SEARCH,gang related issues,intake,20.0,2,22.0,,5.041909493,2.511553728,-0.878614875
6668,Southwest 1-15-288-2,"client works closely with cm/ciw to engage employment counseling services. resume; online job search, etc.",Good progress,get mentored for school/work,CLIENT REQUESTED ASSISTANCE WITH EMPLOYMENT SEARCH,gang related issues,intake,21.0,2,22.0,,3.587105932,0.705648145,-1.986750955
6691,Southwest 1-15-289-1,assist client with employment search. help set up accounts on monster.com and other employer websites.,Some progress,get mentored for school/work,CLIENT IS SEEKING ASSISTANCE WITH EMPLOYMENT SEARCH,gang related issues,intake,23.0,2,22.0,4.0627982110000005,3.452257814,4.254033217,3.0886797880000003
6811,Southwest 1-15-290-1,client worked with cm on resume and received various job leads from cm/ciw,Task/Service successfully completed,get mentored for school/work,CLIENT IS IN NEED OF ASSISTANCE WITH EMPLOYMENT SEARCH,gang related issues,intake,24.0,2,22.0,,2.867472658,,1.3546901830000002
7240,Southwest 1-15-296-2,cm provided client with ca id waiver,Task/Service successfully completed,developmental asset,CLIENT IS ON PROBATION,face spme kind of problem,intake,17.0,2,22.0,1.882473389,4.984342379,1.512582665,1.217210385
7280,Southwest 1-15-298-1,client receives emloyment counseling and job leads for the summer.,Good progress,get mentored for school/work,CLIENT REQUIRES MENTORING AND MOVITVATIONAL NUDGES TO MAINTAIN MOMEMTUM ACHEIVING POSITIVE GOALS. CLIENT BEHAVIOR TOWARD AUTHORITY FIGURES REQUIRES MENTORING AND CHECKS,face spme kind of problem,intake,17.0,2,22.0,1.611404871,5.571737717,0.375598748,3.220095589
7304,Southwest 1-15-301-2,client works consistently with cm/ciw to engage employment counseling services. regularly receives job leads and assistance with employment applications. resume writing,Excellent progress,get mentored for school/work,CLIENT REQUESTED ASSISTANCE WITH EMPLOYMENT SEARCH,gang related issues,intake,25.0,2,22.0,3.635930159,0.7404201340000001,1.486356112,4.876282497
7372,Southwest 1-15-304-3,cm assited client with draft of resume. client received job leads and general assistance with employment search as needed,Some progress,get mentored for school/work,CLIENT REQUESTED ASSISTANCE WITH EMPLOYMENT SEARCH AND RESUME,gang related issues,intake,17.0,2,22.0,,-3.608811142,,1.550775571
7408,Southwest 1-15-305-2,cm maintains consistent contact with client to provide advice during times of stress ,Good progress,job readiness,CLIENT REQUIRES CONSISTENT CONTACT WITH CM TO NAVAGATE INTERPERSONAL RELATIONSHIPS AND AVOID POTENTIAL PROBLEMS WITH STREET AFFILIATIONS,face spme kind of problem,intake,31.0,1,22.0,1.77357874,0.350633801,,4.157488915
7432,Southwest 1-15-308-3,cm/ciw maintain consistent contact with client to give advice during times of stress,Good progress,job readiness,CLIENT REQUIRES CONSISTENT CONTACT WITH CM/CIW TO NAVAGATE INTERPERSONAL RELATIONSHIPS AND AVOID POTENTIAL PROBLEMS WITH STREET AFFILIATIONS,face spme kind of problem,intake,17.0,2,22.0,,-2.060526227,,11.96483165
7444,Southwest 1-15-311-2,client has enrolled in dorsey high school. he keeps in touch with ciw to navagate potentially negative situations,Good progress,get mentored for school/work,CLIENT NEEDS TO COMPLETE HIGH SCHOOL DIPLOMA,"id, work related isssues",intake,14.0,1,22.0,,6.898061125,1.829443887,0.562235183
7468,Southwest 1-15-312-1,cloent recieves mentoring and support from staff as part of program plan,A Little progress,get mentored for school/work,CLIENT REQUESTED ASSISTANCE WITH EMPLOYMENT SEARCH,gang related issues,intake,17.0,1,22.0,1.378509222,0.225910606,3.028003378,5.003190127
7474,Southwest 1-15-314-2,client received assistance with resume and referral to employers to facilitate jo search,Task/Service successfully completed,get mentored for school/work,CLIENT REQUESTED ASSISTANCE WITH JOB SEARCH,"id, work related isssues",intake,23.0,1,22.0,0.09791408,0.464191856,,6.2493213989999985
7530,Southwest 1-15-316-2,cm has assisted client with resume and employment search,Good progress,get mentored for school/work,CLIENT REQUESTED ASSISTANCE WITH EMPLOYMENT SEARCH,gang related issues,intake,24.0,1,22.0,1.831679367,2.339475213,,8.021117037
7680,Southwest 1-15-320-2,ciw maintains contact with client family and community in efforts to assist client. cm and ciw discuss strategy and engage as needed,Some progress,get mentored for school/work,CLIENT REQUIRES CONSISTENT MENTORING/MONITORING FROM CIW/CM TO NAVIGATE INTERPERSONAL RELATIONSHIPS AND AVOID POTENTIAL PROBLEMS WITH STREET AFFILIATIONS,face spme kind of problem,intake,17.0,1,22.0,,-1.2179601290000002,-0.240720014,5.85544164
7710,Southwest 1-15-322-2,"client miw maintains contact with client, mother, and friends to assess his progress. client regularly engages ciw/cm to keep them up to date on day to day life",Some progress,get mentored for school/work,CLIENT REQUIRES CM/CIW SUPPORT TO NAVIGATE INTERPERSONAL RELATIONSHIPS AND AVOID POTENTIAL PROBLEMS WITH STREET AFFILIATIONS,face spme kind of problem,intake,24.0,1,22.0,,2.731710723,,-4.545091161
7767,Southwest 1-15-334-2,cm/ciw maintain consistent contact with client to provide advice during times of stress,Good progress,job readiness,CLIENT REQUIRES CONSITENT CONTACT WITH CM/CIW TO NAVAGATE INTERPERSONAL RELATIONSHIPS AND AVOID POTENTIAL PROBLEMS WITH STREET AFFILIATIONS,face spme kind of problem,intake,20.0,1,22.0,1.987263587,-0.182726512,,5.168570837
7783,Southwest 1-15-346-2,client maintains contact with cm/ciw to engage advice and avoid crisis situations,Some progress,get mentored for school/work,CLIENT REQUIRES CONSISTENT CONTACT AND MONITORING FROM CM/CIW TO NAVAGATE INTERPERSONAL RELATIONSHIPS AND AVOID POTENTIAL PROBLEMS WITH STREET AFFILIATIONS,face spme kind of problem,intake,17.0,1,22.0,1.895972433,1.080055963,,7.046620383
7786,Southwest 1-15-348-3,client has engaged cm/ciw to receive employment counseling services,Some progress,job readiness,CLIENT HAS REQUESTED ASSISTANCE IN EMPLOYMENT SEARCH,gang related issues,intake,21.0,2,22.0,,0.41284654,,2.189789384
7798,Southwest 1-15-349-2,client maintains consistent contact with cm/ciw to receive advice in times of stress,Some progress,job readiness,CLIENT REQUIRES CONSISTENT CONTACT WITH CM/CIW TO NAVAGATE INTERPERSONAL RELATIONSHIPS AND AVOID POTENTIAL PROBLEMS WITH STREET AFFILIATIONS,face spme kind of problem,intake,19.0,2,22.0,,0.8109561120000001,,1.522170042
7846,Southwest 1-15-350-2,cm/ciw mainitor client and maintain contact to mentor client and ensure compliance with p.o.,Some progress,get mentored for school/work,CLIENT IS ON PAROLE. ,face spme kind of problem,intake,28.0,1,22.0,-1.717233482,4.008065249,0.8847113809999999,-0.60122223
7894,Southwest 1-15-352-2,client has engaged cm/ciw to receive employment counseling services,Good progress,job readiness,CLIENT REQUESTED ASSISTANCE WITH EMPLOYMENT SEARCH,gang related issues,intake,33.0,2,22.0,4.701212187,,,4.313363152
7984,Southwest 1-15-355-2,client has engaged cm/ciw to access employment counseling services,Some progress,job readiness,CLIENT REQUESTED ASSISTANCE WITH EMPLOYMENT SEARCH,gang related issues,intake,18.0,2,22.0,,,,4.649152715
8050,Southwest 1-15-366-2,cm/ciw maintain consistent contact with client to provide advice during times of stress,Some progress,job readiness,CLIENT REQUIRES CONSISTENT CONTACT WITH CM/CIW TO NAVAGATE INTERPERSONAL RELATIONSHIPS AND AVOID POTENTIAL PROBLEMS WITH STREET AFFILIATIONS,face spme kind of problem,intake,16.0,2,22.0,,0.884536027,,7.84254695
8070,Southwest 1-15-374-2,client maintains consistent contact with cm/ciw to receive advice during times of stress,Good progress,job readiness,CLIENT REQUIRES CONSISTENT CONTACT FROM CM/CIW TO NAVAGATE INTERPERSONAL RELATIONSHIPS AND AVOID POTENTIAL PROBLEMS WITH STREET AFFILIATIONS,face spme kind of problem,intake,26.0,1,22.0,,-3.278011834,,10.53160025
8078,Southwest 1-15-375-2,cm/ciw maiantain consistent contact with client to provide advice during times of stress,Some progress,job readiness,CLIENT REQUIRESE CONSISTENT CONTACT FROM CM/CIW TO NAVAGATE INTERPERSONAL RELATIONSHIPS AND AVOID POTENTIAL PROBLEMS WITH STREET AFFILIATIONS,face spme kind of problem,intake,16.0,1,22.0,,1.550116497,,10.2968848
8120,Southwest 1-15-381-2,client engaged cm/ciw to receive employment counseling,Good progress,job readiness,CLIENT REQUESTED ASSISTANCE WITH EMPLOYMENT SEARCH,gang related issues,intake,20.0,1,22.0,,-0.356734585,,-5.196776292
8128,Southwest 1-15-384-2,client has engaged cm/ciw to receive employment counseling,Excellent progress,job readiness,CLIENT REQUESTED ASSISTANCE WITH EMPLOYMENT SEARCH,gang related issues,intake,22.0,1,22.0,,,2.229499871,0.366176972
8136,Southwest 1-15-387-2,client has engaged cm/ciw to receive employment counseling services,Some progress,job readiness,CLIENT REQUESTED ASSISTANCE WITH EMPLOYMENT SEARCH,gang related issues,intake,21.0,1,22.0,-0.536302775,0.038292316,,-5.485774558999998
8166,Southwest 1-15-393-2,client maintains client consistent contact with cm/ciw to receive advice during times of stress,Some progress,job readiness,CLIENT REQUIRES CONSISTENT CONTACT FROM CM/CIW TO NAVAGATE INTERPERSONAL ELATIONSHIPS AND AVOID POTENTIAL PROBLEMS WITH STREET AFFILIATIONS,face spme kind of problem,intake,16.0,2,22.0,,1.424642117,-0.371031187,4.141527526
8174,Southwest 1-15-397-2,cm/ciw maintain contact with client to provide advice during times of stress,Good progress,job readiness,CLIENT REQUIRES CONSISTENT CONTACT WITH CM/CIW TO NAVAGATE INTERPERSONAL RELATIONSHIPS AND AVOID POTENTIAL PROBLEMS WITH STREET AFFILIATIONS,face spme kind of problem,intake,16.0,2,22.0,,2.585214307,-0.7022017740000001,1.849644054
8182,Southwest 1-15-398-2,client has engaged cm/ciw to receive employment counseling services,Some progress,job readiness,CLIENT REQUESTED ASSISTANCE WITH EMPLOYMENT SEARCH,gang related issues,intake,24.0,2,22.0,2.746599053,1.883556707,,1.205604763
8190,Southwest 1-15-402-2,client engaged cm/ciw to receive employment cousneling,Some progress,job readiness,CLIENT REQUESTD ASSISTANCE WITH EMPLOYMENT SEARCH,gang related issues,intake,22.0,2,22.0,,1.289293706,,-4.564342622
8203,Southwest 2-23-10-1,assist client with obtaining employment.,Excellent progress,get mentored for school/work,Participant is seeking individual consoling and domestic violence classes that are required by court due to her DCFS. Case Managers referred client to HOPICS.,face spme kind of problem,intake,21.0,2,23.0,-1.6139489059999998,-0.414457529,,5.31195525
8223,Southwest 2-23-34-2,client is encourage to enroll into a drug class and that she will also enroll in a life skill class.,Task/Service successfully completed,substance abuse/anger management/life skill,client smokes marijuana and it has affected client ability to stay focus in school as well as at home.,face spme kind of problem,intake,17.0,2,23.0,,-6.443829496,,-1.511048545
8225,Southwest 2-23-35-3,client is currently in school.,Excellent progress,get mentored for school/work,client seek to complete here education plan in need of GED or high school diploma currently attending high school.,face spme kind of problem,intake,18.0,2,23.0,,2.22288335,,-2.092335151
8233,Southwest 2-23-48-2,client is seeing his family and state mental health counselor and has been improving on his behavior and education approach in school setting also client is doing one on one impact session with ciw and case manager from gryd.,Task/Service successfully completed,get mentored for school/work,client is a special education disorder student that causes him to think slower then some of his friends and peers. ,face spme kind of problem,intake,16.0,2,23.0,,-0.738669755,,-1.800046812
8241,Southwest 2-23-52-2,support client with self empowerment classes. teach client to feel confident in himself and say no to what goes against his beliefs ,Task/Service successfully completed,get mentored for school/work,CM and CIW identified that the barrier is when client walks home after school client gets curious about the negative crowd that hangs out in the area.,face spme kind of problem,intake,17.0,1,23.0,,-3.1929660710000003,,-2.956039882
8251,Southwest 2-23-55-2,i want to utilize clients awareness that that is not the life he wants for his self and we will be having client attend self empowering and self awareness classes.,Task/Service successfully completed,get mentored for school/work,client live in a area of violence and client is constantly being bullied or encourage to be apart of his environment and community.,face spme kind of problem,intake,15.0,1,23.0,,-3.563919167,,-2.378043347
8261,Southwest 2-23-58-2,client is being referral to see a mental health counselor to address client behavior and to see how can we help family with giving client a solution to his hyper ness. ,Task/Service successfully completed,get mentored for school/work,"client is very hyper and always seem to find himself getting into trouble with peers family and friends. impulsive and talks back, leads to arguments ",face spme kind of problem,intake,15.0,1,23.0,,-0.008353722,,-1.119756152
8271,Southwest 2-23-61-2,ciw with the team and case manager are recommending client attend a drug awareness workshop class.,Excellent progress,get mentored for school/work,Participant has a marijuana problem that cause participant to lose focus and pay less attention to education opportunity.,face spme kind of problem,intake,16.0,2,23.0,,0.448895635,,0.273236916
8277,Southwest 2-23-65-2,gang awareness life skills workshops will be provided,Task/Service successfully completed,substance abuse/anger management/life skill,Client hangs out with gang members and is a risk of becoming active.. ,face spme kind of problem,intake,16.0,2,23.0,,-3.476149012,-1.774515801,-2.378043347
8285,Southwest 2-23-67-2,participant has receive her own apartment after being in a young adult women with child care cottage. participant is currently under supper vision of the gryd and care cottage family to case manage participant progress and agreement of fulfilling her dcfs court order. ,Task/Service successfully completed,get mentored for school/work,client lives in a women's and children transitional shelter and is ready to get a job and move out with her daughter. ,face spme kind of problem,intake,22.0,2,23.0,,,,-1.312524292
8293,Southwest 2-23-75-1,ciw has been mentoring client and have been able to do impact session with client and other clients to give participant a opportunity to speak and communicate with other peers his age and to open up about any thing clients have been face with growing up and had to deal with living in his communities,Excellent progress,get mentored for school/work,"Client has low self esteem issues, client is shallow with communication and needs to build up self esteem. Client seems to be in a shell.",face spme kind of problem,intake,16.0,1,23.0,,3.4052182460000004,,-3.5884735510000003
8295,Southwest 2-23-76-1,client will attend gang awareness classes.,Task/Service successfully completed,substance abuse/anger management/life skill,Client is a 14 year old who lives in the GRYD area and has family members that are active due to being clients family members client is at risk in being influenced. ,face spme kind of problem,intake,14.0,1,23.0,,-0.276053893,0.907601557,-3.353912418
8297,Southwest 2-23-77-2,client is currently attending school seeking a high school diploma.,Excellent progress,get mentored for school/work,client education is the main focus and strategy to her being successful in life,face spme kind of problem,intake,13.0,2,23.0,,2.457543268,,-3.5917636230000003
