GRYD_ETO_ID,S6b_Other_Activities,S11a_Comments,A1_Description,A2_Description,A3_Description,O1_other_group_name,Group_name_part1,PUSH_1,PULL_1,text_all,Emotion
77th 1-16-74-1,Life Skills,Trust issue me and mom,School,,,No other group,Homies,Trust,School,"77th 1-16-74-1,Life Skills,Trust issue me and mom,School,No other group,Homies,Trust,School",joy
Hollenbeck 2-20-46-2,,Life,Work,,,No other group,Brothers,No,No,"Hollenbeck 2-20-46-2,Life,Work,No other group,Brothers,No,No",joy
CPHBRE-0-96-1,"Working, going to school, and taking classes in order to work on my anger",Getting locked up,,,regular friends,Friends,Bro's,I'm tired of being in jail. I keep going back as soon as I get out.,I have a job now.,"CPHBRE-0-96-1,Working, going to school, and taking classes in order to work on my anger,Getting locked up,regular friends,Friends,Bro's,I'm tired of being in jail. I keep going back as soon as I get out.,I have a job now.",fear
Southwest 1-15-280-1,Valuable work experience,Close friend was killed,,,,No other group,Group,Being more involved in my son's life,Working a labor intensive job,"Southwest 1-15-280-1,Valuable work experience,Close friend was killed,No other group,Group,Being more involved in my son's life,Working a labor intensive job",sadness
Harbor-21-182-1,,"Family, broken family",School friends,,,Friends,Friends,"Yes kinda, my boyfriend gets mad, because he doesn't trust them.","I want to focus on myself and school, don't really talk to them","Harbor-21-182-1,Family, broken family,School friends,Friends,Friends,Yes kinda, my boyfriend gets mad, because he doesn't trust them.,I want to focus on myself and school, don't really talk to them",sadness
CPHBRE-0-49-1,"Therapy, Church",Break up with boyfriend,School friends,School,Work,Work,Homies,"No, nothing has happened.",Planning college trip to study abroad in Europe,"CPHBRE-0-49-1,Therapy, Church,Break up with boyfriend,School friends,School,Work,Work,Homies,No, nothing has happened.,Planning college trip to study abroad in Europe",sadness
Hollenbeck 3-20-107-2,,"Sibling incarcerated, father not spending time with client and younger siblings",Friends,,Friends,No other group,Group,Because the group was greatly influenced by people doing bad,Not getting influenced,"Hollenbeck 3-20-107-2,Sibling incarcerated, father not spending time with client and younger siblings,Friends,Friends,No other group,Group,Because the group was greatly influenced by people doing bad,Not getting influenced",sadness
Newton 1-17-175-1,,Got in trouble and was in juvenile hall,,,,No other group,Homies,Being in juvenile hall,Nothing,"Newton 1-17-175-1,Got in trouble and was in juvenile hall,No other group,Homies,Being in juvenile hall,Nothing",fear
Southwest 1-15-289-1,,A lot of close friends got killed,,,,No other group,Group,Too many people I love got killed,No,"Southwest 1-15-289-1,A lot of close friends got killed,No other group,Group,Too many people I love got killed,No",sadness
Newton 2-23-182-1,I got to the GRYD program,"Friend, killed to gang violence",VOA,Volunteers of America (GRYD),VOA,Volunteers of America (GRYD),Cool group,Nope,Nope,"Newton 2-23-182-1,I got to the GRYD program,Friend, killed to gang violence,VOA,Volunteers of America (GRYD),VOA,Volunteers of America (GRYD),Cool group,Nope,Nope",sadness
Newton 1-17-191-1,Works out,Paternal uncle died,School,,,School friends,No name,I was shot at.,I was shot,"Newton 1-17-191-1,Works out,Paternal uncle died,School,School friends,No name,I was shot at.,I was shot",sadness
Southwest 1-15-269-1,Looking for jobs,Lost job,Culinary arts/superior market,CB Inc/community build,CB inc/ GRYD,Other group,Group,DK,DK,"Southwest 1-15-269-1,Looking for jobs,Lost job,Culinary arts/superior market,CB Inc/community build,CB inc/ GRYD,Other group,Group,DK,DK",sadness
Newton 2-23-160-1,VOA gathering,Getting employment to bills,,Volunteers of America (GRYD),VOA,Volunteers of America (GRYD),Rabbits,Nope,Nope,"Newton 2-23-160-1,VOA gathering,Getting employment to bills,Volunteers of America (GRYD),VOA,Volunteers of America (GRYD),Rabbits,Nope,Nope",neutral
77th 1-16-63-1,GRYD,Parents,job,gryd,,GRYD,Goodies,Gossiping some girls talk to much,GRYD case manager is helping with my anger now I have a job,"77th 1-16-63-1,GRYD,Parents,job,gryd,GRYD,Goodies,Gossiping some girls talk to much,GRYD case manager is helping with my anger now I have a job",sadness
77th 2-13-1337-1,,Lost college scholarship,,,,No other group,No group,,,"77th 2-13-1337-1,Lost college scholarship,No other group,No group",sadness
77th 3-20-137-2,Plays basketball and football,Custody w/ family,School sports,,Friends,No name,No group,,,"77th 3-20-137-2,Plays basketball and football,Custody w/ family,School sports,Friends,No name,No group",fear
Devonshire-Topanga-11-114-1,Job readiness,Father in prison,School friends,,Street friends,Street friends,No group,,,"Devonshire-Topanga-11-114-1,Job readiness,Father in prison,School friends,Street friends,Street friends,No group",sadness
Newton 2-23-15-1,"Church, GRYD visits, calls",Separated from my family in Mexico,"Church, job",,GRYD,GRYD,No group,,,"Newton 2-23-15-1,Church, GRYD visits, calls,Separated from my family in Mexico,Church, job,GRYD,GRYD,No group",sadness
BVCB-0-232-2,"Excercise, diet, reading",Guy pulled a gun on me,,Gym,gym associates,Homies,Folks,My son following me in my younger days,Going to jail and missing my family,"BVCB-0-232-2,Excercise, diet, reading,Guy pulled a gun on me,Gym,gym associates,Homies,Folks,My son following me in my younger days,Going to jail and missing my family",fear
BVCB-0-192-4,Life Skills,The bills are filling up to the top,,,,Group,Group,Life skills and job search.,Aware of new opportunities,"BVCB-0-192-4,Life Skills,The bills are filling up to the top,Group,Group,Life skills and job search.,Aware of new opportunities",joy
Southwest 1-15-290-1,"Reading, job search, school, and self-investing activities",Tire busted,,,,No other group,Group,My homeboy just died. Group member is suspected.,My school,"Southwest 1-15-290-1,Reading, job search, school, and self-investing activities,Tire busted,No other group,Group,My homeboy just died. Group member is suspected.,My school",fear
Southwest 1-15-301-2,"Workout, dialysis",Kidney failure,,,Homies,No name,Harlem Crips,My god brother passed away. Also lost a big homie 1 week ago.,"Me being a better mother, and in a new relationship.","Southwest 1-15-301-2,Workout, dialysis,Kidney failure,Homies,No name,Harlem Crips,My god brother passed away. Also lost a big homie 1 week ago.,Me being a better mother, and in a new relationship.",sadness
BVCB-0-76-3,Life Skills,Mother passed,,,,Crew,Crew,Losing friends and family members,Aware of new opportunities,"BVCB-0-76-3,Life Skills,Mother passed,Crew,Crew,Losing friends and family members,Aware of new opportunities",neutral
Hollenbeck 3-20-120-2,,Was hospitalized,,,,No other group,Clique,Broke up with involved boyfriend,More opportunities and chance of graduating from H.S.,"Hollenbeck 3-20-120-2,Was hospitalized,No other group,Clique,Broke up with involved boyfriend,More opportunities and chance of graduating from H.S.",fear
Rampart 1-12-503-1,Church,Girlfriend issues,,,,No other group,Homies,No,Wanting to get better in school,"Rampart 1-12-503-1,Church,Girlfriend issues,No other group,Homies,No,Wanting to get better in school",sadness
Hollenbeck 3-20-124-2,,School,,,,No other group,Homies,Just school,Just school,"Hollenbeck 3-20-124-2,School,No other group,Homies,Just school,Just school",neutral
Newton 2-23-86-2,VOA program/Volleyball team,Housing situation with neighbors,School Friends Volleyball Team,Volunteers of America (GRYD),VOA,Volunteers of America (GRYD),No group,,,"Newton 2-23-86-2,VOA program/Volleyball team,Housing situation with neighbors,School Friends Volleyball Team,Volunteers of America (GRYD),VOA,Volunteers of America (GRYD),No group",fear
Newton 2-23-151-1,Family outings/VOA activities,Lost his job,,Volunteers of America (GRYD),VOA,Volunteers of America (GRYD),The bunnies,"Nah, chales","Nah, chales","Newton 2-23-151-1,Family outings/VOA activities,Lost his job,Volunteers of America (GRYD),VOA,Volunteers of America (GRYD),The bunnies,Nah, chales,Nah, chales",sadness
Southwest 2-23-82-1,,"I got suspended from school I'm in ""hard head"" school (SEA Charter)",,,,No other group,40's,To [sic] much snitching,"No, my dad wants me in this, I'm cool","Southwest 2-23-82-1,I got suspended from school I'm in ""hard head"" school (SEA Charter),No other group,40's,To [sic] much snitching,No, my dad wants me in this, I'm cool",sadness
BVCB-0-119-3,Pertaining to his class and construction job,Not working full time,Venice Youth Build Vocational School,Learning at school/Also getting a trade vocational school/Construction,"peers, teachers, counselors, case managers",Venice youth build/or community build,Homies,No/working and going to school did.,Yes working and going to school,"BVCB-0-119-3,Pertaining to his class and construction job,Not working full time,Venice Youth Build Vocational School,Learning at school/Also getting a trade vocational school/Construction,peers, teachers, counselors, case managers,Venice youth build/or community build,Homies,No/working and going to school did.,Yes working and going to school",sadness
Hollenbeck 3-20-131-2,,Housing,Best friends,,,Best Friend,Homies,Nothing,I got hospitalized,"Hollenbeck 3-20-131-2,Housing,Best friends,Best Friend,Homies,Nothing,I got hospitalized",neutral
Hollenbeck 3-20-132-2,,Boyfriend got arrested and broke up.,School friends,,,School friends,Friends,No,Not being able to go outside. Doing things I have to do.,"Hollenbeck 3-20-132-2,Boyfriend got arrested and broke up.,School friends,School friends,Friends,No,Not being able to go outside. Doing things I have to do.",sadness
Hollenbeck 3-20-133-2,Job readiness,School,School,,Best friends,Best friends,Homies,"Yes, my relationship","Yes, school","Hollenbeck 3-20-133-2,Job readiness,School,School,Best friends,Best friends,Homies,Yes, my relationship,Yes, school",neutral
Southwest 1-15-312-1,music production,Unemployment,,,,CBI,Success gang,Having a baby,Having a child,"Southwest 1-15-312-1,music production,Unemployment,CBI,Success gang,Having a baby,Having a child",fear
Southwest 1-15-298-1,"Teen Club, life skills mentoring",Getting in trouble at school,Teen Club,,CBI,GRYD CBI,Group,,,"Southwest 1-15-298-1,Teen Club, life skills mentoring,Getting in trouble at school,Teen Club,CBI,GRYD CBI,Group",fear
77th 3-20-109-2,"Workout, read","Got injured at my work place now owe 3,600, 80 of hospital bills","Friends at job, boyfriend, school",,college friends,No name,No group,"Lost a friend to gang violence 10 days after high school, lost my great grand mother right before graduation, my best friend is now facing 4 years in state prison right after graduation. My father is also facing jail time. I am no longer in touch with him.","I had no group some bad friends maybe, but I no longer have contact with anyone.","77th 3-20-109-2,Workout, read,Got injured at my work place now owe 3,600, 80 of hospital bills,Friends at job, boyfriend, school,college friends,No name,No group,Lost a friend to gang violence 10 days after high school, lost my great grand mother right before graduation, my best friend is now facing 4 years in state prison right after graduation. My father is also facing jail time. I am no longer in touch with him.,I had no group some bad friends maybe, but I no longer have contact with anyone.",fear
Newton 2-23-155-1,VOALA,Got into a fight,Friends from school,,VOALA,Volunteers of America (GRYD),No group,,,"Newton 2-23-155-1,VOALA,Got into a fight,Friends from school,VOALA,Volunteers of America (GRYD),No group",sadness
Southwest 1-15-272-2,Football,Keeping grades up,Football team,High school football team,,No other group,Crew,Friend going to jail,Opportunities,"Southwest 1-15-272-2,Football,Keeping grades up,Football team,High school football team,No other group,Crew,Friend going to jail,Opportunities",neutral
BVCB-0-184-2,Homework/work study,Two friends were killed,,,,No other group,Group,,,"BVCB-0-184-2,Homework/work study,Two friends were killed,No other group,Group",fear
BVCB-0-129-2,Working on verbage and how I conduct myself with others as well as being more assertive,"Stress of tending to family relationship, children. No time to tend to myself",Friends/Associates,,street racing,street racing,Group,Going to jail and dying for nothing. Is a waste of time,School and my kids,"BVCB-0-129-2,Working on verbage and how I conduct myself with others as well as being more assertive,Stress of tending to family relationship, children. No time to tend to myself,Friends/Associates,street racing,street racing,Group,Going to jail and dying for nothing. Is a waste of time,School and my kids",sadness
Hollenbeck 1-20-123-2,Tutoring,Incident with the school police & friend.,,,,No other group,Friends,"Yes, incident that happened to me recently","Yes, graduating school & experiencing more as I get older.","Hollenbeck 1-20-123-2,Tutoring,Incident with the school police & friend.,No other group,Friends,Yes, incident that happened to me recently,Yes, graduating school & experiencing more as I get older.",fear
Northeast-20-188-2,"Anger management, NA, Gender speific","My son is being taken away, lost custody of son",High school friends,,Inspirational Group/SEA,Inspirational Group,Homies,"Yes. Everything. Abuse, accident, son taken away, going to jail.",My son and becoming aware of new opportunities.,"Northeast-20-188-2,Anger management, NA, Gender speific,My son is being taken away, lost custody of son,High school friends,Inspirational Group/SEA,Inspirational Group,Homies,Yes. Everything. Abuse, accident, son taken away, going to jail.,My son and becoming aware of new opportunities.",fear
Southwest 1-15-303-2,Work program for G.R.,Car accident,G.R. Work Group,Community Clean up,C.B.I.,CBInc,No group,,,"Southwest 1-15-303-2,Work program for G.R.,Car accident,G.R. Work Group,Community Clean up,C.B.I.,CBInc,No group",fear
Hollenbeck 1-20-98-2,UAM & gender-specific workshops,No comment,,,,No other group,Friends,No,No,"Hollenbeck 1-20-98-2,UAM & gender-specific workshops,No comment,No other group,Friends,No,No",neutral
Hollenbeck 3-20-153-2,,Paralyzed,,,,No other group,Friends,I got shot and paralyzed waist down,No,"Hollenbeck 3-20-153-2,Paralyzed,No other group,Friends,I got shot and paralyzed waist down,No",fear
Hollenbeck 1-20-64-2,Community garden volunteer,Lost keys for the house,,,,No other group,Friends,"Yes, don't want to talk about it",No,"Hollenbeck 1-20-64-2,Community garden volunteer,Lost keys for the house,No other group,Friends,Yes, don't want to talk about it,No",sadness
BVCB-0-226-3,,Friend was shot,,,,No other group,Group,Friend was killed,Having my first child,"BVCB-0-226-3,Friend was shot,No other group,Group,Friend was killed,Having my first child",fear
Valley-92-13-1,GRYD,Brother was shot,,,Friends,Friends,No name,My brother getting shot,Finishing school,"Valley-92-13-1,GRYD,Brother was shot,Friends,Friends,No name,My brother getting shot,Finishing school",fear
Northeast-20-144-2,,Not finding work,,,,No other group,Crew,Nothing,Finishing school and thinking about my future,"Northeast-20-144-2,Not finding work,No other group,Crew,Nothing,Finishing school and thinking about my future",sadness
Southwest 1-15-320-2,Church on occasionally,Riding in a stolen car then getting pressured by shelldog to do right in life,School,Basketball,CBInc,Other group,Group,,,"Southwest 1-15-320-2,Church on occasionally,Riding in a stolen car then getting pressured by shelldog to do right in life,School,Basketball,CBInc,Other group,Group",fear
Harbor-21-187-1,GRYD,Fighting w/ brother,Soccer,Soccer,soccer,Kickers,Block,Brother went to jail,Sports,"Harbor-21-187-1,GRYD,Fighting w/ brother,Soccer,Soccer,soccer,Kickers,Block,Brother went to jail,Sports",anger
Hollenbeck 2-20-89-2,Life workshops and therapy,Losing custody of kids,Church,SEA,,SEA,No group,,,"Hollenbeck 2-20-89-2,Life workshops and therapy,Losing custody of kids,Church,SEA,SEA,No group",sadness
Pacific-18-121-1,Counseling/helper,I found out my friend got shot and paralized [sic],Work friends,,People I have met,Work friends,Friends,My close friends are being charged with serious time and taking deals,Going to school,"Pacific-18-121-1,Counseling/helper,I found out my friend got shot and paralized [sic],Work friends,People I have met,Work friends,Friends,My close friends are being charged with serious time and taking deals,Going to school",sadness
Valley-92-1-1,"Spending time with family, sports",Did not graduate high school last year,Friends,,,Friends,No group,,,"Valley-92-1-1,Spending time with family, sports,Did not graduate high school last year,Friends,Friends,No group",fear
77th 2-13-1305-1,,Having his first child,,,,No other group,B Group,Cousin was murdered in front of the house.,,"77th 2-13-1305-1,Having his first child,No other group,B Group,Cousin was murdered in front of the house.",joy
Southwest 1-15-305-2,"Running, exercise",Friend was killed,,,,No other group,Group,"Before this program, I did a long prision sentence that changed my life.",Working,"Southwest 1-15-305-2,Running, exercise,Friend was killed,No other group,Group,Before this program, I did a long prision sentence that changed my life.,Working",fear
BVCB-0-196-3,"Job training, school, homework",Friend got killed,School friends,Job training,Friends from school,Friends,No group,,,"BVCB-0-196-3,Job training, school, homework,Friend got killed,School friends,Job training,Friends from school,Friends,No group",sadness
Harbor-21-188-1,,Family barriers,Group,,,Group,Homies,"Friends getting kicked out of school, I want to do better.",I want to be a police officer one day and want to get my credits,"Harbor-21-188-1,Family barriers,Group,Group,Homies,Friends getting kicked out of school, I want to do better.,I want to be a police officer one day and want to get my credits",sadness
FGSEARE-0-76-1,Playing soccer,Getting locked up,,,,No other group,No group,Having a kid and thinking about being a better dad,Nothing really,"FGSEARE-0-76-1,Playing soccer,Getting locked up,No other group,No group,Having a kid and thinking about being a better dad,Nothing really",fear
Foothill-14-312-1,,My father going to jail,I started hanging out with my co-workers from Taco Bell.,,My co-workers,Co-workers,Homies,The Homies are getting smoked left and right.,I got a job at Taco Bell and I want to get my diploma.,"Foothill-14-312-1,My father going to jail,I started hanging out with my co-workers from Taco Bell.,My co-workers,Co-workers,Homies,The Homies are getting smoked left and right.,I got a job at Taco Bell and I want to get my diploma.",sadness
BVCB-0-217-2,Work experience,Assaulted by someone,,,,No other group,Group,Want a better life for my kids,Working,"BVCB-0-217-2,Work experience,Assaulted by someone,No other group,Group,Want a better life for my kids,Working",fear
77th 2-13-1362-1,,My child's health,,My homegirls,,No other group,Cholas,How bad my group has gotten. They do more and more bad things everyday.,My child's health and behavior,"77th 2-13-1362-1,My child's health,My homegirls,No other group,Cholas,How bad my group has gotten. They do more and more bad things everyday.,My child's health and behavior",joy
77th 1-16-64-1,,I got into an argument with my sister,Crenshaw youth fun,,GRYd Positive,GRYD,My squad,"Yes, no loyality with one of my friends.",Not pulling but case manager is the voice in my head when I do bad things I think before I do.,"77th 1-16-64-1,I got into an argument with my sister,Crenshaw youth fun,GRYd Positive,GRYD,My squad,Yes, no loyality with one of my friends.,Not pulling but case manager is the voice in my head when I do bad things I think before I do.",sadness
Hollenbeck 2-20-136-2,"UAM, Gender-specific work-shop","""I don't like these questions""","""Family""",GRYD,Gender Specific/UAM,Family,"""Family""",No comment,Nothing,"Hollenbeck 2-20-136-2,UAM, Gender-specific work-shop,""I don't like these questions"",""Family"",GRYD,Gender Specific/UAM,Family,""Family"",No comment,Nothing",fear
Newton 1-17-207-1,,My dad's cousin died.,School friends,,,School friends,No group,,,"Newton 1-17-207-1,My dad's cousin died.,School friends,School friends,No group",sadness
Southwest 1-15-311-2,,Want a job but too young or on SSI,In school,CBInc,CBInc,CBInc,No group,,,"Southwest 1-15-311-2,Want a job but too young or on SSI,In school,CBInc,CBInc,CBInc,No group",fear
Hollenbeck 2-20-143-2,Meets with GRYD,Change in lifestyle,Old friends,,"Old friends, GRYD, others friends",GRYD,The Valley,"""One of my friends got shot a week ago""","""Work pulls me away from hanging with my homies""","Hollenbeck 2-20-143-2,Meets with GRYD,Change in lifestyle,Old friends,Old friends, GRYD, others friends,GRYD,The Valley,""One of my friends got shot a week ago"",""Work pulls me away from hanging with my homies""",neutral
Northeast-20-242-2,,Homeless,,,,No other group,No group,,,"Northeast-20-242-2,Homeless,No other group,No group",fear
Hollenbeck 1-20-149-2,Volunteer work; sport/boxing,Not getting along with and major fights with mom,,,,School friends,No group,,,"Hollenbeck 1-20-149-2,Volunteer work; sport/boxing,Not getting along with and major fights with mom,School friends,No group",fear
77th 2-13-1359-1,Girls Empowerment Group,Prom expenses,School friends,,,School friends,No group,,,"77th 2-13-1359-1,Girls Empowerment Group,Prom expenses,School friends,School friends,No group",sadness
77th 2-13-1358-1,Girls Group,College,"School friends, church friends",,,"School friends, church friends",No group,,,"77th 2-13-1358-1,Girls Group,College,School friends, church friends,School friends, church friends,No group",neutral
77th 2-13-1290-2,"Working with staff at Chapter Two, empowerment activities","Got a ticket, trying to get a job",,,,No other group,No group,,,"77th 2-13-1290-2,Working with staff at Chapter Two, empowerment activities,Got a ticket, trying to get a job,No other group,No group",fear
Rampart 1-12-532-1,After school program,Boyfriend issues,No name,,,Some other group,Never been,No.,A relationship she had with someone,"Rampart 1-12-532-1,After school program,Boyfriend issues,No name,Some other group,Never been,No.,A relationship she had with someone",sadness
Hollenbeck 2-20-45-2,Work with GYRD and anger classes,"""Doesn't want to talk about it.""",,,,No other group,My girls,"""Fought with a close friend""","""Thinking different now""","Hollenbeck 2-20-45-2,Work with GYRD and anger classes,""Doesn't want to talk about it."",No other group,My girls,""Fought with a close friend"",""Thinking different now""",sadness
Rampart 2-12-235-2,Just read,Finances at home,,,,No other group,No group,Losing a place,None,"Rampart 2-12-235-2,Just read,Finances at home,No other group,No group,Losing a place,None",neutral
Southeast 3-10-135-1,Self meditation,Caught up with boy,School friends,Dance Group,,School friends,No group,,,"Southeast 3-10-135-1,Self meditation,Caught up with boy,School friends,Dance Group,School friends,No group",neutral
Southeast 3-10-159-1,,Found out she is pregnant,School friends,,,School friends,No group,,,"Southeast 3-10-159-1,Found out she is pregnant,School friends,School friends,No group",joy
Newton 1-17-174-1,,My mother left my brothers and I when I was small.,School friends,,,School friends,No group,,,"Newton 1-17-174-1,My mother left my brothers and I when I was small.,School friends,School friends,No group",sadness
Pacific-18-252-1,Counseling and group sessions,Mom had surgery,School friends,,Life Skills Group,Helper Foundation,Homies,"No, she (girlfriend) tries to get to my head to not to do it but I do it.","For awhile, my girlfriend did. I spend time with her, than being out here","Pacific-18-252-1,Counseling and group sessions,Mom had surgery,School friends,Life Skills Group,Helper Foundation,Homies,No, she (girlfriend) tries to get to my head to not to do it but I do it.,For awhile, my girlfriend did. I spend time with her, than being out here",sadness
Hollenbeck 1-20-120-2,,A lot going on.,,,,No other group,Friends,"Yes, people that have gotten taken. Hurt over Uncle's death.",No,"Hollenbeck 1-20-120-2,A lot going on.,No other group,Friends,Yes, people that have gotten taken. Hurt over Uncle's death.,No",neutral
Newton 1-17-200-1,Works out,Got into an argument with his girlfriend,School,,School,School,No group,,,"Newton 1-17-200-1,Works out,Got into an argument with his girlfriend,School,School,School,No group",sadness
77th 1-16-82-1,,Not finishing regular school,,,,No other group,No group,,,"77th 1-16-82-1,Not finishing regular school,No other group,No group",sadness
Northeast-20-206-2,,Nothing in general. Just stressed every day.,,,,Friends,Friends,Friends don't like that I have a girlfriend.,"No, just getting closer to my girlfriend","Northeast-20-206-2,Nothing in general. Just stressed every day.,Friends,Friends,Friends don't like that I have a girlfriend.,No, just getting closer to my girlfriend",neutral
Northeast-20-149-3,,Sister had a baby in ICU.,Old co-workers,,,No other group,Homies,With the killings you can't trust and need to stay away,Not really,"Northeast-20-149-3,Sister had a baby in ICU.,Old co-workers,No other group,Homies,With the killings you can't trust and need to stay away,Not really",sadness
Devonshire-Topanga-11-128-1,Business Academy,Parents telling him he will not make it,School,,,School,Homies,Not really,Attending a new school,"Devonshire-Topanga-11-128-1,Business Academy,Parents telling him he will not make it,School,School,Homies,Not really,Attending a new school",sadness
Devonshire-Topanga-11-125-1,"Aztec Dance Group, Gym, Basketball at the gym.","Relapse to meth last March, withdrawals lasted about 3 weeks","Dance friends, friends from neighborhood",Aztec Dance Group,,Dance Friends,People,"I left to Sacramento, and when I came back, I just stopped hanging out w/ everyone and just stayed home for like 3 months, just cleaned, listened to music. I used that as a rehabitation for myself. In Sacramento to April 16-Aug 2016. Then stayed home Aug.-Dec. Started ARC in Jan.","My Mom's one of my supporter. Aztec dance is something spiritual, and it's pulled me away from the bad influence.","Devonshire-Topanga-11-125-1,Aztec Dance Group, Gym, Basketball at the gym.,Relapse to meth last March, withdrawals lasted about 3 weeks,Dance friends, friends from neighborhood,Aztec Dance Group,Dance Friends,People,I left to Sacramento, and when I came back, I just stopped hanging out w/ everyone and just stayed home for like 3 months, just cleaned, listened to music. I used that as a rehabitation for myself. In Sacramento to April 16-Aug 2016. Then stayed home Aug.-Dec. Started ARC in Jan.,My Mom's one of my supporter. Aztec dance is something spiritual, and it's pulled me away from the bad influence.",sadness
BVCB-0-235-2,Employment activities,Death in family,,,,No name,Group,Friend was shot and almost died.,Working,"BVCB-0-235-2,Employment activities,Death in family,No name,Group,Friend was shot and almost died.,Working",sadness
Pacific-18-250-1,Counseling/life skills,Had a confrontation,School friends,,Life skills group,Helper Foundation,Homies,"Yea, I guess. Too much drama",There's nothing pulling me away,"Pacific-18-250-1,Counseling/life skills,Had a confrontation,School friends,Life skills group,Helper Foundation,Homies,Yea, I guess. Too much drama,There's nothing pulling me away",anger
77th 2-13-1309-1,,Got in an argument with my mom,,,,No other group,No group,,,"77th 2-13-1309-1,Got in an argument with my mom,No other group,No group",sadness
Newton 1-17-116-2,Tutoring,Trouble w/ the law,School,Academic Decathlon,,Academic decathlon,No group,,,"Newton 1-17-116-2,Tutoring,Trouble w/ the law,School,Academic Decathlon,Academic decathlon,No group",fear
Rampart 2-12-226-2,Hanging out,Getting hid [sic] up,School,,Neighborhood,Family,Homies,Friends got hurt,My mother,"Rampart 2-12-226-2,Hanging out,Getting hid [sic] up,School,Neighborhood,Family,Homies,Friends got hurt,My mother",fear
Hollenbeck 1-20-121-2,Gender Specific,Parole Case,,,,No other group,Group,,,"Hollenbeck 1-20-121-2,Gender Specific,Parole Case,No other group,Group",sadness
Newton 1-17-206-1,Works out,Car accident,Gym,Gym,,Gym,No group,,,"Newton 1-17-206-1,Works out,Car accident,Gym,Gym,Gym,No group",fear
Hollenbeck 3-20-125-2,,Grandmother has cancer,,,,No other group,Big Money,Not really,Nope,"Hollenbeck 3-20-125-2,Grandmother has cancer,No other group,Big Money,Not really,Nope",sadness
Rampart 2-12-251-1,Substance sessions,Girlfriend broke up with me,At school,Substance abuse sessions,Therapy,Substanc abuse sessions,No name,My ex girlfriend,My ex left me for hanging around with friends who were involved,"Rampart 2-12-251-1,Substance sessions,Girlfriend broke up with me,At school,Substance abuse sessions,Therapy,Substanc abuse sessions,No name,My ex girlfriend,My ex left me for hanging around with friends who were involved",sadness
Southwest 2-23-92-1,Started a program,I got jumped walking home from school,,,,No other group,Homies,,,"Southwest 2-23-92-1,Started a program,I got jumped walking home from school,No other group,Homies",fear
Newton 1-17-208-1,Works out,Chemotherapy and surgey,Friends at halfway home,,,Halfway home,No group,,,"Newton 1-17-208-1,Works out,Chemotherapy and surgey,Friends at halfway home,Halfway home,No group",joy
Southwest 1-15-262-1,,Got jacked,,,,No other group,Group,Trying to make more money,Getting jacked makes me want different friends.,"Southwest 1-15-262-1,Got jacked,No other group,Group,Trying to make more money,Getting jacked makes me want different friends.",neutral
Southeast 3-10-158-1,GRYD Male Workshops,Friend was murdered,,,,No other group,Homies,No. The homies are always there for me.,No,"Southeast 3-10-158-1,GRYD Male Workshops,Friend was murdered,No other group,Homies,No. The homies are always there for me.,No",sadness
Southwest 2-23-61-2,,Somebody stole from me,,,My friends,No other group,No group,,,"Southwest 2-23-61-2,Somebody stole from me,My friends,No other group,No group",anger
Rampart 2-12-259-1,Search jobs; reading; Internet; reselling stuff,Grandfather died. Kicked out of house. Homie died.,Skateboard gym,,Close childhood friends,Friends,No name,,,"Rampart 2-12-259-1,Search jobs; reading; Internet; reselling stuff,Grandfather died. Kicked out of house. Homie died.,Skateboard gym,Close childhood friends,Friends,No name",sadness
Pacific-18-114-1,,Friend died,,Helper,,Helper Foundation,Homies,Friend died,Friend died,"Pacific-18-114-1,Friend died,Helper,Helper Foundation,Homies,Friend died,Friend died",sadness
Newton 1-17-133-1,,My brother got deportation,,,,No other group,Homies,My brother in jail,My brother will be deported back to Mexico,"Newton 1-17-133-1,My brother got deportation,No other group,Homies,My brother in jail,My brother will be deported back to Mexico",sadness
Hollenbeck 1-20-52-3,,Getting shot,,,,No other group,Friends,No,"Yes, getting a job","Hollenbeck 1-20-52-3,Getting shot,No other group,Friends,No,Yes, getting a job",fear
Newton 2-23-198-1,Participates in VOALA activities,Mother passed away,School friends,Volunteers of America (GRYD),VOALA,Volunteers of America (GRYD),No group,,,"Newton 2-23-198-1,Participates in VOALA activities,Mother passed away,School friends,Volunteers of America (GRYD),VOALA,Volunteers of America (GRYD),No group",sadness
Rampart 2-12-224-2,Go to church,I hate when I am pushed to go to school,At work,Church,Basketball,Work,No name,None,Just being bored,"Rampart 2-12-224-2,Go to church,I hate when I am pushed to go to school,At work,Church,Basketball,Work,No name,None,Just being bored",anger
Southwest 2-23-93-1,I do boxing and play soccer,Not discussed at this moment.,Boxing,Hollywood FC,,No other group,No group,,,"Southwest 2-23-93-1,I do boxing and play soccer,Not discussed at this moment.,Boxing,Hollywood FC,No other group,No group",neutral
Foothill-14-381-1,Church,1. family fighting 2. getting kicked out the house,,,,No other group,No group,,,"Foothill-14-381-1,Church,1. family fighting 2. getting kicked out the house,No other group,No group",joy
Northeast-20-119-2,Church,No,Family friends,,Family friends,Family friends,Homies,"Many friends from the ""Homies"" Group have gone to jail.",I've been focusing on my school and potential job.,"Northeast-20-119-2,Church,No,Family friends,Family friends,Family friends,Homies,Many friends from the ""Homies"" Group have gone to jail.,I've been focusing on my school and potential job.",sadness
