ID,Problem,Strategy,Progress,Problem_Classification,Problem_Label
Hollenbeck 2-20-148-2,client needs to obtain his drivers license.,Case manager can help client  set up an appointment at the DMV. ,No progress,0,Emotional/behavior issues
Hollenbeck 2-20-149-2,clients school was closing down and therefore client needs to enroll into a new school for his new school ear. ,Enrolled client in school. ,Excellent progress,4,Need assistance with school enrollment/improving school grades
Hollenbeck 2-20-149-2,client is on probation. ,Connect client to programs/resources that could potentially help the client while on probation. ,No progress,1,Need assistance with employment search
Hollenbeck 2-20-149-2,ct in need of tattoo removal. ,CM working with Homeboy Industries to get CT tattoo removal. ,No progress,0,Emotional/behavior issues
Hollenbeck 2-20-150-2,counseling/therapy,Connect Ct w/program for Ct to receive counseling sessions. ,A Little progress,0,Emotional/behavior issues
Hollenbeck 2-20-150-2,school enrollment-cosmetology/beauticians ,"Assist client in enrolling into a cosmetology school of her interest, and help her get all documentation required ready. ",A Little progress,4,Need assistance with school enrollment/improving school grades
Hollenbeck 2-20-154-2,client continues to attend barbering school regularly to obtain his certification. ,Client will continue to attend class on a regular basis and complete the course. ,Good progress,4,Need assistance with school enrollment/improving school grades
Hollenbeck 2-20-158-3,client shared she recently got out of a long term relationship of domestic violence and is seeking counseling. cm will assist client with enrolling into counseling.,Client will enroll in domestic violence classes.,Excellent progress,0,Emotional/behavior issues
Hollenbeck 2-20-158-3,client shared she struggles with parenting and is open for education and assistance with learning how to be a better parent. ,Client will enroll into domestic violence class ,Excellent progress,0,Emotional/behavior issues
Hollenbeck 2-20-158-3,"tier 1 - mental health; per dcfs case, anger management class",CM scheduled enrollment with SEA Workshop ,A Little progress,0,Emotional/behavior issues
Hollenbeck 2-20-158-3,"tier 1 - substance abuse; per dcfs, needs drug & alcohol class",CLT was enrolled into Drug and Alcohol Classes,Some progress,0,Emotional/behavior issues
Hollenbeck 2-20-158-3,"tier 1 - mental health; per dcfs, needs individual counseling ",CM scheduled info session for internship WIOA program ,Some progress,0,Emotional/behavior issues
Hollenbeck 2-20-160-2,client needs assistance with housing. ,Will assist client in applying for section 8/low-income housing.,No progress,0,Emotional/behavior issues
Hollenbeck 2-20-160-2,client wants to improve in school. ,Client can enroll into tutoring services or school activities. ,No progress,4,Need assistance with school enrollment/improving school grades
Hollenbeck 2-20-160-2,client needs assistance with employment. ,"Client will start building a resume, to show to potential job opportunities. ",No progress,1,Need assistance with employment search
Hollenbeck 2-20-160-2,client requested mentorship. ,Client has been attending the fitness class with CIW.,Good progress,0,Emotional/behavior issues
Hollenbeck 2-20-160-2,tier 1 services - usc telehealth ,completed application for USC Telehealth counseling ,Good progress,0,Emotional/behavior issues
Hollenbeck 2-20-161-1,ct needed assistance with employment and resume. ,Help CT get his Resume done and help with some Job Leads. ,Some progress,4,Need assistance with school enrollment/improving school grades
Hollenbeck 2-20-161-1,ct is in need of transportation to get around. ,CM gave CT forms to fill out for Bus Tokens. ,Excellent progress,0,Emotional/behavior issues
Hollenbeck 2-20-161-1,ct has ticket that needs to be taken care of. ,CM will go with CT to court to address and take care of Ticket. ,Some progress,0,Emotional/behavior issues
Hollenbeck 2-20-161-2,ct is in assistance of looking for housing. ,CM and CIW going to look into Housing Programs such as Section 8. ,No progress,0,Emotional/behavior issues
Hollenbeck 2-20-161-2,ct is in need of employment. ,CM and CIW going to help CT with Resume and Job Leads for Employment. ,A Little progress,4,Need assistance with school enrollment/improving school grades
Hollenbeck 2-20-161-2,ct mentioned a ticket that he might have. ,CM is going to go to Court to check on Ticket. ,No progress,0,Emotional/behavior issues
Hollenbeck 2-20-162-3,client asked for assistance with obtaining tattoo removal to remove gang related tattoos on wrist. ,"Will assist the clt with the appointments for tatto removal, at SEA SOTO",Some progress,0,Emotional/behavior issues
Hollenbeck 2-20-162-3,client asked for assistance with obtaining tattoo removal to remove gang related tattoos on wrist. ,"Client will enroll in school, with the SEA staff.",Some progress,0,Emotional/behavior issues
Hollenbeck 2-20-162-3,client asked for assistance with obtaining tattoo removal to remove gang related tattoos on wrist. ,Client will attend ALMA counseling services.,Good progress,0,Emotional/behavior issues
Hollenbeck 2-20-164-1,client on probation and drug test weekly because of old drug habit. ,"CLT WILL GET WORK READY DOC, FROM DMV, SOC SEC, AND SCHOOL",Some progress,0,Emotional/behavior issues
Hollenbeck 2-20-164-2,substance abuse. ,Connect client to programs/resources that can help client with the substance abuse issue. Can also mentor client. ,No progress,0,Emotional/behavior issues
Hollenbeck 2-20-164-2,employment,Case manager and client can meet and start building client's resume for potential employers. ,No progress,4,Need assistance with school enrollment/improving school grades
Hollenbeck 2-20-164-2,client is on probation.,"Mentor client to stay out of trouble, so his probation won't extend. ",No progress,1,Need assistance with employment search
Hollenbeck 2-20-165-2,client is currently on probation and must abide by the demands of her probation officer. ,Clt needs to attend probation visits on a regular basis to meet probation requirements,Some progress,0,Emotional/behavior issues
Hollenbeck 2-20-165-2,client is currently on probation and must abide by the demands of her probation officer. ,Client will attend probation and cooperate with the court order,Some progress,0,Emotional/behavior issues
Hollenbeck 2-20-166-2,client shared she was having a hard time in school; topic with math and asked cm for additional assistance also assistance for credit recovery. ,CLT WILL ATTEND THE Y.E.S. PROGRAM AND ATTEND THE IN HOUSE,A Little progress,0,Emotional/behavior issues
Hollenbeck 2-20-169-1,client needs assistance with enrolling into a new school. ,CIW and CM to Enroll CT into Roosevelt High School. ,Excellent progress,4,Need assistance with school enrollment/improving school grades
Hollenbeck 2-20-169-1,client shared he needs assistance with resourcing to a legal advisor in regards to being removed from the gang injunction. ,CIW going to look in with Courts and Paper work to get CT off GANG Junction. ,A Little progress,0,Emotional/behavior issues
Hollenbeck 2-20-169-2,ct mentioned he wants to enroll into new school. ,CM and CIW looking into some Independent Schools for CT. ,Task/Service successfully completed,4,Need assistance with school enrollment/improving school grades
Hollenbeck 2-20-169-2,ct is now on probation. ,CM staying connected with Probation Officer and making sure CT is Compliant with Requirements that PO wants. ,A Little progress,1,Need assistance with employment search
Hollenbeck 2-20-169-2,ct has to take substance abuse classes for probation. ,CM working on getting CT enrolled for Substance Abuse Classes. ,A Little progress,0,Emotional/behavior issues
Hollenbeck 2-20-171-1,transportation assistance.,Link Ct with IILA (Program that assists individuals w/bus tokens),Good progress,0,Emotional/behavior issues
Hollenbeck 2-20-171-2,ct is in need of counseling. ,CM is going to have CT fill out Tele Health Paperwork so that CT can get free Counseling. ,Some progress,0,Emotional/behavior issues
Hollenbeck 2-20-171-2,ct is in need of a cal-id. ,CM is going to have CT fill out reduce fee form to get Cal-ID. ,Some progress,0,Emotional/behavior issues
Hollenbeck 2-20-171-2,ct is in need of some type of transportation to get to school. ,CM is going to have CT fill out paper work to get Bus Tokens for Transportation. ,Good progress,4,Need assistance with school enrollment/improving school grades
Hollenbeck 2-20-173-1,transportation,Ref.: I.I.L.A. [International Institute of Los Angeles; program that can asst. person(s) w/bus tokens],Task/Service successfully completed,0,Emotional/behavior issues
Hollenbeck 2-20-174-2,anger management,Therapy/counseling,A Little progress,0,Emotional/behavior issues
Hollenbeck 2-20-175-2,"client is in need of employment, family is considered low income and client shared she would like to work to help family.","Will assist client with referrals for employment offices in the area.
Will follow up with client when the clt reaches--call backs for interview.
Also, will assist clt with resume for employment.",A Little progress,0,Emotional/behavior issues
Hollenbeck 2-20-175-2,"client is in need of employment, family is considered low income and client shared she would like to work to help family.","Client will stay close to CM, and receive assist from CIW/CM---referrals and job interviews",A Little progress,0,Emotional/behavior issues
Hollenbeck 2-20-177-2,school enrollment,Connect Ct with Conservation Corps.,Task/Service successfully completed,4,Need assistance with school enrollment/improving school grades
Hollenbeck 2-20-177-2,resume,Resume Writing,Task/Service successfully completed,0,Emotional/behavior issues
Hollenbeck 2-20-177-2,school training,Ref.: Conservation Corps.,Excellent progress,4,Need assistance with school enrollment/improving school grades
Hollenbeck 2-20-180-2,client needs to keep improving her grades. ,"Ask the parents to be more involved perhaps, have them attend workshops.
Connect client to school counselors, school staff that can help her with her educational career goals. ",No progress,0,Emotional/behavior issues
Hollenbeck 2-20-180-2,client is in need of employment. ,"Case manager and client can meet and start building a resume for potential employers. 
 ",No progress,4,Need assistance with school enrollment/improving school grades
Hollenbeck 2-20-180-2,client is in need of employment. ,referred client to Cal Works summer internship,A Little progress,4,Need assistance with school enrollment/improving school grades
Hollenbeck 2-20-180-2,client needs community service hours. ,"Connect client/look for resources/programs that can provide community service hours. 
",No progress,5,Need to complete community service hours for probation requirements
Hollenbeck 2-20-180-2,tier 1 - substance abuse. ,"Connect client to resources/programs that can aid client with substance abuse. 
Educate client about substance abuse. ",No progress,0,Emotional/behavior issues
Hollenbeck 2-20-180-2,summer internship ; enrollment workshop ,work permit,Task/Service successfully completed,0,Emotional/behavior issues
Hollenbeck 2-20-180-2,summer internship ; enrollment workshop ,CLT starting internship at Plaza de la Raza,Excellent progress,0,Emotional/behavior issues
Hollenbeck 2-20-180-2,work ready documents - needs assistance with obtaining id ,CM requested aux funds for ID,Some progress,2,Need work ready documents/California id
Hollenbeck 2-20-180-2,work ready documents - needs assistance with obtaining id ,CM received funds for ID,Some progress,2,Need work ready documents/California id
Hollenbeck 2-20-180-2,work ready documents - needs assistance with obtaining id ,CLT provided school ID to CM. CLT unable to utilize aux funds for California ID in a timely manner. ,Task/Service successfully completed,2,Need work ready documents/California id
Hollenbeck 2-20-180-2,tier 1 - economic assistance; clt needs school clothes ,CM submitted and requested supportive services funds to assist CLT with school clothes due to family low income,Some progress,0,Emotional/behavior issues
Hollenbeck 2-20-183-1,california id,Set up an appointment at the DMV. ,A Little progress,0,Emotional/behavior issues
Hollenbeck 2-20-183-1,school support,"Try to get the parents involved, perhaps let them know about workshops the school is hosting.
Connect client to resources, that might be beneficial for his school support. ",No progress,4,Need assistance with school enrollment/improving school grades
Hollenbeck 2-20-183-2,ct looking for employment. ,Going to look fro City Jobs for CT. Really interested in working Parks and Landscaping for City. ,A Little progress,4,Need assistance with school enrollment/improving school grades
Hollenbeck 2-20-183-2,ct looking for employment. ,CLT hired for SNL,Excellent progress,4,Need assistance with school enrollment/improving school grades
Hollenbeck 2-20-183-2,ct in need of transportation. ,Going to provide CT with Bus Tokens. ,No progress,0,Emotional/behavior issues
Hollenbeck 2-20-183-2,ct wants to get his drivers license. ,Going to make DMV appointment for CT and study for written test. ,No progress,0,Emotional/behavior issues
Hollenbeck 2-20-184-2,clients wants to enroll into cal works summer internship,CM assisted CLT with attending Cal Works Internship Enrollment Session,Good progress,2,Need work ready documents/California id
Hollenbeck 2-20-184-2,clients wants to enroll into cal works summer internship,CM assisted CLT with attending Internship Prep Workshop; job readiness ,Good progress,2,Need work ready documents/California id
Hollenbeck 2-20-184-2,clients wants to enroll into cal works summer internship,attained work permit ,Task/Service successfully completed,2,Need work ready documents/California id
Hollenbeck 2-20-185-1,ct needs work ready docs. ct has them but needs to get them from dmv for id and ss office for ss card and birth certificate.  ,CT will go to the DMV for ID and to the SS Office for SS Card and Birth Certificate.,N/A - not applicable to this phase,2,Need work ready documents/California id
Hollenbeck 2-20-185-1,ct wants to get his work permit and also needs help with making resume. ,CT and CM will schedule a meeting to works towards CT's resume completion and to get client's work permit. ,N/A - not applicable to this phase,2,Need work ready documents/California id
Hollenbeck 2-20-185-1,ct needs help finding employment. ,"CT and CM will constantly be on the look out for local job listings, and CT will attend job orientations when presented. ",N/A - not applicable to this phase,4,Need assistance with school enrollment/improving school grades
Hollenbeck 2-20-185-1,ct wants to enroll in english classes to learn english fluent. ,CT will go to a local highschool and enroll into adult school english classes. ,N/A - not applicable to this phase,0,Emotional/behavior issues
Hollenbeck 2-20-186-1,"ct needs work ready docs. ct has them but needs to get them from dmv for id and ss office for ss card and birth certificate.
",Clt will obtain work documents so ct can look for steady work to assist parents.,N/A - not applicable to this phase,2,Need work ready documents/California id
Hollenbeck 2-20-186-1,ct needs help putting together resume and some job leads. ,CT and CM will schedule a meeting and work towards getting the resume complete. ,N/A - not applicable to this phase,0,Emotional/behavior issues
Hollenbeck 2-20-186-1,going to look for local gym to enroll ct into boxing. ,CT will visit local gyms and enroll into one that seems more benificial for him. ,N/A - not applicable to this phase,0,Emotional/behavior issues
Hollenbeck 2-20-186-1,ct wants to enroll into english classes to be more fluent with english language. ,CT will go to a local highschool and enroll in adult school Englich classes. ,N/A - not applicable to this phase,0,Emotional/behavior issues
Hollenbeck 2-20-187-1,ct shared about drug use and has been using for awhile.,CT filled out referral to get Therapy Classes.,Good progress,0,Emotional/behavior issues
Hollenbeck 2-20-187-1,ct is in need of her social security card. ,Going to work on getting CT's Social Security Card.,Some progress,0,Emotional/behavior issues
Hollenbeck 2-20-187-1,ct mentioned she is looking for new housing and somewhere else to live.,Looking for Housing in different communities. ,Some progress,0,Emotional/behavior issues
Hollenbeck 2-20-187-1,ct mentioned she wants to get her drivers license.,Making appointment and following up for DMV to get CT Drivers License.,Some progress,0,Emotional/behavior issues
Hollenbeck 2-20-187-1,ct mentioned that she wants to do therapy.,CT will be attending Therapy Sessions. ,Some progress,0,Emotional/behavior issues
Hollenbeck 2-20-187-2,client wants to get drivers license. ,CT practicing for Driving Test. ,A Little progress,0,Emotional/behavior issues
Hollenbeck 2-20-187-2,ct working full time job but wants to get back in school. ,Looking into Schools that CT can attend and also getting paperwork ready. ,A Little progress,0,Emotional/behavior issues
Hollenbeck 2-20-187-2,ct wants to be better and participate in life skill classes. ,Life Skill Classes and Fitness Classes that CT could attend. ,A Little progress,0,Emotional/behavior issues
Hollenbeck 2-20-187-2,ct wants to be better and participate in life skill classes. ,CLT started to attend fitness class,Good progress,0,Emotional/behavior issues
Hollenbeck 2-20-187-2,tier 1 - clt needs assistance with day care for daughter,CM provided daycare info. CLT and CM attended enrollment appointment. ,Some progress,0,Emotional/behavior issues
Hollenbeck 2-20-187-2,tier 1 - clt needs assistance with day care for daughter,CLT's daughter started daycare,Task/Service successfully completed,0,Emotional/behavior issues
Hollenbeck 2-20-187-2,tier 2 - clt needs assistance with obtaining part time employment ,CM assist CLT with applying to jobs and was hired on the spot ,Task/Service successfully completed,0,Emotional/behavior issues
Hollenbeck 2-20-187-2,tier 1 - tattoo removal services,CLT attended 1st session,Good progress,0,Emotional/behavior issues
Hollenbeck 2-20-189-2,client is expected to meet with probation officer regularly and maintain accountability with gryd as per court orders.,CM and or CIW will help client report regularly to his probation officer and also meet required demands of the court. ,Good progress,0,Emotional/behavior issues
Hollenbeck 2-20-189-2,client will be enrolling in telehealth for counseling,Client enrolled and is receiving counseling; both mother and client. ,Good progress,0,Emotional/behavior issues
Hollenbeck 2-20-189-2,client is expected to complete 100 community service hours for probation ,CM arranged client to complete his community service hours as permitted by the juvenile courts. ,Task/Service successfully completed,5,Need to complete community service hours for probation requirements
Hollenbeck 2-20-190-1,client needs ca id; reduced fee form has been given to family to fill out. ,CM provided clients mother with reduced fee request form. Pending application back from client.,Some progress,0,Emotional/behavior issues
Hollenbeck 2-20-190-1,"clients mother and client requested assistance to sign up for telehealth, a counseling service offered by usc. ",Client asked for enrollment to counseling. Application was given to mother for client; pending application ,Some progress,0,Emotional/behavior issues
Hollenbeck 2-20-190-2,clients grades and attendance are poor and needs improvement. ,CM will help client enroll into summer school. ,A Little progress,0,Emotional/behavior issues
Hollenbeck 2-20-190-2,client is open to enroll into counseling. ,CM will enroll client to individual counseling ,Some progress,0,Emotional/behavior issues
Hollenbeck 2-20-191-1,california id,Ref. Ct and guardian with SEA DMV Photo Reduced Fee Form and assist Ct to going to apply for Calif. ID at the DMV,A Little progress,0,Emotional/behavior issues
Hollenbeck 2-20-192-1,"client doesnt have birth certificate, or california id. ","Will take Client to the Dmv to obtain her California Id, and to Maravilla Foundation to obtain her Birth Certificate. ",No progress,0,Emotional/behavior issues
Hollenbeck 2-20-192-1,client needs counseling. ,Will refer client to tele-health.,No progress,0,Emotional/behavior issues
Hollenbeck 2-20-192-2,"client and immediate family members do not get along in the home. 
client has shared she has a hard time expressing herself and has a lot of anger towards her mother. ","CM will Mental offer and help client enroll in counseling and will also encourage family reunification. 
",A Little progress,0,Emotional/behavior issues
Hollenbeck 2-20-192-2,client needs assistance with obtaining id,CM requested aux funds for ID,Some progress,0,Emotional/behavior issues
Hollenbeck 2-20-192-2,client needs assistance with obtaining id,CM received aux funds for ID,Some progress,0,Emotional/behavior issues
Hollenbeck 2-20-192-2,client needs assistance with obtaining id,CM received DMV wavier form and went to DMV to attain ID,Task/Service successfully completed,0,Emotional/behavior issues
Hollenbeck 2-20-192-2,tier 1 services -court-ordered; clt needs to complete 40 hrs. community service,CLT will conduct community service hours with SEA,Good progress,5,Need to complete community service hours for probation requirements
Hollenbeck 2-20-192-2,tier 1 services -court-ordered; clt needs to complete 40 hrs. community service,CLT completed 40 community services ordered by Judge to stay in probation compliance. ,Task/Service successfully completed,5,Need to complete community service hours for probation requirements
Hollenbeck 2-20-192-2,tier 1 services - court ordered; clt needs to complete individual counseling ,CLT will be enrolled into USC Telehealth for counseling per court,Good progress,5,Need to complete community service hours for probation requirements
Hollenbeck 2-20-192-2,tier 2 - employment; cal works internship ,CLT spoke with Internship program at Boyle Heights Tech Center,A Little progress,2,Need work ready documents/California id
Hollenbeck 2-20-194-1,client needs assistance with housing. ,Can connect the client to resources like section 8. ,No progress,0,Emotional/behavior issues
Hollenbeck 2-20-194-1,client needs his california id. ,Set up aN appointment at the DMV. ,No progress,0,Emotional/behavior issues
Hollenbeck 2-20-194-2,ct is in need of employment. ,CM pushing CT to get work permit from school so he can get part time job. ,A Little progress,4,Need assistance with school enrollment/improving school grades
Hollenbeck 2-20-194-2,ct needs transportation to get to school. ,CM having CT fill out paperwork for Bus Tokens. ,Some progress,4,Need assistance with school enrollment/improving school grades
Hollenbeck 2-20-194-2,ct needs to finish up his community service. ,CM is working to help get CT community service done. ,No progress,5,Need to complete community service hours for probation requirements
Hollenbeck 2-20-194-2,ct needs mentoring in school to get better grades. ,CM is working on a Tutoring to help better CT's Grades. ,No progress,0,Emotional/behavior issues
Hollenbeck 2-20-194-3,ct is on house arrest and is trying to get off. ,CM helping CT to follow requirements that are asked so CT can get off House Arrest. ,Some progress,0,Emotional/behavior issues
Hollenbeck 2-20-194-3,ct is on probation.,CM is working with PO to help CT stay in compliant with requirements to get off. ,A Little progress,1,Need assistance with employment search
Hollenbeck 2-20-194-3,ct is in need of tutoring for school. ,CM is working on getting Tutoring for CT so his grades can be better. ,A Little progress,4,Need assistance with school enrollment/improving school grades
Hollenbeck 2-20-195-1,client requested assistance to obtain her work ready document. ,CIW/CM will obtain reduced fee form for client to obtain her CA ID.,Good progress,2,Need work ready documents/California id
Hollenbeck 2-20-199-2,client and family is asking for assistance in obtaining a birth certificate which was lost. ,CM has requested in the clients behalf financial assistance to help family obtain a replacement Birth Certificate. ,Some progress,0,Emotional/behavior issues
Hollenbeck 2-20-199-2,client needs to complete hours for juvenile court/probation. ,Juvenile Court has allowed client to complete his community service hours with SEA GRYD. ,Excellent progress,0,Emotional/behavior issues
Hollenbeck 2-20-199-2,client has shared that his grades and attendance at school is poor and would like to make actions towards improving the both. ,CM will help client enroll into summer school to help with catching up with his overall GPA and grades. ,Good progress,0,Emotional/behavior issues
Hollenbeck 2-20-200-1,ct is on probation for 1 year. ,CIW going to be checking up on CT to make sure he is going to Probation Meetings and keeping up. ,No progress,1,Need assistance with employment search
Hollenbeck 2-20-200-1,ct needs to do 70 hours of community service. ,CM and CIW looking into different ways to help out CT with Community Service. ,A Little progress,5,Need to complete community service hours for probation requirements
Hollenbeck 2-20-200-1,ct's mother needs to take parenting classes for ct's probation. ,CIW and CM looking into Parenting Classes for mom. ,A Little progress,0,Emotional/behavior issues
Hollenbeck 2-20-200-2,ct needs to work on getting community services hours finished. ,CM looking into different Programs to get CT Community Service Hour Done. ,Some progress,2,Need work ready documents/California id
Hollenbeck 2-20-200-2,ct having problems at current school and wants to switch schools. ,CM looking into getting CT into another School. ,Some progress,4,Need assistance with school enrollment/improving school grades
Hollenbeck 2-20-200-2,ct needs to keep grades up and do better in school or judge will do something about it. ,CM is looking into Tutoring for CT to help keep grades up. ,A Little progress,4,Need assistance with school enrollment/improving school grades
Hollenbeck 2-20-201-1,ct wants to finish school to get diploma. ,CT will be getting enrolled into Independent School to finish up Credits. ,Some progress,4,Need assistance with school enrollment/improving school grades
Hollenbeck 2-20-201-1,ct is in need of child care.,CM looking into different service that offer free childcare. ,No progress,0,Emotional/behavior issues
Hollenbeck 2-20-201-1,ct needs assistance in getting her birth certificate. ,CIW working on getting money for Birth Certificate. ,No progress,0,Emotional/behavior issues
Hollenbeck 2-20-201-2,client is currently unemployed and does not have a permanent source of income to provider for her two children. ,"CM will assist client with (job readiness/training, seeking employment, resume writing, interviewing skills, etc.) ",A Little progress,0,Emotional/behavior issues
Hollenbeck 2-20-201-2,client is currently unemployed and does not have a permanent source of income to provider for her two children. ,CM provided assistance to job interview and was hired on the spot. ,Task/Service successfully completed,0,Emotional/behavior issues
Hollenbeck 2-20-201-2,client needs assistance with daycare services for two children ,CM referred CLT to local daycare for low income families,Some progress,0,Emotional/behavior issues
Hollenbeck 2-20-201-2,work ready documents - client needs assistance with obtaining birth certificate ,CM requested aux funds for BC,Some progress,2,Need work ready documents/California id
Hollenbeck 2-20-201-2,work ready documents - client needs assistance with obtaining birth certificate ,CM received aux funds for BC,Some progress,2,Need work ready documents/California id
Hollenbeck 2-20-201-2,tier 1 - economic assistance; items for children,CM provided CLT with pampers - Baby 2 Baby SEA Vendor,Some progress,0,Emotional/behavior issues
Hollenbeck 2-20-201-2,tier 1 - economic assistance; items for children,CM provided CLT with baby gate ,Good progress,0,Emotional/behavior issues
Hollenbeck 2-20-201-2,tier 1 - economic assistance; interview clothes ,CM received approved request and funds for interview clothes thru supportive services; CM and CLT was able to purchase items.,Task/Service successfully completed,0,Emotional/behavior issues
Hollenbeck 2-20-202-1,ct is looking for employment. ,CIW and CM looking for Job Leads for CT. ,A Little progress,4,Need assistance with school enrollment/improving school grades
Hollenbeck 2-20-202-1,ct needs to get his cal-id. ,CIW gave CT Reduce Fee Form. ,Good progress,0,Emotional/behavior issues
Hollenbeck 2-20-202-1,ct wants to get into schooling to finish up credits to get diploma. ,CIW and CM going to look into some Independent Schools fro CT. ,No progress,4,Need assistance with school enrollment/improving school grades
Hollenbeck 2-20-202-1,ct is on probation. ,CIW going to be checking on CT to make sure he is attending Meetings with Probation Officer. ,A Little progress,1,Need assistance with employment search
Hollenbeck 2-20-202-2,ct wants to get back into some type of schooling. ,CM is looking into Independent Study Schools for CT can get enrolled. ,Some progress,4,Need assistance with school enrollment/improving school grades
Hollenbeck 2-20-202-2,client is in need of employment. ,CM sent in Auxiliary Funds for CT to get a Guard Card for employment. ,Good progress,4,Need assistance with school enrollment/improving school grades
Hollenbeck 2-20-202-2,ct is need of transportation or bus tokens to get around. ,CM is having CT fill out paperwork for bus tokens and CT should be receiving Bus Token once a Month. ,Some progress,0,Emotional/behavior issues
Hollenbeck 2-20-203-1,ct wants to work on getting his california id.,CM going to give CT Reduce Fee Form for California ID.,No progress,2,Need work ready documents/California id
Hollenbeck 2-20-203-1,ct looking for a part time job for after school. ,CM going to be looking for Job Leads for CT.,No progress,0,Emotional/behavior issues
Hollenbeck 2-20-203-1,ct is on probation and needs to due as told from probation officer to get off probation. ,CT needs to finish up School to get off Probation. ,A Little progress,0,Emotional/behavior issues
Hollenbeck 2-20-203-2,client wants to finish school. ,Trying to get CT back into School so he can Finish. ,Some progress,4,Need assistance with school enrollment/improving school grades
Hollenbeck 2-20-203-2,client wants to join  a fire camp. ,Looking into Programs so that CT can join Fire Camp Academy. ,Good progress,0,Emotional/behavior issues
Hollenbeck 2-20-203-2,ct needs help with transportation or bus tokens to get around. ,CM had CT do paperwork to get Bus Tokens. CT will be receiving Bus Tokens once a month. ,Some progress,0,Emotional/behavior issues
Hollenbeck 2-20-205-1,ct in need of employment ,CM looking in to Job Leads for CT.  ,Some progress,4,Need assistance with school enrollment/improving school grades
Hollenbeck 2-20-206-1,ct is in need of a work permit for a part time job.,Going to work on getting work permit so that CT can have a Part Time Job after school hours to keep out of Trouble.,No progress,2,Need work ready documents/California id
Hollenbeck 2-20-206-1,ct wants to get his drivers license. ,Giving CT DMV Books to Study for Drivers Test and to set up Appointment for CT. ,No progress,0,Emotional/behavior issues
Hollenbeck 2-20-206-1,ct want to do better in school and keep grades up. ,Going to be checking up on CT about Grades and looking into Tutoring for CT to keep grades up. ,A Little progress,4,Need assistance with school enrollment/improving school grades
Hollenbeck 2-20-209-1,ct wants to get off probation. ,CM and CIW going to be Following up with CT making sure he's seeing his Probation Officer and staying out of trouble. ,A Little progress,0,Emotional/behavior issues
Hollenbeck 2-20-209-1,ct wants to get a work permit to have a part time job. ,CM and CIW going to work on getting CT a Work Permit through the School. ,A Little progress,2,Need work ready documents/California id
Hollenbeck 2-20-209-1,ct needs to do community service hours. ,CM and CIW looking where CT can do Community Service. ,No progress,5,Need to complete community service hours for probation requirements
Hollenbeck 2-20-210-2,client needs assistance obtaining a ca id,CLT was able to obtain ID after being to get replacement BC; CM provided DMV waiver form ,Task/Service successfully completed,0,Emotional/behavior issues
Hollenbeck 2-20-210-2,summer employment ; cal works recipient ,internship workshop ,Excellent progress,2,Need work ready documents/California id
Hollenbeck 2-20-210-2,summer employment ; cal works recipient ,CM assisted CLT with attending 1st day at work site - CVS ,Good progress,2,Need work ready documents/California id
Hollenbeck 2-20-210-2,summer employment ; cal works recipient ,CLT completed internship hours,Task/Service successfully completed,2,Need work ready documents/California id
Hollenbeck 2-20-210-2,clients needs replacement bc and social security; current documents damaged,CM request funds to assist with purchasing Birth Certificate ,Good progress,0,Emotional/behavior issues
Hollenbeck 2-20-210-2,clients needs replacement bc and social security; current documents damaged,CLT was able to obtain Birth Certificate and ID,Task/Service successfully completed,0,Emotional/behavior issues
Hollenbeck 2-20-211-1,having problems in school with grades and fighting. ,Going to look into some Tutoring for Client to keep grades up. ,A Little progress,4,Need assistance with school enrollment/improving school grades
Hollenbeck 2-20-211-1,client needs help to get work ready docs and paperwork ,Working to get funds for Clients Paperwork and seeing how we can get CT's Documents. ,No progress,2,Need work ready documents/California id
Hollenbeck 2-20-212-1,assist with medical services ,switch health providers,Excellent progress,5,Need to complete community service hours for probation requirements
Hollenbeck 2-20-212-1,tier 1 - economic assistance - items for new born baby,CM was able to provided baby items thru Baby 2 Baby SEA vendor ,Some progress,0,Emotional/behavior issues
Hollenbeck 2-20-213-1,client needs assistance with attaining birth certificate ,CM requested aux funds ,Some progress,0,Emotional/behavior issues
Hollenbeck 2-20-213-1,client needs assistance with attaining birth certificate ,received funds for BC,Good progress,0,Emotional/behavior issues
Hollenbeck 2-20-214-1,client wants to obtain a ca id ,CM provided client with a request for reduced fee form for her mother to fill out to obtain. ,Some progress,0,Emotional/behavior issues
Hollenbeck 2-20-216-1,client is in need of a ca id,CM is going to give Reduce Fee Form to CT to get CAL-ID. ,A Little progress,0,Emotional/behavior issues
Hollenbeck 2-20-216-1,ct wants to finish his community service hours. ,CM is looking into Places and Services where CT can finish his Community Service Hours. ,Some progress,5,Need to complete community service hours for probation requirements
Hollenbeck 2-20-216-1,ct is in need of court support. ,CM is getting Support Progress Letters done every time CT has Court. ,Some progress,0,Emotional/behavior issues
Hollenbeck 2-20-216-2,ct is in need of court support. ,CM assisting CT in Court Appearances and giving update progress letters for Court. ,Some progress,0,Emotional/behavior issues
Hollenbeck 2-20-216-2,ct needs to finish community service hours. ,CM working with CT to finish up his community service hours. ,Some progress,5,Need to complete community service hours for probation requirements
Hollenbeck 2-20-216-2,ct is in need of a cal-id. ,CM working on getting finances and reduce fee form for CT to get Cal-ID. ,A Little progress,0,Emotional/behavior issues
