S6b_Other_Activities,S11a_Comments,A1_Description,A2_Description,A3_Description,O1_other_group_name,Group_name_part1,PUSH_1,PULL_1,Emotion
Pertaining to his class and construction job,Not working full time,Venice Youth Build Vocational School,Learning at school/Also getting a trade vocational school/Construction,"peers, teachers, counselors, case managers",Venice youth build/or community build,Homies,No/working and going to school did.,Yes working and going to school,neutral
,Housing,Best friends,,,Best Friend,Homies,Nothing,I got hospitalized,neutral
,Boyfriend got arrested and broke up.,School friends,,,School friends,Friends,No,Not being able to go outside. Doing things I have to do.,sadness
Job readiness,School,School,,Best friends,Best friends,Homies,"Yes, my relationship","Yes, school",neutral
music production,Unemployment,,,,CBI,Success gang,Having a baby,Having a child,fear
"Teen Club, life skills mentoring",Getting in trouble at school,Teen Club,,CBI,GRYD CBI,Group,,,joy
"Workout, read","Got injured at my work place now owe 3,600, 80 of hospital bills","Friends at job, boyfriend, school",,college friends,No name,No group,"Lost a friend to gang violence 10 days after high school, lost my great grand mother right before graduation, my best friend is now facing 4 years in state prison right after graduation. My father is also facing jail time. I am no longer in touch with him.","I had no group some bad friends maybe, but I no longer have contact with anyone.",fear
VOALA,Got into a fight,Friends from school,,VOALA,Volunteers of America (GRYD),No group,,,joy
Football,Keeping grades up,Football team,High school football team,,No other group,Crew,Friend going to jail,Opportunities,neutral
Homework/work study,Two friends were killed,,,,No other group,Group,,,sadness
Working on verbage and how I conduct myself with others as well as being more assertive,"Stress of tending to family relationship, children. No time to tend to myself",Friends/Associates,,street racing,street racing,Group,Going to jail and dying for nothing. Is a waste of time,School and my kids,joy
Tutoring,Incident with the school police & friend.,,,,No other group,Friends,"Yes, incident that happened to me recently","Yes, graduating school & experiencing more as I get older.",neutral
"Anger management, NA, Gender speific","My son is being taken away, lost custody of son",High school friends,,Inspirational Group/SEA,Inspirational Group,Homies,"Yes. Everything. Abuse, accident, son taken away, going to jail.",My son and becoming aware of new opportunities.,neutral
Work program for G.R.,Car accident,G.R. Work Group,Community Clean up,C.B.I.,CBInc,No group,,,fear
UAM & gender-specific workshops,No comment,,,,No other group,Friends,No,No,neutral
,Paralyzed,,,,No other group,Friends,I got shot and paralyzed waist down,No,fear
Community garden volunteer,Lost keys for the house,,,,No other group,Friends,"Yes, don't want to talk about it",No,fear
,Friend was shot,,,,No other group,Group,Friend was killed,Having my first child,fear
GRYD,Brother was shot,,,Friends,Friends,No name,My brother getting shot,Finishing school,neutral
,Not finding work,,,,No other group,Crew,Nothing,Finishing school and thinking about my future,neutral
Church on occasionally,Riding in a stolen car then getting pressured by shelldog to do right in life,School,Basketball,CBInc,Other group,Group,,,fear
GRYD,Fighting w/ brother,Soccer,Soccer,soccer,Kickers,Block,Brother went to jail,Sports,fear
Life workshops and therapy,Losing custody of kids,Church,SEA,,SEA,No group,,,fear
Counseling/helper,I found out my friend got shot and paralized [sic],Work friends,,People I have met,Work friends,Friends,My close friends are being charged with serious time and taking deals,Going to school,neutral
"Spending time with family, sports",Did not graduate high school last year,Friends,,,Friends,No group,,,neutral
,Having his first child,,,,No other group,B Group,Cousin was murdered in front of the house.,,joy
"Running, exercise",Friend was killed,,,,No other group,Group,"Before this program, I did a long prision sentence that changed my life.",Working,sadness
"Job training, school, homework",Friend got killed,School friends,Job training,Friends from school,Friends,No group,,,sadness
,Family barriers,Group,,,Group,Homies,"Friends getting kicked out of school, I want to do better.",I want to be a police officer one day and want to get my credits,neutral
Playing soccer,Getting locked up,,,,No other group,No group,Having a kid and thinking about being a better dad,Nothing really,anger
,My father going to jail,I started hanging out with my co-workers from Taco Bell.,,My co-workers,Co-workers,Homies,The Homies are getting smoked left and right.,I got a job at Taco Bell and I want to get my diploma.,neutral
Work experience,Assaulted by someone,,,,No other group,Group,Want a better life for my kids,Working,fear
,My child's health,,My homegirls,,No other group,Cholas,How bad my group has gotten. They do more and more bad things everyday.,My child's health and behavior,neutral
,I got into an argument with my sister,Crenshaw youth fun,,GRYd Positive,GRYD,My squad,"Yes, no loyality with one of my friends.",Not pulling but case manager is the voice in my head when I do bad things I think before I do.,joy
"UAM, Gender-specific work-shop","""I don't like these questions""","""Family""",GRYD,Gender Specific/UAM,Family,"""Family""",No comment,Nothing,neutral
,My dad's cousin died.,School friends,,,School friends,No group,,,sadness
,Want a job but too young or on SSI,In school,CBInc,CBInc,CBInc,No group,,,fear
Meets with GRYD,Change in lifestyle,Old friends,,"Old friends, GRYD, others friends",GRYD,The Valley,"""One of my friends got shot a week ago""","""Work pulls me away from hanging with my homies""",neutral
,Homeless,,,,No other group,No group,,,fear
Volunteer work; sport/boxing,Not getting along with and major fights with mom,,,,School friends,No group,,,sadness
Girls Empowerment Group,Prom expenses,School friends,,,School friends,No group,,,neutral
Girls Group,College,"School friends, church friends",,,"School friends, church friends",No group,,,neutral
"Working with staff at Chapter Two, empowerment activities","Got a ticket, trying to get a job",,,,No other group,No group,,,neutral
After school program,Boyfriend issues,No name,,,Some other group,Never been,No.,A relationship she had with someone,sadness
Work with GYRD and anger classes,"""Doesn't want to talk about it.""",,,,No other group,My girls,"""Fought with a close friend""","""Thinking different now""",neutral
Just read,Finances at home,,,,No other group,No group,Losing a place,None,neutral
Self meditation,Caught up with boy,School friends,Dance Group,,School friends,No group,,,joy
,Found out she is pregnant,School friends,,,School friends,No group,,,neutral
,My mother left my brothers and I when I was small.,School friends,,,School friends,No group,,,neutral
Counseling and group sessions,Mom had surgery,School friends,,Life Skills Group,Helper Foundation,Homies,"No, she (girlfriend) tries to get to my head to not to do it but I do it.","For awhile, my girlfriend did. I spend time with her, than being out here",neutral
,A lot going on.,,,,No other group,Friends,"Yes, people that have gotten taken. Hurt over Uncle's death.",No,neutral
Works out,Got into an argument with his girlfriend,School,,School,School,No group,,,joy
,Not finishing regular school,,,,No other group,No group,,,neutral
,Nothing in general. Just stressed every day.,,,,Friends,Friends,Friends don't like that I have a girlfriend.,"No, just getting closer to my girlfriend",neutral
,Sister had a baby in ICU.,Old co-workers,,,No other group,Homies,With the killings you can't trust and need to stay away,Not really,neutral
Business Academy,Parents telling him he will not make it,School,,,School,Homies,Not really,Attending a new school,neutral
"Aztec Dance Group, Gym, Basketball at the gym.","Relapse to meth last March, withdrawals lasted about 3 weeks","Dance friends, friends from neighborhood",Aztec Dance Group,,Dance Friends,People,"I left to Sacramento, and when I came back, I just stopped hanging out w/ everyone and just stayed home for like 3 months, just cleaned, listened to music. I used that as a rehabitation for myself. In Sacramento to April 16-Aug 2016. Then stayed home Aug.-Dec. Started ARC in Jan.","My Mom's one of my supporter. Aztec dance is something spiritual, and it's pulled me away from the bad influence.",sadness
Employment activities,Death in family,,,,No name,Group,Friend was shot and almost died.,Working,sadness
Counseling/life skills,Had a confrontation,School friends,,Life skills group,Helper Foundation,Homies,"Yea, I guess. Too much drama",There's nothing pulling me away,fear
,Got in an argument with my mom,,,,No other group,No group,,,joy
Tutoring,Trouble w/ the law,School,Academic Decathlon,,Academic decathlon,No group,,,joy
Hanging out,Getting hid [sic] up,School,,Neighborhood,Family,Homies,Friends got hurt,My mother,anger
Gender Specific,Parole Case,,,,No other group,Group,,,neutral
Works out,Car accident,Gym,Gym,,Gym,No group,,,fear
,Grandmother has cancer,,,,No other group,Big Money,Not really,Nope,neutral
Substance sessions,Girlfriend broke up with me,At school,Substance abuse sessions,Therapy,Substanc abuse sessions,No name,My ex girlfriend,My ex left me for hanging around with friends who were involved,sadness
Started a program,I got jumped walking home from school,,,,No other group,Homies,,,neutral
Works out,Chemotherapy and surgey,Friends at halfway home,,,Halfway home,No group,,,neutral
,Got jacked,,,,No other group,Group,Trying to make more money,Getting jacked makes me want different friends.,neutral
GRYD Male Workshops,Friend was murdered,,,,No other group,Homies,No. The homies are always there for me.,No,sadness
,Somebody stole from me,,,My friends,No other group,No group,,,anger
Search jobs; reading; Internet; reselling stuff,Grandfather died. Kicked out of house. Homie died.,Skateboard gym,,Close childhood friends,Friends,No name,,,sadness
,Friend died,,Helper,,Helper Foundation,Homies,Friend died,Friend died,sadness
,My brother got deportation,,,,No other group,Homies,My brother in jail,My brother will be deported back to Mexico,fear
,Getting shot,,,,No other group,Friends,No,"Yes, getting a job",fear
Participates in VOALA activities,Mother passed away,School friends,Volunteers of America (GRYD),VOALA,Volunteers of America (GRYD),No group,,,sadness
Go to church,I hate when I am pushed to go to school,At work,Church,Basketball,Work,No name,None,Just being bored,anger
I do boxing and play soccer,Not discussed at this moment.,Boxing,Hollywood FC,,No other group,No group,,,neutral
Church,1. family fighting 2. getting kicked out the house,,,,No other group,No group,,,fear
Church,No,Family friends,,Family friends,Family friends,Homies,"Many friends from the ""Homies"" Group have gone to jail.",I've been focusing on my school and potential job.,neutral
"Washing, cleaning the house, cress [sic] my shoes","School, finding a job","""School friends""",GRYD,,School friends,Milwood,I changed because I saw my brother get locked up and was not trying to live like that.,I was tired of seeing my mom crying and worried.,joy
,Friend got killed,School friends,,,School friends,No group,,,sadness
Videos,Not having my way,At school,Soccer,Videos,Videos,No name,None,Not me,neutral
Church,School,School friend,Gracie,,Friend,No group,,,neutral
,My grandmother died.,,,,Homies,Homeboys,My grandmother died and my older brother went to prison for 2 years.,I have my mentor and my probation officer giving me support.,sadness
,Homies turning on each other,,,,No other group,Homies,"Yes, homies turning agaist each other",No,neutral
Resumes/job readiness,"Lost friends/family, joblessness","Daughters, school friends",,,School friends,No group,,,sadness
I am an extra in movie acting,Bullying,,,,GRYD,No group,,,fear
,Brother incarcerated,School friends,,Neighbors,Neighbors,Homies,Mom's concerned for my safety. Brother being locked-up.,New set of friends. Spending more time w/ friends.,neutral
GRYD Program,Moving to South LA. Never lived outside of San Fernando Valley.,,"GRYD, GRYD Reentry",,GRYD,Soak It Up,"Yes, older brother went to jail and is facing prison time - this happened right before cliient was released from camp. In addition, client lost homies while locked up.",No,fear
,"Homeless, being broke and on the streets",,,,No other group,Homies,"Yes, my brother is in jail",Sometimes my child,fear
"Volunteer at SEA, church",School (college) is stressful,GRYD (clients & staff),,GRYD,GRYD (clients & staff),Homies,Friends going to jail and friends dying.,"Getting a job, volunteer work with intervention, graduating and going to college.",neutral
Softball,Mother and stepdad separated,Friends,,,Friends,No group,,,neutral
,Friend was killed,,,,No other group,Group,Working a lot of hours,Getting a job,sadness
"Thinking about my self, friends, family","My work, it gets stressful",School friends,,Park friends,School friends,Homies,Looking at life from a new prespective. He didn't want to get his parents mad or upset anymore.,Seeing friends being influence [sic] by bad company or being led to heavy drug's,neutral
Basketball @ VOA,"School (messy people), girl problems",Community/MMA friends,MMA training,,Community/MMA group,No group,,,fear
,Not graduating,,,,No other group,No group,,,neutral
Cadet program/church,Mom is incarcerated,Church/cadet pro.,,Friend's,Church,No group,,,neutral
,Ticket,School friends,,,School friends,No group,,,neutral
GRYD program,Not graduating high school,,,,No other group,Friends,No,"Not graduating high school, I need to focus",neutral
Football practice,Cousin was killed in ATL. Cousin was at the wrong place at the wrong time.,,,,No other group,No group,,,fear
,"School, boyfriend case",,,,No other group,Friends,"Yes, because stressing over school and feeling down.",No,joy
Work outs at the gym,Having guns pulled out on me,,,Neighbors,Neighbors,No group,,,fear
VOA,DV issues within family,,,,No other group,No group,,,neutral
Community service @ VOALA,Probation (400 hours of community service),Community friends,Volunteers of America (GRYD),,Community friends,No group,,,joy
,Friend got killed,,,,No other group,Group,Went to jail and lost my job,No,sadness
"Getting ready to enroll back in school, has only check in as client.",Lost job,,,,No other group,No group,,,sadness
,School kicked me out,,,,No other group,Friends,No,Probation,neutral
"Self improvement, communication 101, job readiness",I was suspended before,Basketball team,Basketball team,GRYD,GRYD,No group,,,neutral
,Stopped going to school,,,Program,Program,No group,,,fear
,Got into a fight,,,,No other group,Friends,Nothing,My kids,joy
Job readiness,Rocky relationship with boyfriend,School friends,,,School friends,No group,,,joy
Feeding the homeless,Unemployment,Church,,High school friends,High school friends,Homies,,Spending time with daughter and girlfriend.,fear
GRYD and AA for teens,Being arrested,School friends,,Sober Friends,Good kids,Homies,"Yes, when he and his homies got arrested",No,fear
Doing good in school,Client stressing about a job,Church sometimes,,CB inc/community build,Other group,No group,,,joy
,My parents (divorce),,,,No other group,Mi Familia,"Yes, family drama",No,sadness
Community Build Inc,Family & spouse problems,General Relief Friends,CBI,,Other group,No group,,,sadness
,Friend died,,,Friends,Friends,No group,,,sadness
,House getting raided by police,Girlfriends,,Girlfriends,Girlfriends,Homies,Going to jail,Focusing on girfriend and trying to get a job,fear
Church Activities,Grandfather has cancer,School Friends,,Church friends,School friends,No group,,,neutral
,Had a fight with my mother,,,,No other group,Group,Friends going to jail,Going to college,anger
,Medical,,,Friends,Friends,No group,,,neutral
,Two friends died; broke up with girlfriend,,,,No other group,DMC,One friend got shot; one got thrown out of his car in an accident,Nothing,sadness
Yes-GRYD workshop/religious activities,Conflict with brother,,,,No other group,Friends,No,No,fear
,Death of parents and being homeless,,,,No other group,Homies,Death of friends,Having a son,sadness
Practicing on having patience,Not being able to find a stable job,Youth build GRYD,,,Childhood friends,Junkies,Seeing my homeboy die and take his last breath in front of my eyes.,Having my daughter and moving to a new city.,joy
Working with CBInc.,Job security is being stressful,CBI/security,CBI,CBI,CBInc,Group,"Yes having a job, also working with CBInc. Have a big influence on my life in getting jobs",Same thing,fear
,No communication with father,School friends,,,No other group,Friends,"Yes, want to make mother proud","Yes, wants to graduate high school",neutral
,Big fight with best friend,school,Clipper,Friend,Positive people,The joes,Friends was killed,Brother's support,joy
,Cops,Work,,,No other group,Friends,Somewhat. Trying not to get in trouble.,No,neutral
Sports,Caught smoking marijuana,A couple of friends,,,Friends,No group,,,neutral
,Baby daddy and kids,,,,No other group,No group,,,neutral
Church with grandmother,Being bullied at school,VOA GRYD church group,Dance/Cheer,,Volunteers of America (GRYD),No group,,,fear
Exercise,Don't want to talk about it,,,,No other group,The Fellas,"My friend got smoked ""killed"", shot in the face",My mom cries to me - begs me not to kick it with them,neutral
Playing soccer,My father left my mother for another woman,School friends,Soccer team,,Soccer team,No group,,,sadness
"Having a job, looking for more",Friend got killed,At the job,CBInc,CBInc,CBInc,Group,,New Job,sadness
,Got hit by a car and lost my first job,,,,No name,Group,Lost my job,Being injured and sick,sadness
,Boyfriend issues,,,,No other group,The hood,"No, I'm good",Nope,sadness
Visiting doctor appts,Got show on the leg.,,,,No other group,No group,,,joy
Youth Enrichment Services,Move out and staying rival community,,Y.E.S.,,Y.E.S.,,Having prohibition ease,Going to school,joy
,Personal,,,,No name,Hood,No,No,neutral
,Got into a fight with my dad,,,,No other group,Group,A fight with my dad,Moved to a different area,joy
,Gossip in school,,,,No other group,School friends,Gossiping females don't know how to keep secrets,School and teachers,neutral
Group therapy,I was removed from my home.,Camp program,Camp,Group home,No other group,No group,,,neutral
,Went to prison,,,,GRYD,No group,,,neutral
Participates in activities that (VOA) puts together,My brother being incarcerated,School friends,Volunteers of America (GRYD),VOALA,Volunteers of America (GRYD),No group,,,neutral
,Some girls tried jumping me.,Church,,,Church,Community,The lost of friends to gang violence has and is pushing me away.,Yes client say her kids are her reason for pulling away.,neutral
,Homeboy was shot,,,,No other group,Wsup,Homeboy was shot,No,fear
GRYD and another program,My friend died,,,GRYD and GIRIS IN GANGS,GRYD,Friends,No,No,sadness
Work out,Dad passing away,School,,Neighbors,School,No group,,,fear
"Basketball, Soccer, Softball, Y.E.S.","""When my mom moved in with me.""",,Basketball,,Friends,Homies,"""One of my home girls got caught up which caused me to push away from them.""",Basketball ad focusing on my grades,joy
,Bad car accident,,,,No name,No group,,,fear
Job readiness,Broke up with girlfriend,,,Friends,Friends,No group,,,neutral
,Homeboy's sister was shot,,,,No other group,West,Homeboy's sister was shot,No,neutral
,I was stabbed and hospitalized,,,,No other group,Homies,No,No,fear
,Did not wish to explain,,,,No other group,The Group,No,,fear
,Having a baby,,,,No name,Hunnits,No,No,joy
,I have been shot at and jumped.,,,Childhood friends,Childhood friends,Homies,Nothing,Work,neutral
,Seen my mom get hurt by a man,,,,GRYD,No group,,,fear
"Church, volunteer","Being broke, No money, no job!!!",Church,Park football,Friends from school,No name,No group,,,fear
"Football, church, volunteer",Friend was killed by rival neighborhood,church / school,football,,No name,No group,,,fear
,School,,,,No other group,Friends,No,No,neutral
"Football, church, volunteer",Friend was shot and killed,church / school,football,friend in hood,No name,No group,,,fear
"Football, volunteer, church",witness a friend shot and killed,church / school,football,,No name,No group,,,sadness
"Football, Volunteer, Church",Friend got shot but did not die.,Church,Football,,No name,No group,,,sadness
"Football, church, volunteer",Friend was shot and killed,church,football,,No name,No group,,,fear
,Getting shot,Church,,,Church,No group,,,fear
School & work community build,Multiple friends & family got killed,,,,Group,Group,Best friend went to jail,Working & trying to stay busy,fear
,Friend got killed,,,,No other group,Group,Got fired from work & trying to obtain employment,Trying to get a job & take care of my son,sadness
,Chemotherapy & surgery,Work,,,Work,No group,,,neutral
School,Needing a job,,CBI,CBI,CBInc,No group,,,fear
,I was homeless for a while with mom,,,,No other group,No group,,,fear
,School and being pregnant,School,,GRYD,School,No group,,,fear
,"Client was attacked by a group of people at a party. He was ""jumped.""",Co-workers,,,Friends,No group,,,fear
,Was hurt by someone in family (uncle),,,,No other group,No group,,,sadness
"Basketball, gym, VOA",Feels this mother turned her back on him - dysfunctional and broken family,,,,No other group,No group,,,sadness
YES program,Everything in life,,,,No other group,Friends,No,"Yes, doing better",neutral
Works out,Breaking up/girlfriend,School,,School,School,No group,,,sadness
,Relationship issues (mother/son),,,,No other group,No group,,,joy
,Getting in trouble with the law,School,,,School,No group,,,joy
,Boyfriend beat up and cops were called,Winter,Winter,Winter,Winter,YB,DCFS got called when boyfriend beat her up,New baby,fear
,Being a mother/parent stresful,,,,No other group,No group,,,neutral
,Stress,,,,No other group,No group,,,neutral
Just GRYD,DCFS took kids,,,,No other group,The 4th,DCFS took kids,No,neutral
"Read, workout",Life mishap,Coworkers,,,,No group,,,fear
,He was jumped by four males,,,,No other group,Community,Yes getting jumped by 4 males and no one helping,Probation getting in trouble and getting my high school diploma will help me stay focused and away from community maybe go to university,neutral
Arts,Suicidal,,,,No other group,Homies,Yes. Family making false accusations.,Yes. SEA.,fear
Reading a book,Was raped and beaten,,,,No other group,Gang,"Yes, I was raped by a friend from my gang",Having a baby,fear
"Yoga, running, and outdoor activities","Started college, lack of materials",,,,No other group,Friends,No,"Yes, starting school",neutral
GRYD,Everything,Friends,,,School Friends,No group,Friends going to Jail or dying,None,neutral
Life skills at j.p park teen club,"Older friend died, kidney failure",School,J.g park teen club,CBinc,CBinc,No group,,,sadness
,Does not want to talk about it,Friends,,,The Regulars,The Friends,Going to juvenile hall and going on house arrest,"Yes, going to church and reading the Bible.",neutral
,Boyfriend problems,,,,No other group,Friends,No,"Yes, I'm pregnant now I need to change my life",sadness
,Uncle passed away,,,,No other group,No group,,,sadness
,Sent to juvenile hall,School,,,School,No group,,,joy
,Homeless; being disowned for dating a girl,,,Sister friends,Sister friends,No group,,,fear
,Broke up with girlfrined,,,,No other group,Friends,No,"Yes, having a kid",neutral
,Was raped,,,,No other group,Friends,I went to Sunburst Youth Academy,Being in Sunburst has made me look at things different.,fear
,No comment,,,,No other group,Group,Yes- was too uncomfortable and event pushed me away from,Yes- boyfriend got out of prison,neutral
Working out,Car accident,Work,Gym,,GYM,No group,,,fear
[mentor name]-Life skills,Might be pregnant,,,Carillo-GRYD-mentor,Mentor,Crips,Boyfriend got shot at,I just want peace of mind; I might be pregnant,neutral
,My parents divorce,School friends,,,School friends,No group,,,sadness
,My son was taken away from me,,,,No other group,No group,,,neutral
"Life skills classes, mentorship",Breaking up with girlfriend/brother locked up,School friends,,GRYD Team,School friends,Lanark,Dating on and off again girlfriend,Joining GRYD program,anger
,Son taken away,,,,No other group,Homies,Son taken away makes me not hang out.,Spending more time with my school friends.,neutral
Community Enhancement volunteer work,The passing of my brother,,,,No name,No group,,,neutral
,Doesn't live with her relative (sister),,,,No other group,No group,,,fear
"Yes, program/school volunteer",Concern about sister,School friends,Spanish club,College Class,Friends,No group,,,fear
Taking my sister out,Got sent to placement,School friends,,Outside friends,No name,No group,,,neutral
Volunteer work at school,Mother/disagreements,School friends,,,School friends,No group,,,neutral
Life skill sessions,"Family arguments, money problems",Helper,,Community organization,Helper Foundation,Homies,My uncle and aunt died two days apart,Helper foundation group meetings and life skill sessions,sadness
,Probation,School friends,,,No other group,No group,,,neutral
Church,A bad break up,School friends,,,No name,No group,,,fear
GRYD,Finally moved out bcus [sic] of mom,,,,No other group,Goodies,Jealous girls that are suppose to be my amigas,My job,joy
Cheer practice/self grooming,I got my heart broken,Chill,Hip hop dance team,,No name,No name,,,sadness
,"Evicted, living in hard conditions",,,,No other group,Homies,No,No,fear
,Brother was killed 9-16-2017,Car club,,Car club,Low-Low,Ranch,Brother was killed and family blamed him,No,fear
Substance Abuse class,Mom's sick,,,,No other group,My city,Got into it with someone,My son and family,fear
Jogging,Constant moving from boyfriends to parents home,,,,No other group,No group,,,sadness
Client participates in the art workshops.,Client does not have a good relationship with mother.,Friends at VOALA,Volunteers of America (GRYD),VOALA,Volunteers of America (GRYD),The bunnies,Nope,Nope,neutral
,Want to work; don't wanna mess up SSI services,School friends,Teen club,CBinc,Other group,No group,,,anger
,Friend was shot,Church,,Church,Sober Buds,224th,Friend was shot,Nothing,fear
,Going to jail,,,,No other group,Homies,Going to probation camp and being taken away from my family.,Having a baby,neutral
GRYD,DCFS Case,,,,No other group,DWS,DCFS case,No,neutral
GRYD,Gay comments,,,GRYD,GRYD,Squad,Because loyalty issues I down size my squad,Being a part of GRYD keeps me thinking positive,neutral
,Home/life problems,,,,No other group,Friends,Close people going to jail,Different paths,sadness
,Have been shot at,,,,No other group,Homies,No,More financial responsibility has me focused more on work,neutral
,My brother getting killed a couple months ago and my father going back to jail.,Hang out with my co-workers,,Only co-workers,Co-workers,No group,My older brother being killed has opened my eyes.,I got a job at Taco Bell. They want to make me a manager.,fear
Belongs to xxx Dance Group,My Dad's cousin passed away,School friends,Dance group,,Dance group,No group,,,sadness
,My kids is gong to jail for a long time,,,,No other group,HC,My kids dad is going to jail for long time,No,anger
(GRYD) program V.O.A.L.A.,Dad died,VOALA,,,Volunteers of America (GRYD),No group,"Client stated, when father died.",Client feels distant with his family.,sadness
,Friend was jumped and stabbed,,,,No other group,T-Macs,Cousin was stabbed,No,fear
"Sports, landscaping, volunteer work",Tragedy with girlfriend and baby,basket ball with friends,GTRYD,GRYD,GRYD,No group,Past tragedies for his family,Having child changed mindset,sadness
,Loss of a friend,School friends,,,School friends,Homies,Just my last relationship made me push people away and all I wanted to do was be alone,No nothing has happened,sadness
"Workout, draw",Life,,,,No other group,Homies,Having court issues,Work,neutral
,Aunt was killed,,,,No other group,West,Aunt was killed,No,neutral
Basketball,Friend was killed,,,,No other group,Group,Lost a friend,Nothing,sadness
Client goes to the park and plays ball,Client stated a family member got shot at,Client stated she is involved at church,Client attends workshop activities,Clients attends family functions,Volunteers of America (GRYD),No group,,,fear
,Broke up from a serious relationship,Schoo friends,Youthbuild/GRYD,GRYD,School/GRYD friends,No group,,,sadness
Hopic TRC Services,Losing children (child custody case open),,,,No other group,No group,,,sadness
GRYD program,Friend issues,GRYD,,School friends,GRYD,Homies,Yes. School.,Yeah. The GRYD program.,sadness
"Yes, program","School related, personal issue",,,,No other group,Friends,No,"Yes, not being able to go out because of having a child",fear
Male workshop and YES program,Family issue,,,,No other group,Friends,No,"Yes, trying to avoid problems",neutral
,Fanishing school,,,,No other group,Friends,Getting shot,"Finishing school, settins off probation and working and school",neutral
YES program,"Work checks, not being on time.",,,,No other group,Friends,No,No,fear
,Family issue,,,,No other group,Friends,Going to jail,Becoming a father and moving.,neutral
Anger management,No,School friends,,,No other group,No group,No,"(""pass"")",neutral
,"foster care, family not doing good, mom dying",,,,No other group,Homies,friends murdered or stuck in drugs,my son,joy
I go to my program on recreational days,My brother got life in prison,Job,,,GRYD,ATC,My brother got life in prison,Getting a job,sadness
,Pressure of school,,,,No other group,Homies,Going to jail,Getting a job and becoming aware of new opportunities.,joy
,Mother passed,,,,No other group,Group,Mother died,Job,neutral
,Close friend went to jail.,,,,No other group,No group,Friend got shot,Got a job,sadness
,Getting shot at and dad being deported,,,,No other group,Homies,Nothing,Skateboarding,fear
,Losing job,,,,No other group,Homies,Homies getting shot at and getting locked up.,Getting a job.,fear
,School assignments,,,,No other group,No group,,,joy
Stay out of trouble,No job yet,,,community build,No other group,Crew,Friends gone to jail,Had kids,neutral
,Personal,,,,No other group,Homies,No,No,neutral
,Step shot [sic] - and step dad die,,,,No other group,AFC,No,No,sadness
Volunteer at church,Mom passing away,Recovery home,,,Men's home,Homies,Becoming homeless,Recovery home (Rehab),fear
Skating,Dad died,,,,No other group,Dudes,No,"Yes, school",sadness
Participates in workshops,I was incarcerated and put in probation,VOALA,Volunteers of America (GRYD),VOALA,Volunteers of America (GRYD),No group,,,neutral
Attending my GRYD program,I was put on house arrest,School friends,,GRYD,GRYD,No group,,,neutral
Stay away from truble [sic] and stop kicking it at the park,My friends got shot in front of me.,,GRYD,Club friends,Club Friends,Homies,When my homie got shot in front of me it made me see things differently.,When some of my homies wanted to leave school early and I decided to stay at school and make the right choice.,fear
Park and recreation,Friend was shot and killed in the hood,School/Park and recreation,Football,In the hood,"Other groups-school, football in the hood",No group,,,fear
"Volunteer, Basketball",Friend was shot but not killed,School/Church,Sports,Friends in hood,School,No group,,,fear
,Mom got sick,,,,No other group,Group,Mother getting sick,No,fear
Gym,Getting kicked out  and family being shot at.,,,,No other group,Friends,No,No,fear
Community Service,Crashed the car,,,,No other group,Homies,Nothing,Job,fear
,Spend time in camp,,,,No other group,Group,2 cousins went to prison,Enrolling and attending college,joy
Yes program,School,,,,Basketball friends,Friends,No,"Yes, friends are doing things and moving on with their life wiht makes me focus on myself.",neutral
Community engagement,Immigration,,,,No other group,No group,,,fear
,bro going to jail,,,,No other group,Homies,no,my baby,neutral
,Family issues,,,,No other group,Friends,Not involved in group,Not involved in group,neutral
Substance abuase workshops,Client went to jail,School friends,Volunteers of America (GRYD),VOALA,Volunteers of America (GRYD),No group,,,neutral
"Parks & Rec, Volunteer",Friend was shot and killed,School Parks & Rec,Basketball/Football,,Basketball,No group,,,fear
VOALA activities,Client relapsed but made it a goal to change,Work friends,Volunteers of America (GRYD),VOALA,Volunteers of America (GRYD),The bunnies,No comment,No comments,joy
,My dog died,,,,No other group,No group,,,sadness
Security guard at 7/11 stores,Got incarcerated,7/11 store,,,CBInc,Group,,,neutral
Drug classes at VOA,Probation,,,,No other group,No group,,,neutral
,No,,,,No other group,Homies,Yes. My brothers going to jail hurt me.,No,neutral
,Got fired from a job,,,,No other group,Group,,,fear
,Got hit by a car,,,,No other group,No group,No. Nothing has happened to push me away from my group.,Becoming employed has taken a lot of my time.,fear
,client did not want to spear about it,,,,No other group,No group,,,neutral
Studio with GRYD,Moving neighborhood,Project kids,,,Project kids,School friends,No,Moving,neutral
After school program,Got probation,After school program,,,Group,Group,Got on 3rd probation,Girlfriend,neutral
Going to events and activities at my program,My mom was hurt by my dad.,,Volunteers of America (GRYD),,GRYD,No group,,,fear
,My grandfather passed away,School friends,,,No other group,No group,,,sadness
Work out,Multiple people died,,,,No other group,Group,No,No,fear
"Reading, working out",A lot of people in my family died,,,,No other group,Group,No,Nothing,sadness
"Life skills, one on one counseling, therapy",I was detained in camp.,,,Life skills,HELPER Foundation,Homies,"I was forced to be away, I was locked up, had to stay away, I guess.","In camp I did good in school, I have to finish only history. I want to study business and open a bar.",neutral
Apartment search,Working on getting hours changed. Job search.,Job friends,CBInc,CBInc,CBInc,Group,,,joy
,Death of family member,,,,No other group,Homies,I do not want to be locked up,Nope,sadness
