S6b_Other_Activities,,A1_Description,A2_Description,A3_Description,O1_other_group_name,Group_name_part1,PUSH_1,PULL_1,Emotion,S11a_Comments
Church,,,,,No other group,Homies,No,Wanting to get better in school,anger,Girlfriend issues
,,,,,No other group,Homies,Just school,Just school,neutral,School
VOA program/Volleyball team,,School Friends Volleyball Team,Volunteers of America (GRYD),VOA,Volunteers of America (GRYD),No group,,,neutral,Housing situation with neighbors
Family outings/VOA activities,,,Volunteers of America (GRYD),VOA,Volunteers of America (GRYD),The bunnies,"Nah, chales","Nah, chales",sadness,Lost his job
,,,,,No other group,40's,To [sic] much snitching,"No, my dad wants me in this, I'm cool",sadness,"I got suspended from school I'm in ""hard head"" school (SEA Charter)"
Pertaining to his class and construction job,,Venice Youth Build Vocational School,Learning at school/Also getting a trade vocational school/Construction,"peers, teachers, counselors, case managers",Venice youth build/or community build,Homies,No/working and going to school did.,Yes working and going to school,neutral,Not working full time
,,Best friends,,,Best Friend,Homies,Nothing,I got hospitalized,neutral,Housing
,,School friends,,,School friends,Friends,No,Not being able to go outside. Doing things I have to do.,sadness,Boyfriend got arrested and broke up.
Job readiness,,School,,Best friends,Best friends,Homies,"Yes, my relationship","Yes, school",neutral,School
music production,,,,,CBI,Success gang,Having a baby,Having a child,fear,Unemployment
"Teen Club, life skills mentoring",,Teen Club,,CBI,GRYD CBI,Group,,,joy,Getting in trouble at school
"Workout, read",,"Friends at job, boyfriend, school",,college friends,No name,No group,"Lost a friend to gang violence 10 days after high school, lost my great grand mother right before graduation, my best friend is now facing 4 years in state prison right after graduation. My father is also facing jail time. I am no longer in touch with him.","I had no group some bad friends maybe, but I no longer have contact with anyone.",fear,"Got injured at my work place now owe 3,600, 80 of hospital bills"
VOALA,,Friends from school,,VOALA,Volunteers of America (GRYD),No group,,,joy,Got into a fight
Football,,Football team,High school football team,,No other group,Crew,Friend going to jail,Opportunities,neutral,Keeping grades up
Homework/work study,,,,,No other group,Group,,,sadness,Two friends were killed
Working on verbage and how I conduct myself with others as well as being more assertive,,Friends/Associates,,street racing,street racing,Group,Going to jail and dying for nothing. Is a waste of time,School and my kids,joy,"Stress of tending to family relationship, children. No time to tend to myself"
Tutoring,,,,,No other group,Friends,"Yes, incident that happened to me recently","Yes, graduating school & experiencing more as I get older.",sadness,Incident with the school police & friend.
"Anger management, NA, Gender speific",,High school friends,,Inspirational Group/SEA,Inspirational Group,Homies,"Yes. Everything. Abuse, accident, son taken away, going to jail.",My son and becoming aware of new opportunities.,sadness,"My son is being taken away, lost custody of son"
Work program for G.R.,,G.R. Work Group,Community Clean up,C.B.I.,CBInc,No group,,,fear,Car accident
UAM & gender-specific workshops,,,,,No other group,Friends,No,No,neutral,No comment
,,,,,No other group,Friends,I got shot and paralyzed waist down,No,fear,Paralyzed
Community garden volunteer,,,,,No other group,Friends,"Yes, don't want to talk about it",No,fear,Lost keys for the house
,,,,,No other group,Group,Friend was killed,Having my first child,fear,Friend was shot
GRYD,,,,Friends,Friends,No name,My brother getting shot,Finishing school,sadness,Brother was shot
,,,,,No other group,Crew,Nothing,Finishing school and thinking about my future,sadness,Not finding work
Church on occasionally,,School,Basketball,CBInc,Other group,Group,,,fear,Riding in a stolen car then getting pressured by shelldog to do right in life
GRYD,,Soccer,Soccer,soccer,Kickers,Block,Brother went to jail,Sports,fear,Fighting w/ brother
Life workshops and therapy,,Church,SEA,,SEA,No group,,,fear,Losing custody of kids
Counseling/helper,,Work friends,,People I have met,Work friends,Friends,My close friends are being charged with serious time and taking deals,Going to school,sadness,I found out my friend got shot and paralized [sic]
"Spending time with family, sports",,Friends,,,Friends,No group,,,neutral,Did not graduate high school last year
,,,,,No other group,B Group,Cousin was murdered in front of the house.,,joy,Having his first child
"Running, exercise",,,,,No other group,Group,"Before this program, I did a long prision sentence that changed my life.",Working,sadness,Friend was killed
"Job training, school, homework",,School friends,Job training,Friends from school,Friends,No group,,,sadness,Friend got killed
,,Group,,,Group,Homies,"Friends getting kicked out of school, I want to do better.",I want to be a police officer one day and want to get my credits,sadness,Family barriers
Playing soccer,,,,,No other group,No group,Having a kid and thinking about being a better dad,Nothing really,anger,Getting locked up
,,I started hanging out with my co-workers from Taco Bell.,,My co-workers,Co-workers,Homies,The Homies are getting smoked left and right.,I got a job at Taco Bell and I want to get my diploma.,sadness,My father going to jail
Work experience,,,,,No other group,Group,Want a better life for my kids,Working,fear,Assaulted by someone
,,,My homegirls,,No other group,Cholas,How bad my group has gotten. They do more and more bad things everyday.,My child's health and behavior,neutral,My child's health
,,Crenshaw youth fun,,GRYd Positive,GRYD,My squad,"Yes, no loyality with one of my friends.",Not pulling but case manager is the voice in my head when I do bad things I think before I do.,joy,I got into an argument with my sister
"UAM, Gender-specific work-shop",,"""Family""",GRYD,Gender Specific/UAM,Family,"""Family""",No comment,Nothing,neutral,"""I don't like these questions"""
,,School friends,,,School friends,No group,,,sadness,My dad's cousin died.
,,In school,CBInc,CBInc,CBInc,No group,,,fear,Want a job but too young or on SSI
Meets with GRYD,,Old friends,,"Old friends, GRYD, others friends",GRYD,The Valley,"""One of my friends got shot a week ago""","""Work pulls me away from hanging with my homies""",neutral,Change in lifestyle
,,,,,No other group,No group,,,fear,Homeless
Volunteer work; sport/boxing,,,,,School friends,No group,,,sadness,Not getting along with and major fights with mom
Girls Empowerment Group,,School friends,,,School friends,No group,,,neutral,Prom expenses
Girls Group,,"School friends, church friends",,,"School friends, church friends",No group,,,neutral,College
"Working with staff at Chapter Two, empowerment activities",,,,,No other group,No group,,,neutral,"Got a ticket, trying to get a job"
After school program,,No name,,,Some other group,Never been,No.,A relationship she had with someone,sadness,Boyfriend issues
Work with GYRD and anger classes,,,,,No other group,My girls,"""Fought with a close friend""","""Thinking different now""",neutral,"""Doesn't want to talk about it."""
Just read,,,,,No other group,No group,Losing a place,None,neutral,Finances at home
Self meditation,,School friends,Dance Group,,School friends,No group,,,joy,Caught up with boy
,,School friends,,,School friends,No group,,,neutral,Found out she is pregnant
,,School friends,,,School friends,No group,,,sadness,My mother left my brothers and I when I was small.
Counseling and group sessions,,School friends,,Life Skills Group,Helper Foundation,Homies,"No, she (girlfriend) tries to get to my head to not to do it but I do it.","For awhile, my girlfriend did. I spend time with her, than being out here",sadness,Mom had surgery
,,,,,No other group,Friends,"Yes, people that have gotten taken. Hurt over Uncle's death.",No,neutral,A lot going on.
Works out,,School,,School,School,No group,,,joy,Got into an argument with his girlfriend
,,,,,No other group,No group,,,sadness,Not finishing regular school
,,,,,Friends,Friends,Friends don't like that I have a girlfriend.,"No, just getting closer to my girlfriend",fear,Nothing in general. Just stressed every day.
,,Old co-workers,,,No other group,Homies,With the killings you can't trust and need to stay away,Not really,neutral,Sister had a baby in ICU.
Business Academy,,School,,,School,Homies,Not really,Attending a new school,neutral,Parents telling him he will not make it
"Aztec Dance Group, Gym, Basketball at the gym.",,"Dance friends, friends from neighborhood",Aztec Dance Group,,Dance Friends,People,"I left to Sacramento, and when I came back, I just stopped hanging out w/ everyone and just stayed home for like 3 months, just cleaned, listened to music. I used that as a rehabitation for myself. In Sacramento to April 16-Aug 2016. Then stayed home Aug.-Dec. Started ARC in Jan.","My Mom's one of my supporter. Aztec dance is something spiritual, and it's pulled me away from the bad influence.",sadness,"Relapse to meth last March, withdrawals lasted about 3 weeks"
Employment activities,,,,,No name,Group,Friend was shot and almost died.,Working,sadness,Death in family
Counseling/life skills,,School friends,,Life skills group,Helper Foundation,Homies,"Yea, I guess. Too much drama",There's nothing pulling me away,fear,Had a confrontation
,,,,,No other group,No group,,,joy,Got in an argument with my mom
Tutoring,,School,Academic Decathlon,,Academic decathlon,No group,,,joy,Trouble w/ the law
Hanging out,,School,,Neighborhood,Family,Homies,Friends got hurt,My mother,anger,Getting hid [sic] up
Gender Specific,,,,,No other group,Group,,,neutral,Parole Case
Works out,,Gym,Gym,,Gym,No group,,,fear,Car accident
,,,,,No other group,Big Money,Not really,Nope,sadness,Grandmother has cancer
Substance sessions,,At school,Substance abuse sessions,Therapy,Substanc abuse sessions,No name,My ex girlfriend,My ex left me for hanging around with friends who were involved,sadness,Girlfriend broke up with me
Started a program,,,,,No other group,Homies,,,neutral,I got jumped walking home from school
Works out,,Friends at halfway home,,,Halfway home,No group,,,neutral,Chemotherapy and surgey
,,,,,No other group,Group,Trying to make more money,Getting jacked makes me want different friends.,neutral,Got jacked
GRYD Male Workshops,,,,,No other group,Homies,No. The homies are always there for me.,No,sadness,Friend was murdered
,,,,My friends,No other group,No group,,,anger,Somebody stole from me
Search jobs; reading; Internet; reselling stuff,,Skateboard gym,,Close childhood friends,Friends,No name,,,sadness,Grandfather died. Kicked out of house. Homie died.
,,,Helper,,Helper Foundation,Homies,Friend died,Friend died,sadness,Friend died
,,,,,No other group,Homies,My brother in jail,My brother will be deported back to Mexico,fear,My brother got deportation
,,,,,No other group,Friends,No,"Yes, getting a job",fear,Getting shot
Participates in VOALA activities,,School friends,Volunteers of America (GRYD),VOALA,Volunteers of America (GRYD),No group,,,sadness,Mother passed away
Go to church,,At work,Church,Basketball,Work,No name,None,Just being bored,anger,I hate when I am pushed to go to school
I do boxing and play soccer,,Boxing,Hollywood FC,,No other group,No group,,,neutral,Not discussed at this moment.
Church,,,,,No other group,No group,,,fear,1. family fighting 2. getting kicked out the house
Church,,Family friends,,Family friends,Family friends,Homies,"Many friends from the ""Homies"" Group have gone to jail.",I've been focusing on my school and potential job.,neutral,No
"Washing, cleaning the house, cress [sic] my shoes",,"""School friends""",GRYD,,School friends,Milwood,I changed because I saw my brother get locked up and was not trying to live like that.,I was tired of seeing my mom crying and worried.,joy,"School, finding a job"
,,School friends,,,School friends,No group,,,sadness,Friend got killed
Videos,,At school,Soccer,Videos,Videos,No name,None,Not me,neutral,Not having my way
Church,,School friend,Gracie,,Friend,No group,,,neutral,School
,,,,,Homies,Homeboys,My grandmother died and my older brother went to prison for 2 years.,I have my mentor and my probation officer giving me support.,sadness,My grandmother died.
,,,,,No other group,Homies,"Yes, homies turning agaist each other",No,sadness,Homies turning on each other
Resumes/job readiness,,"Daughters, school friends",,,School friends,No group,,,sadness,"Lost friends/family, joblessness"
I am an extra in movie acting,,,,,GRYD,No group,,,fear,Bullying
,,School friends,,Neighbors,Neighbors,Homies,Mom's concerned for my safety. Brother being locked-up.,New set of friends. Spending more time w/ friends.,sadness,Brother incarcerated
GRYD Program,,,"GRYD, GRYD Reentry",,GRYD,Soak It Up,"Yes, older brother went to jail and is facing prison time - this happened right before cliient was released from camp. In addition, client lost homies while locked up.",No,fear,Moving to South LA. Never lived outside of San Fernando Valley.
,,,,,No other group,Homies,"Yes, my brother is in jail",Sometimes my child,fear,"Homeless, being broke and on the streets"
"Volunteer at SEA, church",,GRYD (clients & staff),,GRYD,GRYD (clients & staff),Homies,Friends going to jail and friends dying.,"Getting a job, volunteer work with intervention, graduating and going to college.",fear,School (college) is stressful
Softball,,Friends,,,Friends,No group,,,sadness,Mother and stepdad separated
,,,,,No other group,Group,Working a lot of hours,Getting a job,sadness,Friend was killed
"Thinking about my self, friends, family",,School friends,,Park friends,School friends,Homies,Looking at life from a new prespective. He didn't want to get his parents mad or upset anymore.,Seeing friends being influence [sic] by bad company or being led to heavy drug's,fear,"My work, it gets stressful"
Basketball @ VOA,,Community/MMA friends,MMA training,,Community/MMA group,No group,,,fear,"School (messy people), girl problems"
,,,,,No other group,No group,,,sadness,Not graduating
Cadet program/church,,Church/cadet pro.,,Friend's,Church,No group,,,sadness,Mom is incarcerated
,,School friends,,,School friends,No group,,,neutral,Ticket
GRYD program,,,,,No other group,Friends,No,"Not graduating high school, I need to focus",sadness,Not graduating high school
Football practice,,,,,No other group,No group,,,fear,Cousin was killed in ATL. Cousin was at the wrong place at the wrong time.
,,,,,No other group,Friends,"Yes, because stressing over school and feeling down.",No,joy,"School, boyfriend case"
Work outs at the gym,,,,Neighbors,Neighbors,No group,,,fear,Having guns pulled out on me
VOA,,,,,No other group,No group,,,sadness,DV issues within family
Community service @ VOALA,,Community friends,Volunteers of America (GRYD),,Community friends,No group,,,joy,Probation (400 hours of community service)
,,,,,No other group,Group,Went to jail and lost my job,No,sadness,Friend got killed
"Getting ready to enroll back in school, has only check in as client.",,,,,No other group,No group,,,sadness,Lost job
,,,,,No other group,Friends,No,Probation,sadness,School kicked me out
"Self improvement, communication 101, job readiness",,Basketball team,Basketball team,GRYD,GRYD,No group,,,fear,I was suspended before
,,,,Program,Program,No group,,,fear,Stopped going to school
,,,,,No other group,Friends,Nothing,My kids,joy,Got into a fight
Job readiness,,School friends,,,School friends,No group,,,joy,Rocky relationship with boyfriend
Feeding the homeless,,Church,,High school friends,High school friends,Homies,,Spending time with daughter and girlfriend.,fear,Unemployment
GRYD and AA for teens,,School friends,,Sober Friends,Good kids,Homies,"Yes, when he and his homies got arrested",No,fear,Being arrested
Doing good in school,,Church sometimes,,CB inc/community build,Other group,No group,,,joy,Client stressing about a job
,,,,,No other group,Mi Familia,"Yes, family drama",No,sadness,My parents (divorce)
Community Build Inc,,General Relief Friends,CBI,,Other group,No group,,,sadness,Family & spouse problems
,,,,Friends,Friends,No group,,,sadness,Friend died
,,Girlfriends,,Girlfriends,Girlfriends,Homies,Going to jail,Focusing on girfriend and trying to get a job,fear,House getting raided by police
Church Activities,,School Friends,,Church friends,School friends,No group,,,sadness,Grandfather has cancer
,,,,,No other group,Group,Friends going to jail,Going to college,anger,Had a fight with my mother
,,,,Friends,Friends,No group,,,neutral,Medical
,,,,,No other group,DMC,One friend got shot; one got thrown out of his car in an accident,Nothing,sadness,Two friends died; broke up with girlfriend
Yes-GRYD workshop/religious activities,,,,,No other group,Friends,No,No,fear,Conflict with brother
,,,,,No other group,Homies,Death of friends,Having a son,sadness,Death of parents and being homeless
Practicing on having patience,,Youth build GRYD,,,Childhood friends,Junkies,Seeing my homeboy die and take his last breath in front of my eyes.,Having my daughter and moving to a new city.,joy,Not being able to find a stable job
Working with CBInc.,,CBI/security,CBI,CBI,CBInc,Group,"Yes having a job, also working with CBInc. Have a big influence on my life in getting jobs",Same thing,fear,Job security is being stressful
,,School friends,,,No other group,Friends,"Yes, want to make mother proud","Yes, wants to graduate high school",neutral,No communication with father
,,school,Clipper,Friend,Positive people,The joes,Friends was killed,Brother's support,joy,Big fight with best friend
,,Work,,,No other group,Friends,Somewhat. Trying not to get in trouble.,No,fear,Cops
Sports,,A couple of friends,,,Friends,No group,,,fear,Caught smoking marijuana
,,,,,No other group,No group,,,joy,Baby daddy and kids
Church with grandmother,,VOA GRYD church group,Dance/Cheer,,Volunteers of America (GRYD),No group,,,fear,Being bullied at school
Exercise,,,,,No other group,The Fellas,"My friend got smoked ""killed"", shot in the face",My mom cries to me - begs me not to kick it with them,neutral,Don't want to talk about it
Playing soccer,,School friends,Soccer team,,Soccer team,No group,,,sadness,My father left my mother for another woman
"Having a job, looking for more",,At the job,CBInc,CBInc,CBInc,Group,,New Job,sadness,Friend got killed
,,,,,No name,Group,Lost my job,Being injured and sick,sadness,Got hit by a car and lost my first job
,,,,,No other group,The hood,"No, I'm good",Nope,sadness,Boyfriend issues
Visiting doctor appts,,,,,No other group,No group,,,joy,Got show on the leg.
Youth Enrichment Services,,,Y.E.S.,,Y.E.S.,,Having prohibition ease,Going to school,joy,Move out and staying rival community
,,,,,No name,Hood,No,No,neutral,Personal
,,,,,No other group,Group,A fight with my dad,Moved to a different area,joy,Got into a fight with my dad
,,,,,No other group,School friends,Gossiping females don't know how to keep secrets,School and teachers,neutral,Gossip in school
Group therapy,,Camp program,Camp,Group home,No other group,No group,,,sadness,I was removed from my home.
,,,,,GRYD,No group,,,fear,Went to prison
Participates in activities that (VOA) puts together,,School friends,Volunteers of America (GRYD),VOALA,Volunteers of America (GRYD),No group,,,sadness,My brother being incarcerated
,,Church,,,Church,Community,The lost of friends to gang violence has and is pushing me away.,Yes client say her kids are her reason for pulling away.,neutral,Some girls tried jumping me.
,,,,,No other group,Wsup,Homeboy was shot,No,fear,Homeboy was shot
GRYD and another program,,,,GRYD and GIRIS IN GANGS,GRYD,Friends,No,No,sadness,My friend died
Work out,,School,,Neighbors,School,No group,,,fear,Dad passing away
"Basketball, Soccer, Softball, Y.E.S.",,,Basketball,,Friends,Homies,"""One of my home girls got caught up which caused me to push away from them.""",Basketball ad focusing on my grades,joy,"""When my mom moved in with me."""
,,,,,No name,No group,,,fear,Bad car accident
Job readiness,,,,Friends,Friends,No group,,,sadness,Broke up with girlfriend
,,,,,No other group,West,Homeboy's sister was shot,No,sadness,Homeboy's sister was shot
,,,,,No other group,Homies,No,No,fear,I was stabbed and hospitalized
,,,,,No other group,The Group,No,,fear,Did not wish to explain
,,,,,No name,Hunnits,No,No,joy,Having a baby
,,,,Childhood friends,Childhood friends,Homies,Nothing,Work,fear,I have been shot at and jumped.
,,,,,GRYD,No group,,,fear,Seen my mom get hurt by a man
"Church, volunteer",,Church,Park football,Friends from school,No name,No group,,,fear,"Being broke, No money, no job!!!"
"Football, church, volunteer",,church / school,football,,No name,No group,,,fear,Friend was killed by rival neighborhood
,,,,,No other group,Friends,No,No,neutral,School
"Football, church, volunteer",,church / school,football,friend in hood,No name,No group,,,fear,Friend was shot and killed
"Football, volunteer, church",,church / school,football,,No name,No group,,,sadness,witness a friend shot and killed
"Football, Volunteer, Church",,Church,Football,,No name,No group,,,sadness,Friend got shot but did not die.
"Football, church, volunteer",,church,football,,No name,No group,,,fear,Friend was shot and killed
,,Church,,,Church,No group,,,fear,Getting shot
School & work community build,,,,,Group,Group,Best friend went to jail,Working & trying to stay busy,fear,Multiple friends & family got killed
,,,,,No other group,Group,Got fired from work & trying to obtain employment,Trying to get a job & take care of my son,sadness,Friend got killed
,,Work,,,Work,No group,,,neutral,Chemotherapy & surgery
School,,,CBI,CBI,CBInc,No group,,,fear,Needing a job
,,,,,No other group,No group,,,fear,I was homeless for a while with mom
,,School,,GRYD,School,No group,,,fear,School and being pregnant
,,Co-workers,,,Friends,No group,,,fear,"Client was attacked by a group of people at a party. He was ""jumped."""
,,,,,No other group,No group,,,sadness,Was hurt by someone in family (uncle)
"Basketball, gym, VOA",,,,,No other group,No group,,,sadness,Feels this mother turned her back on him - dysfunctional and broken family
YES program,,,,,No other group,Friends,No,"Yes, doing better",neutral,Everything in life
Works out,,School,,School,School,No group,,,sadness,Breaking up/girlfriend
,,,,,No other group,No group,,,joy,Relationship issues (mother/son)
,,School,,,School,No group,,,joy,Getting in trouble with the law
,,Winter,Winter,Winter,Winter,YB,DCFS got called when boyfriend beat her up,New baby,fear,Boyfriend beat up and cops were called
,,,,,No other group,No group,,,fear,Being a mother/parent stresful
,,,,,No other group,No group,,,fear,Stress
Just GRYD,,,,,No other group,The 4th,DCFS took kids,No,fear,DCFS took kids
"Read, workout",,Coworkers,,,,No group,,,fear,Life mishap
,,,,,No other group,Community,Yes getting jumped by 4 males and no one helping,Probation getting in trouble and getting my high school diploma will help me stay focused and away from community maybe go to university,neutral,He was jumped by four males
Arts,,,,,No other group,Homies,Yes. Family making false accusations.,Yes. SEA.,fear,Suicidal
Reading a book,,,,,No other group,Gang,"Yes, I was raped by a friend from my gang",Having a baby,fear,Was raped and beaten
"Yoga, running, and outdoor activities",,,,,No other group,Friends,No,"Yes, starting school",neutral,"Started college, lack of materials"
GRYD,,Friends,,,School Friends,No group,Friends going to Jail or dying,None,neutral,Everything
Life skills at j.p park teen club,,School,J.g park teen club,CBinc,CBinc,No group,,,sadness,"Older friend died, kidney failure"
,,Friends,,,The Regulars,The Friends,Going to juvenile hall and going on house arrest,"Yes, going to church and reading the Bible.",neutral,Does not want to talk about it
,,,,,No other group,Friends,No,"Yes, I'm pregnant now I need to change my life",sadness,Boyfriend problems
,,,,,No other group,No group,,,sadness,Uncle passed away
,,School,,,School,No group,,,joy,Sent to juvenile hall
,,,,Sister friends,Sister friends,No group,,,fear,Homeless; being disowned for dating a girl
,,,,,No other group,Friends,No,"Yes, having a kid",sadness,Broke up with girlfrined
,,,,,No other group,Friends,I went to Sunburst Youth Academy,Being in Sunburst has made me look at things different.,fear,Was raped
,,,,,No other group,Group,Yes- was too uncomfortable and event pushed me away from,Yes- boyfriend got out of prison,neutral,No comment
Working out,,Work,Gym,,GYM,No group,,,fear,Car accident
[mentor name]-Life skills,,,,Carillo-GRYD-mentor,Mentor,Crips,Boyfriend got shot at,I just want peace of mind; I might be pregnant,fear,Might be pregnant
,,School friends,,,School friends,No group,,,sadness,My parents divorce
,,,,,No other group,No group,,,sadness,My son was taken away from me
"Life skills classes, mentorship",,School friends,,GRYD Team,School friends,Lanark,Dating on and off again girlfriend,Joining GRYD program,anger,Breaking up with girlfriend/brother locked up
,,,,,No other group,Homies,Son taken away makes me not hang out.,Spending more time with my school friends.,sadness,Son taken away
Community Enhancement volunteer work,,,,,No name,No group,,,sadness,The passing of my brother
,,,,,No other group,No group,,,fear,Doesn't live with her relative (sister)
"Yes, program/school volunteer",,School friends,Spanish club,College Class,Friends,No group,,,fear,Concern about sister
Taking my sister out,,School friends,,Outside friends,No name,No group,,,fear,Got sent to placement
Volunteer work at school,,School friends,,,School friends,No group,,,sadness,Mother/disagreements
Life skill sessions,,Helper,,Community organization,Helper Foundation,Homies,My uncle and aunt died two days apart,Helper foundation group meetings and life skill sessions,sadness,"Family arguments, money problems"
,,School friends,,,No other group,No group,,,sadness,Probation
Church,,School friends,,,No name,No group,,,fear,A bad break up
GRYD,,,,,No other group,Goodies,Jealous girls that are suppose to be my amigas,My job,joy,Finally moved out bcus [sic] of mom
Cheer practice/self grooming,,Chill,Hip hop dance team,,No name,No name,,,sadness,I got my heart broken
,,,,,No other group,Homies,No,No,fear,"Evicted, living in hard conditions"
,,Car club,,Car club,Low-Low,Ranch,Brother was killed and family blamed him,No,fear,Brother was killed 9-16-2017
Substance Abuse class,,,,,No other group,My city,Got into it with someone,My son and family,fear,Mom's sick
Jogging,,,,,No other group,No group,,,sadness,Constant moving from boyfriends to parents home
Client participates in the art workshops.,,Friends at VOALA,Volunteers of America (GRYD),VOALA,Volunteers of America (GRYD),The bunnies,Nope,Nope,neutral,Client does not have a good relationship with mother.
,,School friends,Teen club,CBinc,Other group,No group,,,anger,Want to work; don't wanna mess up SSI services
,,Church,,Church,Sober Buds,224th,Friend was shot,Nothing,fear,Friend was shot
,,,,,No other group,Homies,Going to probation camp and being taken away from my family.,Having a baby,fear,Going to jail
GRYD,,,,,No other group,DWS,DCFS case,No,fear,DCFS Case
GRYD,,,,GRYD,GRYD,Squad,Because loyalty issues I down size my squad,Being a part of GRYD keeps me thinking positive,neutral,Gay comments
,,,,,No other group,Friends,Close people going to jail,Different paths,sadness,Home/life problems
,,,,,No other group,Homies,No,More financial responsibility has me focused more on work,fear,Have been shot at
,,Hang out with my co-workers,,Only co-workers,Co-workers,No group,My older brother being killed has opened my eyes.,I got a job at Taco Bell. They want to make me a manager.,fear,My brother getting killed a couple months ago and my father going back to jail.
Belongs to xxx Dance Group,,School friends,Dance group,,Dance group,No group,,,sadness,My Dad's cousin passed away
,,,,,No other group,HC,My kids dad is going to jail for long time,No,anger,My kids is gong to jail for a long time
(GRYD) program V.O.A.L.A.,,VOALA,,,Volunteers of America (GRYD),No group,"Client stated, when father died.",Client feels distant with his family.,sadness,Dad died
,,,,,No other group,T-Macs,Cousin was stabbed,No,fear,Friend was jumped and stabbed
"Sports, landscaping, volunteer work",,basket ball with friends,GTRYD,GRYD,GRYD,No group,Past tragedies for his family,Having child changed mindset,sadness,Tragedy with girlfriend and baby
,,School friends,,,School friends,Homies,Just my last relationship made me push people away and all I wanted to do was be alone,No nothing has happened,sadness,Loss of a friend
"Workout, draw",,,,,No other group,Homies,Having court issues,Work,neutral,Life
,,,,,No other group,West,Aunt was killed,No,sadness,Aunt was killed
Basketball,,,,,No other group,Group,Lost a friend,Nothing,sadness,Friend was killed
Client goes to the park and plays ball,,Client stated she is involved at church,Client attends workshop activities,Clients attends family functions,Volunteers of America (GRYD),No group,,,fear,Client stated a family member got shot at
,,Schoo friends,Youthbuild/GRYD,GRYD,School/GRYD friends,No group,,,sadness,Broke up from a serious relationship
Hopic TRC Services,,,,,No other group,No group,,,sadness,Losing children (child custody case open)
GRYD program,,GRYD,,School friends,GRYD,Homies,Yes. School.,Yeah. The GRYD program.,sadness,Friend issues
"Yes, program",,,,,No other group,Friends,No,"Yes, not being able to go out because of having a child",fear,"School related, personal issue"
Male workshop and YES program,,,,,No other group,Friends,No,"Yes, trying to avoid problems",sadness,Family issue
,,,,,No other group,Friends,Getting shot,"Finishing school, settins off probation and working and school",joy,Fanishing school
YES program,,,,,No other group,Friends,No,No,fear,"Work checks, not being on time."
,,,,,No other group,Friends,Going to jail,Becoming a father and moving.,sadness,Family issue
Anger management,,School friends,,,No other group,No group,No,"(""pass"")",neutral,No
,,,,,No other group,Homies,friends murdered or stuck in drugs,my son,joy,"foster care, family not doing good, mom dying"
I go to my program on recreational days,,Job,,,GRYD,ATC,My brother got life in prison,Getting a job,sadness,My brother got life in prison
,,,,,No other group,Homies,Going to jail,Getting a job and becoming aware of new opportunities.,joy,Pressure of school
,,,,,No other group,Group,Mother died,Job,sadness,Mother passed
,,,,,No other group,No group,Friend got shot,Got a job,sadness,Close friend went to jail.
,,,,,No other group,Homies,Nothing,Skateboarding,fear,Getting shot at and dad being deported
,,,,,No other group,Homies,Homies getting shot at and getting locked up.,Getting a job.,fear,Losing job
,,,,,No other group,No group,,,joy,School assignments
Stay out of trouble,,,,community build,No other group,Crew,Friends gone to jail,Had kids,neutral,No job yet
,,,,,No other group,Homies,No,No,neutral,Personal
,,,,,No other group,AFC,No,No,sadness,Step shot [sic] - and step dad die
Volunteer at church,,Recovery home,,,Men's home,Homies,Becoming homeless,Recovery home (Rehab),fear,Mom passing away
Skating,,,,,No other group,Dudes,No,"Yes, school",sadness,Dad died
Participates in workshops,,VOALA,Volunteers of America (GRYD),VOALA,Volunteers of America (GRYD),No group,,,fear,I was incarcerated and put in probation
Attending my GRYD program,,School friends,,GRYD,GRYD,No group,,,fear,I was put on house arrest
Stay away from truble [sic] and stop kicking it at the park,,,GRYD,Club friends,Club Friends,Homies,When my homie got shot in front of me it made me see things differently.,When some of my homies wanted to leave school early and I decided to stay at school and make the right choice.,fear,My friends got shot in front of me.
Park and recreation,,School/Park and recreation,Football,In the hood,"Other groups-school, football in the hood",No group,,,fear,Friend was shot and killed in the hood
"Volunteer, Basketball",,School/Church,Sports,Friends in hood,School,No group,,,fear,Friend was shot but not killed
,,,,,No other group,Group,Mother getting sick,No,fear,Mom got sick
Gym,,,,,No other group,Friends,No,No,fear,Getting kicked out  and family being shot at.
Community Service,,,,,No other group,Homies,Nothing,Job,fear,Crashed the car
,,,,,No other group,Group,2 cousins went to prison,Enrolling and attending college,joy,Spend time in camp
Yes program,,,,,Basketball friends,Friends,No,"Yes, friends are doing things and moving on with their life wiht makes me focus on myself.",neutral,School
Community engagement,,,,,No other group,No group,,,fear,Immigration
,,,,,No other group,Homies,no,my baby,sadness,bro going to jail
,,,,,No other group,Friends,Not involved in group,Not involved in group,sadness,Family issues
Substance abuase workshops,,School friends,Volunteers of America (GRYD),VOALA,Volunteers of America (GRYD),No group,,,fear,Client went to jail
"Parks & Rec, Volunteer",,School Parks & Rec,Basketball/Football,,Basketball,No group,,,fear,Friend was shot and killed
VOALA activities,,Work friends,Volunteers of America (GRYD),VOALA,Volunteers of America (GRYD),The bunnies,No comment,No comments,joy,Client relapsed but made it a goal to change
,,,,,No other group,No group,,,sadness,My dog died
Security guard at 7/11 stores,,7/11 store,,,CBInc,Group,,,fear,Got incarcerated
Drug classes at VOA,,,,,No other group,No group,,,fear,Probation
,,,,,No other group,Homies,Yes. My brothers going to jail hurt me.,No,neutral,No
