sentiment,selected_text
sadness,"At a news conference at the Royal Geographical Society in London , they described the mental and physical anguish of their 95-day trek . "
sadness,
worry,so we don`t annoy our followers. Thought of that too late.    Good nigh
sadness, I can't . I am really behind of my work . 
worry,
neutral,
sadness,_Steve yes....but now I`m not going to be paid to be in the pub
worry,
sadness,exactly like that ...in glasgow now ...it`s a bgt busier
worry,awful
fear, Umm . I think my water just broke ! Get me to a hospital ! 
worry,
neutral,It is high time you have a talk with him . That may help clear the mists . 
anger,"My hands dart indignantly about my desk as if they were offended mice , opening files , annotating minutes , picking up the receiver . "
sadness,"don`t hurt me,"
worry,I`m doing all of Russia today! Because I`m cracking on with Economics tommorow  I`m retaking aswell :/
sadness,"My paternal grandmother had died. We weren't close but she was blood. I didn't cry but I was sad, partly due to her death and partly I think, due to the fact that I could not / did not cry."
sadness,
sadness,_k good question  could they?
worry,Spent last night in A&E (ER). Wife tangled wheels with Daughter & hit the deck. Dislocation & fracture resulted.
neutral,LAME.
worry,your understanding would require taking paragraph 3 out of context. But para5 COULD lead to opting out of EVERY class.
anger, I know . This is terrible . What can we do ? This snow doesn't stop falling ! 
neutral,Wanna go out
sadness,So many families will face the heartbreak of burglary before Christmas . 
sadness,"Trying to watch your vids, but the audio has been disabled"
worry,acting weird
worry,trouble
anger,"When my father did not get back from Chipata on time, he was thus holding back progress as everything depended on him.  I felt angry over his actions."
neutral,gahh!!
worry,"Damnit,"
anger,Lucy sent him a resentful glance while adding an explanation for her presence . 
neutral,I wanna watch that movie again. Maybe that dvd will work in my laptop since Dawson`s Creek doesn`t
sadness,they were all ugly
anger,Someone spread rumours about me.
neutral,Naw forget it then. I will only if u take them
neutral,
neutral,pool is still closed  and it is cloudy. what should i cook tonight?
sadness,in 1st period. i hate this class. can`t wait until i`m home!!!!!!!!!  i`ll b the happiest person in the world wen i`m home!!!
sadness,
worry,
neutral,
sadness,sorry
worry,
neutral,So tired
sadness,I saw a friend of mine who had suffered a very heavy contusion after an accident.
sadness,"I last really felt sad when I left home for I was leaving all my long time, pre-kindergarten relationships behind."
neutral, It's Snow . 
sadness,I am sucking with the abbreviation today. Sorry  My sentences look like my eight year old is typing them. lol
sadness,
neutral, Yeah ! 
neutral," About 70 , I think . This newspaper article talks about the problems of an aging population . It ’ s a problem that will soon affect most of the world . "
sadness,"It 's possible to be sad about your babies becoming children , and yet accept the fact that you won't have any more . "
worry,"Had a great day, apart from the fact that I bought a USB HUB and as soon as I plugged it in, it broke!!!!    **** you Tesco!!!!!!"
neutral,great
anger," No , but I ended up finding out later that night when I saw her drinking with another man at a club near my home ! "
neutral,good morning!
sadness,.nt too exciting im afraid!
sadness,hurts
fear,Going to CAL not knowing anyone.
sadness,
neutral,
sadness,
worry,
sadness,going to the lumberjack party
sadness,great
worry,I tell him today! :S it`s his last day
worry,what kind of party do we got going now?
neutral,i know
neutral,she is indeed nuts!
neutral,
worry,now going to watch the brand new episode of `The Hills`  cant wait!!
sadness,You can`t even gift money away these days.  re: http://ff.im/3lqUx
worry,oh thats hard-going. I`m writing a book at the moment so am motivating myself to press on with that.
neutral,
neutral, It's no good . And I think spending several hours each day playing computer games is a waste of time . You might as well do something healthy and meaningful . 
sadness,
neutral,deceiving
sadness,He was so miserable . 
worry,
neutral,"oh, cuz id like to use it on a whole heap on bitchy girls I knoww"
sadness,
worry,
neutral,Indeed!
worry,
worry,then he has gone down in my estimation
fear,The time has arrived for @OfficialPWG to strike in the hearts of the fans. I can't wait. #Iwantwrestling
worry,
sadness,When my grandmother passed away.
neutral,
sadness,".There is another one which takes the piss of arabs,"
worry,
neutral,Just got booked my ticket to athens
neutral,
neutral,"yup, studying. At least I`m trying to. Trying to let the stuff I read enter my brain permanently."
worry,
anger, Are you kidding me ? 
sadness,
worry,terence cao over-dose  im fainting.
sadness,i mean monday take the test monday!!!! please o please !
sadness,
neutral,
worry,
sadness,r   that squeeze bacon looks like poop
worry,Head in the clouds
anger,"Recently a good friend only called me when he needed something. He never said \please\"" or \""thank you\"" or any other kind word."""
worry,
anger," I believe that was a wedding present to both of us , Joanne . And you hardly ever use it ! "
neutral,
worry,"two hours till our offer on the house expires  no word yet! Come on people, sell us your house!!!!!!!!!!! #Parker #Colorado"
neutral,
fear,As the war dragged on Modigliani 's horror at the waste of life increased . 
anger,"I don't care if you 're offended , that 's the truth . "" "
neutral,
sadness,Their findings indicate measurable differences between normal and depressed women . 
neutral,"Off to work again. Yo ho, Yo ho, another day at the hell hole"
worry,
fear,"Life is a game, the chips fall where they may but most times they don't fall where you want them "
neutral,"good morning  6.15 am: plans for the day ...nope, nothing interesting"
neutral,audiotistic! sneak your little butt in
neutral,
neutral,
sadness,I did not like it when a little girl was crying for her dead mother and was calling her by her name.  I was sad.
anger," What does a CEO do anyway ? I know the CEO makes the most money in the company , but what does he actually do ? "
sadness,"When I watched the T.V programme called \The living planet\"" and saw the far reaching environmental destruction caused by man."""
neutral,How is he ? 
neutral,You can`t make it down to NYC at all when I`m there huh?
sadness,Lol. She`s offering me a case of guiness!  can you one up her? If you buy me two I`ll stay. Let`s start the bidding wars
worry,woooooo im seeing yo
worry,Hoping I at least have fun 2nite.  Today was 1 horrible way 2 start off a birthday
sadness, I'm sorry to hear it . What's wrong with her ? 
worry,is crying..because the school years over  i wont get to see my teachers!  i wont get to see johnathan.......
worry,Definitely pinched a nerve.
sadness,
anger," Oh , gosh ! I have to go to the restroom so bad ! I can't bear it anymore ! "
fear,While trying to board a train I missed the footsteps and fell down on the platform.
neutral,
neutral, Thanks ! 
sadness," Sorry , but she ’ s out . "
neutral,
sadness,
sadness,Just bad day.
fear,A friend and I were going to have a study session together in which we quiz ourselves in biology material. Because I believed I didn't study enough. I feared I would fail.
neutral," No , what ? "
neutral,cool
neutral, Why ? 
worry,
worry,I think it`s time to take a shower & get ready for the dayy.  I hope we go shopping while we`re in Mason today. I want new clothes!!
neutral,
sadness,When my girl went away for a holiday without saying good-bye to me.
worry,
neutral,
neutral,fun
worry,
neutral,DIE
neutral,I`m fine thx.
neutral,omg... i want full JB- hey baby song
neutral, Why ? 
sadness,When I was not selected to go to the University of Malawi I felt very sad.
neutral,_jayy It might hav to cost u a History essay.
worry,
neutral,
sadness," it was also a proud day for me , but I also felt like a kind of loss that day . "
sadness,When my parents and sister went on a trip and I was separated from them for about three months.
neutral,upset
sadness,
neutral,hard stare:
neutral,your vid wont play
neutral, Number 261 . 
anger,A friend called me and told me that she wanted to come and see me. She lived in a village at 50 km distance fom my home town. Next morning I expected her but she didn't arrive. As I got impatient I called her but her parents told me that she had gone skiing. I was very angry because I had cancelled an appointment to be able to see her.
worry,On my way to see diplo with my girl kathryn at smartbar!
neutral,odd weather
sadness,
sadness,has just received a phone call for new patients...i guess that means work for tomorrow!
neutral,and so to London in a car that`s about 500 degrees with no air con!
neutral, That won ’ t be a problem . 
worry,
fear,@mcstroup I think my fear of squirrels came from seeing National Lampoons Xmas Vacation as a child...a squirrel attacks a woman in it 
sadness,lost
fear,I was afraid to walk through the forest one day when I dropped off the bus around 6.30 pm.
neutral, You're on . 
boredom,Good Morning twitters!!! I am soooo tired...I really need 2 stay off of twitter...LOL this **** is taking over my life...LOL
fear,Question: Do you live in a world of or #Love
sadness,Waaaa. I ran my machine problem! Yeah!
neutral," At school , in China.This is my first time to be out of my own country . "
anger,"Morrissey was obviously peeved at The Smiths continued existence as a relatively small ` cottage industry "" . "
fear,"One of the four ads is for insurance , another for Sherwood 's and the other two draw the attention of anxious patients to a particular service offered by local solicitors . "
neutral,
neutral, What is it ? 
neutral,k they think i`m a creepy stalker or sommat
neutral,
sadness,"I am always sad when my boyfriend goes away. He lives and studies in an other city. We have gone steady for 2 and 1/2 years and everything is going very well, but sometime this situation makes me feel bad and very lonely."
worry,
sadness,I didn`t want to tell you but I think it`s your body odour
worry,scary noises
neutral,at the drive ins with daa crewww
neutral,in 7-11  w/o you
neutral,"I can`t believe how many people think it is great that I passed the quiz, 'how blond are you?' on Facebook.  I am very blond!"
fear,Going to the exam not well prepared.
worry,anxious
neutral,has got a degree in BS.
anger,Without the employer's knowledge and even without any communication their bank accounts were changed and their personal accounts closed.
worry,what you laughing at over there  got strawberries?
worry,"Oh ****, happy late birthday! (my txt didn`t send  )"
fear,"But he was dismayed , in the circumstances , to see Gabriel ride off the moor and up the street in the company of a young monk . "
neutral,
neutral,is up too early
neutral, When ? 
neutral,are you in love with me ?
sadness,When my mother was very sick and almost died.
neutral,work soonnnnnn  it`s looking rly dead today...
neutral,What do you plan to do for your birthday ? 
neutral,It`s http://chelseavantol.etsy.com xo
sadness,
neutral,I know! I need a new iPhone stat-- I dropped mine on the cement 2 weeks ago and a couple rows of pixels went out
neutral,nerd
neutral,struggling
worry,i noticed that you were on the same hallway....****   No worries about the BBQ....I`m hoping there will be more to come!!
neutral,fun
fear,"I lived in a flat with a couple. The woman was so jealous of me, that she sometimes had crying fits. Eventually her husband could not stand that any more and wanted to kill me."
worry,
worry,doesn`t like me
worry,don`t you procrastinate!   (like I do...)
neutral,
neutral,i dont think you can vote anymore!
neutral,happy
sadness,My friends are mocking my weekend!   have they been talking to you?
worry,is clamped out...haha
fear,"My two guitars, after a lot of years together,had decided to fell the night I was seeing Paranormal Activity #scaredtodeath"
worry,Oh I`m on a roll now with these oldies!  ? http://blip.fm/~5jeu7
sadness,I just watched my favorite movie 'A Walk to Remember' its so romantic and sad i just love it
neutral,holiday again
neutral, From China . 
fear,"And the of the #LORD fell on all the kingdoms of the lands that were around #Judah, so that they did not make war against Jehoshaphat."
boredom,
worry,****
sadness,i`m sorry  today`s been nothing but a **** heartbreak
neutral, Tony Bush . 
anger,One career wife spoke about her exasperation when her husband listened to her with half an ear as he watched television . 
sadness,Allergies suck
fear,When I was reprimanded by the manager of the hotel where I worked during Autumn 1984.
sadness,
sadness,"Losing my girlfriend who made an end to our relationship. By this I lost an important source of support, certainty and joyful moments. I cried very intensly when that happened."
neutral,Let me google that for you http://lmgtfy.com/
neutral,comes home in two days
sadness,
neutral,Ugh
worry,
neutral,--- has demi ever replied to you? Coz I haven`t got any...
neutral,
sadness,weak!!
neutral, Goodbye . 
boredom,sucks
sadness,Caused a family disturbance.
neutral,"gtg now, listen to cobra`s new song @ their myspace, ttyl  santi <3"
sadness,"is @ school, we`re gonna learn how to use skype"
neutral,o sorry!
neutral, I ’ m a defender . It ’ s a lot of fun . You don ’ t have to be able to skate as fast on defense . 
worry,dreadfully
fear,When our school was raided by the pupils of the boys secondary school who beat us up.
worry,At the orthodontisssttt
worry,
neutral,e great
anger,"Lissa gazed up at him , at his vexed expression , and tried to quell the smile that pulled at her lips . "
neutral,
worry,
fear,"My brother and I were driving to Brisbane when he drove back onto the road, perhaps cutting off another car but not noticeable - this driver did his best to drive us off the road for about 1/2 an hour."
sadness," well , I think I was being a little selfish myself . I know they don't get to see each other very often . "
neutral,
worry,so clumsy lately?
worry,great!
sadness,d it was 2 late
sadness,
worry,i dont noe what to eat for breakfast hmmmmmmm im so hungry
neutral,On way home tonight I saw a newspaper headline `Susan Boyle quits....` surely not true
sadness,
sadness,So much pain.
worry,What`s with Twatter lately?  Either I can`t get on or the replies don`t turn up!
worry,
sadness,
anger,She began to feel exasperated . 
neutral,"yay, short stack episode 20 is being recorded on tuesday"
neutral, How was it ? 
worry,perfect.
anger, How dare you be so inconsiderate ? That's wrong . 
anger, I said sunny side up ! How many times do I have to tell you . 
neutral,_defcon1 I gather you guys continued the drinking after I left?
worry,officially has pink eye.
worry,"Me to, oh well maybe one day"
worry,but can never seem to win
worry,arghhhh
sadness, The food wasn't all that exciting . 
neutral,
worry,"holiday time | got my grizzly bears cd, bit it wont read  | adventures tomorrow | swine flu is scaring me | i still have a cold"
fear,"We were driving a car of a friend of mine when we turned in the wrong direction towards an unknown district, and nearly drove down a precipice."
neutral,
neutral," I tell ya , when I got the invite , it really threw me for a loop . You've done a complete 180 . "
fear,When my mother met with a serious accident and there was danger that she would not survive and if she did she would loose her memory.
fear,"Many years ago I saw the film \Psycho\"" by Hitchcock for the first time. When I saw the film I was alone and afterwards I hardly dared to go to bed and hardly was able to sleep."""
anger, It's a brick ! I can't believe how stupid I was . Damn it ! 
fear,A fear from the loss of a close friend as a result of his behavior.
sadness,When my grandmother died after a long illness.
neutral,i wish i can
worry,?Poor
neutral,"something outside has a bell  and i wont stop ringing, i think its children with bikes  the asbos"
neutral,
neutral, Not a bit . 
worry,i cant believe i am having difficulties with twitter!
neutral,Good luck
worry,
sadness,Apparently I`m not meant to take dance lessons here
neutral,a good morning!
neutral,Hey  Why thankyou. How`s u?
neutral,
anger," Yeah , my head hurts , that ’ s all . I ’ Ve been in physics class all day . It ’ s killer ! "
neutral, Did you enjoy making the movie ? We heard stories of disagreement with other actors and with the director . 
sadness,I`m so sleep deprived but it`s to hot to sleep.
neutral,
neutral, Today . 
fear,That's really the only problem. Ppl think they should naturally only love and be fulfilled by 1 person. When it doesn't happen?  
sadness,interesting!
worry,poked
neutral,you should enter the giveaway then!!!! who couldn`t use $25...I know I could
anger,"One day, when riding on a bicycle path, a car coming from the opposite direction forced me to get off my bike although I had the priority."
neutral,
fear,I went to the apartment of my boyfriend and saw some people before his door. I thought that something had happened.
sadness,stuck
neutral,
neutral, Dream on ! 
worry,
fear, afraid of making a mistake . 
anger,When my parents drove me to a nearby place and went home immediately instead of waiting a few hours.  They could have easily waited.
sadness,When I heard the news that my grandfather had died.
worry,hurts..
sadness,last day of school  so sad
worry,awesome
sadness,
fear,Sometimes we the decisions that are the most difficult to make. They still must be made tho
fear,"When I was dreaming that I was being chased, in the upmost of horror the door of the closed felt down synchronicaly with the dream scare."
neutral,
sadness,
worry,"I`m a laid back person for the most part, Vinny is the opposite.  Guess we compliment each other  it will all work out! How r u?"
neutral,Aw. Toy Story 3 is coming out NEXT year.
neutral, I'll certainly try to help you.What topic is your paper on ? 
anger,"After seeing an \uncertain\"" child work on a model for several hours, I watched a \""bully\"" of the same age destroy it, telling the child that it was worthless."""
fear,I felt it when I sat for my exam in anatomy.
neutral,
worry,"hey kellie,how are u?I FEEL HORRIBLE!"
sadness,
worry,
neutral,@_IANNE I`m at the terrance middle by the left side center. I see u
neutral, And now ? 
neutral,
neutral,thanks
anger, Leave me alone ! 
fear,Before the exam.
neutral,We`ll get hitched when you get here.
fear,"When I was travelling by tram, I tripped and fell against the door.  I thought that I was going to fall out."
worry,I`m not good at in public
neutral,you should add your blog to CMF Ads
neutral, OK . 
sadness,
worry,"Work, work, work"
neutral, I agree . You can't expect a close relationship with a dishonest person . Those are the people that will turn their back on you when you are in need . 
neutral,Got home from audition awhile ago. I think it went pretty well
neutral, I know . I've even worked up a sweat . 
worry,undertanding none of it  ... HELP!
worry,"brazil LOOOOOOOOVES you,"
neutral,good.
sadness,
worry,so i feel like **** for saying HAPPY BELATED BIRFDAYY.. i`m only a month late
worry,
worry,"e look painful, poor bb"
sadness, I knew this would happen some day ... 
anger,"May , look at this mess ! You threw waste everywhere . "
sadness, Of course ... here you are . I'm sorry the pajamas didn't work out for you . 
neutral,
anger,Irishman Mr MacSharry was so furious about Mr Delors ' interference that he resigned his post . 
neutral,"Room is clean, now it`s time for breakfast"
worry,"By  Drove a #-mazda #RX8 today and boy, that car is fun! Sadly though, I don`t find my car that much fun any more"
worry,ry nervou
neutral,what? You won`t be two blocks away any more?
neutral, has anything else happened to you ? 
neutral,
neutral, About what ? 
worry,
neutral,ping pong tomorrow
worry,
sadness,"Wanted to take a photo of the storm, but misplaced my camera!"
neutral,Random has an a
worry,
worry,you looked great for being sick yesterday! i`m sorry I didn`t really make an effort to say hi..
neutral,Well there`s nothing to do but to keep swimming. You`ll get there eventually
neutral,laughs!
neutral,does anybody want to throw a baseball around with me?
neutral,
neutral,
anger,"One of my friends asked me to go shopping with her, another friend of hers was also coming along.  During the outing they kept talking to each other and I felt left out, even when I tried to talk to them they seemed not to listen to me and did not pay me much attention."
fear,I am so worried about this English contest . I have butterflies in my stomach now ! 
worry,miss
neutral,MILEEY HOW CAN I VOE IN THE MV MOVIE AWARDS ?
worry,burnt  sorry
worry,i can`t cope
neutral,"i was listening to that earlier  and the other day, i was planning something with my friends and i said that. they were ..."
anger,I felt angry when repeated pleas to the ticket collector and the co-passengers in order to make a queue fell on deaf ears.  I have this feeling whenever someone is not disciplined and methodic in doing his duty.
neutral,
neutral,he didn`t come to school 2day
sadness,
neutral,"what can i say, i am a creatur of night, hmm, should be dne soon"
neutral,Off work
worry,Just broke my favorite necklace
worry,
sadness,I couldn`t register
neutral, Absolutely . 
fear,Listening to parents in the playground and at more formal events such as parents ' evenings should alert staff to early stages of parental disquiet . 
fear,That was really a nightmare ! 
fear,"In the traffic with a car, I nearly got crushed between a bus and a tram.  The attention of other drivers saved me at the last moment."
sadness,
neutral,bacoor  wahaha may wifi toinks new hair wiih short.. short
worry,good
anger,"Residential workers are faced with youngsters who are not only anxious and resentful about family events , but may also be mistrustful of those who try to help them . "
worry,slow internet
fear,He saw the look of horror on my face . 
neutral,
worry,
sadness,"yeah real hard, but I know you`ll get by with it... smile"
fear,I was walking home with a friend at night along a quiet street.  Something started rustling in the bush : it was an exhibitionist.
sadness,"Several hours passed while he sat there , knowing that Maud would be inconsolable at having missed a charity dinner . "
neutral,
neutral,
neutral, Dark blue . 
worry,"Yes thanks, its been great. Soooooo not looking forward to Monday"
worry,excellent.
neutral,Bummer
sadness,My friend was badly hurt.
neutral,
worry,Bar exam madness:  topic for today is torts
fear,And you feel anxious about getting the first lot of seeds sown out of doors . 
neutral,Lol.
neutral,"Just joined, no one is following me"
worry,
sadness,ignored
worry,nauseous
neutral,Can`t watch anymore
anger,A colleague asked me for some advice and as he did not have enough confidence in me he asked a third person.
neutral,"but I to have no one to go with,"
sadness,
sadness,
sadness,
neutral,
fear,I remember when I was a child of a storm that made me terribly afraid. I thought that the house was coming down and that in the next day I would be dead. Everybody was awake and I stayed all night in bed without falling asleep.
sadness,feel sorry
worry,
fear,"Seeing the look of dismay on her mother 's face , Tamar continued , ` You won't be telling a lie . "
worry,
fear,"As the frightened boy bolted to Gooseneck 's side , there was a scream from Fishbane 's corner where an unwary Pole had reaped the consequences of turning her back to view the drama . "
worry,really sorry
neutral,"nope  i wasn`t home went it was on but i will soon,"
fear,"Saiu nos cinemas americanos um remake de The Thing, filme que na minha infância me fez ficar noites sem dormir. "
fear,When a big angry dog put its snout on my arm and had I made one movement it would have bitten me.
fear,"miss geng-2 clan , bila la aku bole join korang ? :/"
neutral, ok . 
neutral, Didn't I ? 
sadness,I've just been a little depressed lately . 
sadness,hey Mr Danger!!!
fear,To talk in a meeting - expound my thoughts on a subject. Fear delayed me acting to do this.
boredom,I`m not happy
worry,I don`t want to go to the 3-hour lecture
neutral,
sadness,"Awww, that`s nice."
sadness,"At my grandfather's funeral.  I remembered that the thing he liked and respected most was earth, I thought that he had attained what he wanted and was not separated from it any longer."
worry,"i lost my nintendogs, it`s very upsetting."
neutral," Oh , hey ... "
neutral, The 5th . 
fear,"Once at midnight, I was working alone at office and the phone suddenly rang."
worry,I`m so disgusted
sadness,"s fun,"
fear,When burglars with guns forced themselves into my house and ordered me to give them money or face death.
sadness,Taheb 's face became sad . 
fear,We're ALL afraid of something here .. bc u ain't human w/o 
worry,m embarrassed
sadness,so tired.
anger, Why are you so bitter ? No one tells worse joke than you . 
worry,"could do, will the fact that its bank holiday make any difference? lemme check my money situation also"
fear,"@fmpundit, i will play in 4º Wales division, "
worry,
worry,I`m sorry sister!!  just think you get to see your man in a bit! That should make you happy. You guys should call me tonigh
sadness," Sorry , sir , we are having a sale now . "
neutral,aww bless  you guys are so cute
neutral,Sky man is quite friendlyand likes joey  still annoyed that I got woke up about half eight though
sadness, No . Only a few pounds . But my passport was in the bag . That ’ what I ’ m really worry about . 
anger," Hi , Gary , what happened ? I was waiting for you at the theater . Why didn ’ t you meet me there ? "
worry,
neutral,
worry,
neutral, Not bad . 
fear,Lmao. Cute. RT @ThaMagicTouch: The thingy is kinda cute tho RT @Thee_Tyson: RT @AliHMirza: #FEAR = Forget Everything and Rap...
neutral,Wants to go home
sadness,lure her in
neutral, See you . 
neutral,"i got one too, but it was on a usb key without the fancy packaging"
neutral, 15 people . 
worry,
neutral, What ? 
sadness,not well
neutral,48 days till brighton
boredom,
sadness,crying
neutral, Thank you . 
worry,Sorry
sadness,loves florida but misses her american friends
sadness,Nicky looked crestfallen but did not dare argue with Constance when she was in this mood . 
neutral,"Back from the pub, want more peroni"
neutral,not at my workplace.   but a short-sleeved shirt is absolutely necessary today
sadness,hate
worry,Lucky.
sadness,were great
sadness,. Sad
anger,There was a cup final match between Limbe Leaf Wanderers and Silver Strikers and someone promised to give me some money for admission fee to watch this game. Unfortunately he did not give me.
sadness,
neutral, What ? 
neutral,"Firefox again taking upwards of 600k of memory, time to restart ff"
sadness,"By six o'clock the water hadn't arrived and Haverford , looking at their despondent faces , said , ` It 's like a death in the family . "" "
worry,
neutral, I hope so . 
neutral,
sadness," If so , I'd better try another store . "
fear," Yes , he was . I'm not imagining it.Finally , just when I got home , I turned around and looked at him.He was just standing there . He didn't smile . He just stood there . It was so obvious.What should I do ? I'm so scared . Can I call the police ? "
worry,im sick
worry,I just lost a fight against  on Tweefight. I lost  Please revenge me! Try now http://tweefight.com/?opp=hangy
anger,Arriving home from work after a long and tiring day to find no dinner prepared as I had expected.
sadness,can you please have a short stakc competition
worry,hate
worry,Well poop.  Looks like the office doesn`t have the keys.  I don`t have the keys.  Neighbors don`t have the keys.   Bike rides from now
sadness, I'm afraid I don't quite understand . 
sadness,these lovely twitts but never respond!  I`m hurt...
sadness,"Praying for pressure on brain 2 subside, for brain seizures 2 stop & for tumors 2 go - Dan is comfortable but still has niggling cough"
worry,the suns starting to go in  im getting coldddd!
sadness,not gonna win
sadness," No , sir . I'm afraid not . "
sadness,My girlfriend dumped me . 
worry,I just had a horrible dream.
worry,": Oh. The voting is over!  But don`t worry, I already voted for you about 100000000000000000000000000000000000 times earlier!!!"
neutral,currently watching American Idol
sadness,Feeling like **** today. Hopefully
sadness,
neutral,
sadness,RAIN why must you come 'after' I flat iron my hair? I have been rockin my curls for 3 weeks and today you decide to come out. not nice!
sadness,I am soooo disappointed
fear," Ar ! Dad , the power went out . "
sadness," Sorry , sir . We receive credit card and cash only . "
neutral,"Sorry blokey, 6 hrs later & i`m still holding ur fluffy towel. had to dash. Hope u found other means to dry ur self"
worry,has put me in a funk.
neutral,Press `Ctrl` on bottom right. It`s there.  KY
sadness,When our dog died.
worry,hay wats ur AIM? we should chat
worry,Not feeling comfortable
sadness,My boyfriend is a soldier. He was on a leave. I felt sad when we had to get separated again.
sadness,Finding out that China is still backward in science.
sadness,
anger,Good nite twit-fam!.. God bless!..
neutral,It`s a windy and rainy day
sadness,Death of a relative.
boredom,Internet is dead.
worry,bored
anger,"I came across a girl at the school bus-stop, I had seen her several friends as she was a friend's friend.  However my friend had never introduced me to her and when she got off the bus I smiled at her but she did not respond pretending not to have seen me.  Her arrogant behaviour made me sick and angry."
neutral,my last tweet didn`t send  bad phone
sadness,Bored. (:|
sadness,"- Good news for owners, bad news for people w/ allergies who needed to fly for less $$. Sad for many I know."
fear,Hearing a strange noise in the biology building.
anger,"Why ever did he bother to write them out ? the landlady asked , gravely vexed and insulted . "
worry,
fear,When two hyenas made crying noise on the window of my bedroom at home when I was preparing for my MCE examination during the night.
worry,Lame.
neutral,t. U may be right.
fear,I was at home alone and my mother had asked me to heat the house. I put too much fuel into the stove. It began to glow and there was a noise in the whole house as if it was going to explode.
fear,When biking and I felt very bad (problems with heart and respiration).
neutral, But they aren't very fashionable . What about these ? 
neutral,Going to bed now  *thinks I Twitter WAY too much*
worry,Good
neutral,"Hey Dave, whasup?"
boredom,soo long.
neutral,that`ll do it too
neutral,On train with at least two gaggles of teenagers sitting & the commuters squished standing in the back...at least the teenagers let me sit
worry,
anger,"He said nothing , and from the anger on his face she saw that he didn't think he owed her a reply . "
neutral,thanks
sadness,"Hey.  I won`t be coming to town this weekend, because I don`t have a day off until next friday."
worry,is looking at that person from a very different pov.  never thought i`d see this day arrive!
worry,bad car accident...
sadness,...there are many cool
worry,
sadness,You know ... I did very poorly on that test . 
sadness,"A friend of mine lent me his apartment for holidays and besides this he was a fine person. Months later I knew that he died tragically in a moto accident. He was very young, and I felt sad and couldn't believe it (until today)."
sadness,"Watching \11 am\"". They had a programme on the starving refugees. Their plight was a source of sadness for me."""
neutral,Me hice una maruchan
sadness,
neutral,
neutral,i`m here
sadness,
neutral,Firefly...That`s Nathan Fillion as in
neutral,Have we met ? 
worry,"i love pink, and i don`t care. today i shall not tweet as i have to hardcore work with jamie! have a nice day everyoneeeee  xxxxxxloser"
worry,I want to change my twitter name but I can`t think of anything
anger,"Disagreements with mother.  When I moved from KankaanpSS, she had promised to help me move but broke her promise because of some hindrance. "
worry,isnt working
sadness,THE heartbroken mother of transplant donor Paula Moss is leaving England to work as a missionary . 
neutral,IS BORED. Can`t even tease people now
boredom,"slowest train ever,"
sadness,"Nooo! I`m ill  Must Have Paracetamol! Nice weather today, though."
worry,just ain`t right!!
neutral,saw you walking back from starbucks. I was in the orange beetle
fear,Kagan was deeply concerned that his access to the child was limited . 
worry,", just drank too much."
neutral,
neutral, What ’ s the score ? 
neutral, Very good . 
fear,A Classic its up there with All Quiet OTWF! Books of this quality inspired M Foot's Military Intelligence a Contradiction in Terms
neutral, Exactly . 
worry,That is annoying. What gear is it? I`ll take it off your hands
neutral,
worry,sick
neutral,psst new blog up.. comments me likey
worry,Had a little fight with My Best Friend   What should I Do?!?
sadness,"Yesterday a friend of mine was thrown off his horse as a lorry drove past us, ignoring us signaling for him to slow down"
neutral, Miss ! 
sadness,
neutral,"Yes,  by 16 minutes now."
neutral,
worry,
anger,"As in sadness (A), relating to this slaghter of fur-seals."
neutral,I was going to send you the photo by DM but can`t as you not following me...
sadness,omfg  whyyyyyy not that sucks!!
neutral,
neutral,Is it that quiet at the office?
neutral,
worry,ugh some stupid teenagers just showed up.
anger,"Listen , Christine , you can not afford another day off . You ’ Ve called in sick five times in the last three weeks . "
anger,The outrageous conduct of a relative towards me and those close to me.(blaming us and lying)
worry,I am lost. Please help me find a good home.
neutral, Why ? 
neutral,"lol, you can see the sunburnnn    its not achurley that bad =| least i dont think it is"
worry,
worry,my eyes are crossing...
sadness,"The fact that my mother is getting married again (my mother and father divorced about 15 years ago) means that she will probably move to Turku, and our home, which is a one family house, will be sold (I myself have not been living at home for the past six years)."
worry,"four shots of novacaine in my mouth  my right cheek is totally numb, booo."
worry,miss
worry,i feel u  but its sooo close to me hard not to  but i cant so no point ug
worry,
anger, you can say that again ! He won't even let us check our personal email at work ! 
sadness,
sadness,"The saddest I've ever been was when my lover was killed, hitch-hiking to work."
worry,hoping everything is going well
sadness,I'm afraid I can't complete my paper on time . 
fear,After a motor accident (I was the frong-seat-passenger) I spit blood.
fear,I got a very nasty electrical shock when I was tampering with some electrical applainces. 
sadness,"No fair,"
neutral,
neutral,hilarious.
neutral,My pleasure.  Hear Kelli has new project
neutral,helping
worry,wow thats impressive! luckily im not in rush but i feel for friends who aren`t getting any younger but cant move house  tricky
neutral,"If you ever need some help with the Podcasters Emporium, let me know"
neutral,doesn`t feel
sadness, Silly me . 
sadness,
neutral,
anger," yes , they were horrible . We had to wear green every day ! "
neutral,
worry,dying
fear,"Once, when I was ten, I could not remember why my mother was so angry.  She fainted suddenly and I was very scared as I did not know what to do ."
fear, I ... I failed to pass the examination . How I wish I had studied hard . 
neutral, Why ? 
fear,"When cleaning up a pile of junk under our house, a huge spider (a \Jungle Spider\"") ran out near me. (I do not like even small spiders)."""
worry,I miss u guys too  I prob won`t b bk til august sumtime
neutral,would of won th
neutral, Yes . 
