GRYD_ETO_ID,INTERVIEW_DATE_FB,SET_admin_num,AGE_1_FB,SEX_1,GRYD_Zone_num,group_position,PAGE_3,S1,S2,S3,S4x,S5x,S7x,S6ax,S6b_Other_Activities,S9,S10,S10_num,S10x,S10z,S11a,S11a_Comments,S11b,S12,S13,S14,S16,PAGE_4,ME17,ME18,ME19,ME20a,ME20b,ME20x,ME22_ER,P22,P23,P24,P25,P26,C1a,C1b,C2a,C2b,C3a,C3b,C4a,C4b,C5a,C5b,PAGE_5,Group_name_part1,PUSH_1,PULL_1,FS89_foster_now,FS89_foster_past,FS89_group_now,FS89_group_past,FS89_adopted_now,FS89_adopted_past,FS89_parents_now,FS89_parents_past,FS89_relatives_now,FS89_relatives_past,FS89_spouse_now,FS89_spouse_past,FS89_boygirlfriend_now,FS89_boygirlfriend_past,FS89_alone_now,FS89_alone_past,FS90_younger,FS90_teenagers,FS90_20_29_adults,FS90_30_49_adults,FS90_older_adults,PAGE_6,F1,F2,F3,IF_NO_FAMILY_TEXT,no_fam_num,F4,F5,FS91,FS92,FS93,FS94,FS95,FS96,FS97,FS98,PAGE_7,FS100,FS101,FS102,FS103,FS104,FS105,F7,F8,F9,F10,F11,F12,F13,F14,F15,F16a,F16bx,F17x,PAGE_8,F18,F19,F20,F21,F22x,F23x,F24x,F25x,F26,F27,F28x,F29,F31x,F31b,PAGE_9,group_name_part2,no_group_copy,group_status_no_group,no_group_num,G2,G3a,G3b,EG1,EG2_most,EG2_youngest,EG2_oldest,EG3,EG4x,G5,G5_num,G6,G7,G8,G9,X11_FIXED,PAGE_10,G10x,G11,G12x,G13,G14x,G15,G16,G17,G18,G19,G20,G21,G22a,G22bx,G23x,PAGE_11,G24,G25,G26,G27,G28x,G29x,G30x,G31x,G32,G33,G34x,G35,G36x,G36b,G37,PAGE_12,X18,X19,X20,X21,X22,truthy,Optional_Break,Date_of_Break,Time_Break_Begins,Time_Break_Ends,A1,A1_Description,A2,A2_Description,A3,A3_Description,A4,O1_other_group_name,no_othgp_num,Page_13,O4,O5,O6,O7x,O8,O9,X12_FIXED,O10,O11,O12,O13,O14,O15,Page_14,O16,O17,O18,O19a,O19b,O20x,O21,O22,O23,O24,Page_15,X10,X11,X12,X13,X14,X15,X16,X17,Page_16,IC1,IC2,IC3,IC4,IC5,IC6,IC7,IC8_Not_Honest,Page_17,Completed_by_CIW,CIW_CLIENT_ID,CIW_INTERVIEW_DATE,CIW_COMPLETED_DATE,CIW1,CIW2,CIW3,CIW4,CIW5,CIW6_COMMENTS,END_OF_SET_QUESTIONS
Foothill-14-296-1,"1,11,2017",1,16,1,5,1, ,1,0,0,40,0,0,0,777,5,0,0,1,0,0,777,0,2,5,3,2, ,2,4,2,2,2,4,4,2,2,2,5,2,0,,0,,0,,0,,0,, ,Homies,"Not really tagging anymore, my homies used to tag all the time","No, nothing",0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,2,4.5,5,5,2, ,0,5,9,777,1,1,0,5,4,1,4,4,1,4,4, ,4,3,3,1,1,3,2,4,4,4,3,2,2,3,1,1,1,3, ,5,5,5,1,5,2,2,3,3,3,4,3,4,3, ,Homies,1, ,1,13,0,,3,,15,18,0,0,5,5,5,5,1,1,2, ,1,5,5,5,5,5,5,5,1,2,4,1,1,2,3, ,5,3,5,3,5,3,5,5,5,5,5,5,3,3,1, ,1,1,1,1,0,0.8,2, , , ,1,School friends,0,777,0,777,0,School friends,1, ,4,3,3,1,0,0,0,5,4,4,4,4,4, ,1,4,1,1,1,5,3,1,4,3, ,1,2,1,2,0,0,1,0, ,,,,,,,,Blank, ,777,Foothill-14-296-1, , , , , , , ,no page 17 completed, 
Rampart 1-12-491-1,"1,11,2017",1,15,1,17,2, ,0,0,0,35,1,0,0,777,3,0,0,1,0,0,777,0,1,4,2,2, ,3,4,2,3,2,4,2,4,5,5,5,3,0,,0,,0,,0,,0,, ,Friends,No still hanging out with them.,No!,0,1,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,2,1,2,2, ,0,5,4,777,1,2,0,5,5,4,3,5,2,4,5, ,4,2,4,3,3,4,2,3,3,4,4,4,1,3,1,2,2,4, ,4,4,4,5,3,3,3,3,4,4,3,3,3,4, ,Friends,1, ,1,8,0,,5,15,11,40,1,1,2,2,3,5,5,7,4, ,7,5,5,5,5,5,5,5,5,5,3,5,5,5,5, ,5,5,5,5,4,4,5,4,5,4,4,5,4,5,4, ,1,0,1,0,0,0.4,1, , , ,0,777,0,777,0,777,0,No other group,0, ,,,,777,,,9,,,,,,, ,,,,,,777,,,,, ,0,4,0,2,0,0,6,6, ,3,2,3,1,4,4,2,"G5, G6", ,777,Rampart 1-12-491-1, , , , , , , ,no page 17 completed, 
Mission-14-158-1,"1,11,2017",1,17,1,11,1, ,0,0,0,25,5,0,5,Gym membership,4,1,1,0,0,0,777,0,3,1,1,1, ,1,4,1,1,1,4,1,4,3,3,3,3,1,26,0,,0,,0,,0,, ,No group,777,777,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,2,1,1,2,0, ,0,10,4,777,1,3,7,4,4,4,4,4,5,4,4, ,3,3,3,2,3,4,4,4,5,4,5,4,1,4,1,1,1,5, ,5,3,5,2,4,2,4,3,3,4,3,4,3,4, ,No group,0,1,0,,,,,,,,,777,,777,,,,,9, ,777,,777,,777,,,,,,,,,777,777, ,,,,,777,777,777,777,,,777,,777,777,, ,1,0,1,0,0,0.4,2, , , ,1,School friends,0,777,0,777,0,School friends,1, ,2,2,2,1,1,2,1,3,2,1,1,1,1, ,2,4,1,2,2,4,1,3,3,1, ,3,1,1,9,9,9,0,0, ,4,1,0,4,1,3,3,Blank, ,777,Mission-14-158-1, , , , , , , ,no page 17 completed, 
Southeast 2-20-154-1,"1,11,2017",1,28,1,20,4, ,0,1,0,0,0,0,7,Hygiene,3,2,2,1,1,0,777,0,1,1,1,1, ,2,3,1,1,3,3,2,5,5,1,1,5,1,90,1,90,1,180,1,180,0,, ,Homies,Jail,Jail,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,2,999,2,999,999, ,3,30,3,777,1,3,4,5,1,5,5,5,5,5,5, ,4,4,4,4,4,2,2,2,2,5,5,4,4,3,4,3,4,3, ,5,5,5,4,4,4,4,4,3,3,4,4,4,3, ,Homies,1, ,1,12,1,17,4,19,10,45,1,1,4,4,3,1,3,3,1, ,3,4,3,3,4,5,4,4,5,3,3,4,4,3,3, ,5,4,4,4,3,3,5,3,5,5,3,5,4,4,4, ,1,1,1,1,0,0.8,2, , , ,0,777,0,777,1,Hang out,0,Group,1, ,2,3,1,3,2,2,1,4,3,4,2,4,3, ,5,3,4,3,4,4,4,4,3,3, ,3,1,1,2,1,1,1,1, ,4,1,2,4,3,3,4,Blank, ,777,Southeast 2-20-154-1,"1,11,2017","1,11,2017",4,1,0,1,4,Blank, 
Mission-14-157-1,"1,11,2017",1,18,1,11,2, ,0,0,0,20,0,0,0,777,6,2,2,1,0,0,777,0,2,3,4,2, ,1,4,1,1,1,5,3,5,4,1,1,4,0,,0,,0,,0,,0,, ,No group,777,777,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,1,0,1,0, ,0,10,2,777,1,1,0,5,5,5,5,3,5,3,5, ,3,3,3,1,2,1,2,1,1,4,1,1,4,1,4,3,4,2, ,5,5,5,3,1,3,3,1,4,4,4,2,5,5, ,No group,0,2,0,,,,,,,,,777,,777,,,,,9, ,777,,777,,777,,,,,,,,,777,777, ,,,,,777,777,777,777,,,777,,777,777,, ,0,1,1,0,0,0.4,2, , , ,0,777,0,777,0,777,0,No other group,0, ,,,,777,,,9,,,,,,, ,,,,,,777,,,,, ,1,9,9,9,9,9,4,3, ,4,1,0,4,1,3,2,Blank, ,777,Mission-14-157-1, , , , , , , ,no page 17 completed, 
Southeast 2-20-151-1,"1,11,2017",1,19,2,20,1, ,0,0,1,4,11,30,7,Study for school work,3,1,1,1,0,0,777,0,2,2,2,2, ,2,3,2,2,2,3,3,3,5,2,3,4,0,,0,,0,,0,,0,, ,No group,777,777,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,1,0,0,1, ,0,0,3,777,1,1,1,4,1,4,3,3,3,1,4, ,4,1,3,2,3,3,2,2,2,3,3,5,2,2,2,4,4,3, ,4,5,5,3,5,4,3,4,3,3,4,4,3,4, ,No group,0,1,0,,,,,,,,,777,,777,,,,,9, ,777,,777,,777,,,,,,,,,777,777, ,,,,,777,777,777,777,,,777,,777,777,, ,1,0,1,1,1,0.8,1,"1,13,2017", , ,1,School,0,777,0,777,0,Classmate,1, ,3,2,2,2,1,1,9,3,2,3,3,1,2, ,4,3,3,3,3,3,1,1,1,1, ,3,9,9,2,4,2,0,0, ,3,3,1,3,2,3,4,Blank, ,777,Southeast 2-20-151-1,"1,13,2017","1,13,2017",4,1,0,4,1,Blank, 
Southeast 2-20-153-1,"1,12,2017",1,23,1,20,1, ,0,0,1,0,0,35,7,Hygiene,2,1,1,1,0,0,777,0,2,1,1,1, ,2,5,1,1,2,5,3,4,4,5,4,3,0,,0,,0,,0,,0,, ,No group,777,777,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,999,999,2,999,1, ,0,10,2,777,1,3,6,5,3,5,4,3,4,3,4, ,4,3,3,3,3,3,4,4,4,5,5,5,3,3,4,3,4,3, ,5,4,5,4,4,4,5,4,3,3,3,4,3,4, ,No group,0,1,0,,,,,,,,,777,,777,,,,,9, ,777,,777,,777,,,,,,,,,777,777, ,,,,,777,777,777,777,,,777,,777,777,, ,1,1,1,1,1,1,1,"1,17,2017", , ,0,777,0,777,0,777,0,No other group,0, ,,,,777,,,9,,,,,,, ,,,,,,777,,,,, ,3,9,9,9,9,9,1,1, ,4,1,0,4,1,3,2,Blank, ,777,Southeast 2-20-153-1,"1,17,2017","1,17,2017",4,1,0,4,0,Blank, 
Hollenbeck 1-20-77-3,"1,12,2017",1,17,2,7,3, ,1,0,0,30,0,4,0,777,0,0,0,1,0,1,Boyfriend incarcerated,1,2,3,3,2, ,2,4,2,2,2,4,3,4,3,3,5,4,0,,0,,0,,0,,0,, ,Friends,Nothing,No,0,0,0,0,0,0,1,1,1,1,0,0,0,1,0,0,2,3,3,2,2, ,1,10,12,777,1,5,7,5,2,3,3,3,1,4,4, ,4,2,3,3,3,4,3,4,4,4,4,4,2,4,2,2,2,4, ,3,2,4,3,4,3,4,3,4,4,3,4,3,4, ,Friends,1, ,1,16,0,,2,17,16,18,0,0,3,3,1,4,2,1,2, ,1,3,4,3,3,4,4,4,3,2,4,2,2,2,4, ,2,1,3,3,3,2,4,3,4,4,2,4,4,4,2, ,1,0,1,0,0,0.4,2, , , ,0,777,0,777,0,777,0,No other group,0, ,,,,777,,,9,,,,,,, ,,,,,,777,,,,, ,3,2,9,2,0,9,0,0, ,3,2,2,4,2,3,4,Blank, ,777,Hollenbeck 1-20-77-3,"1,12,2017","1,18,2017",2,3,1,4,0,Upon enrolling into the program client's grades have improved as well as we were able to provide employment for her. Client is more open and happy., 
SSSEARE-0-82-1,"1,12,2017",1,17,1,999,4, ,1,0,0,40,0,0,0,777,0,0,0,1,0,0,777,0,3,1,1,1, ,1,4,1,1,1,4,1,3,3,2,2,2,1,30,1,180,1,30,0,,1,90, ,No name,Be good and nothing should happen to you. Be locked up in camp,Dont do what your not supposed to. I am just focusing on what I need to so I can get off of probation.,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,3,1,2,999,999, ,0,5,6,777,1,3,2,5,5,5,5,5,5,5,5, ,2,3,3,3,3,4,5,5,5,5,5,5,1,5,1,1,1,5, ,5,1,5,4,5,1,5,5,5,5,5,5,3,5, ,No group,0,4,0,,,,,,,,,777,,777,,,,,9, ,777,,777,,777,,,,,,,,,777,777, ,,,,,777,777,777,777,,,777,,777,777,, ,0,0,0,0,0,0,2, , , ,1,Nice people/Friends of school,0,777,0,777,0,School friends,1, ,5,4,5,1,0,2,2,5,5,3,3,3,3, ,1,5,1,1,1,1,5,1,5,4, ,2,2,2,1,0,0,0,0, ,4,1,0,4,4,3,2,Blank, ,777,SSSEARE-0-82-1, , , , , , , ,no page 17 completed, 
Rampart 1-12-423-2,"1,12,2017",1,15,1,17,2, ,0,0,0,1,1,0,0,777,2,0,0,0,0,0,777,0,5,4,4,3, ,3,3,2,2,2,4,2,5,5,2,1,4,0,,0,,1,1,0,,0,, ,Homies,A little bit but not as often like before. My arrest has changed my mind on things,"Yeah, I want to change the things you use to do and make mom proud.",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,2,4,1,2, ,0,20,14,777,1,5,7,5,5,5,5,4,1,5,5, ,3,2,3,3,3,3,4,4,4,4,4,4,3,3,3,3,3,3, ,4,4,4,3,4,3,4,4,4,2,4,4,4,3, ,Homies,1, ,1,12,1,15,3,,,,1,999,3,3,4,2,1,0,2, ,7,4,3,3,3,3,4,4,3,5,3,3,3,3,3, ,4,4,4,4,3,3,3,3,3,3,3,4,3,3,, ,1,1,1,1,1,1,1, , , ,0,777,0,777,0,777,0,No other group,0, ,,,,777,,,9,,,,,,, ,,,,,,777,,,,, ,3,2,9,,,9,6,5, ,2,2,2,1,2,2,3,Blank, ,777,Rampart 1-12-423-2,"1,12,2017","1,12,2017",1,3,2,1,3,Blank, 
FGSEARE-0-60-1,"1,12,2017",2,18,1,999,4, ,0,0,0,25,5,30,2,Church,6,5,5,1,0,0,777,0,2,2,2,2, ,2,4,2,2,2,4,3,4,4,2,2,4,1,30,1,150,0,,0,,0,, ,Homies,Went to camp and dont want to waste my time there any more,Things are different now that I'm 18 and plus I'm working,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,2,3,0,2,0, ,0,0,6,777,1,5,6,4,4,4,4,4,4,4,4, ,4,4,4,3,4,4,4,4,4,4,4,4,1,5,1,1,1,5, ,5,5,5,5,4,3,4,4,4,4,4,4,3,3, ,Homies,1, ,1,12,1,18,6,20,12,50,1,1,0,0,3,0,0,0,0, ,6,2,2,3,2,2,3,3,4,4,2,4,4,4,2, ,2,2,2,2,2,3,2,2,4,4,4,2,4,3,4, ,1,0,1,1,1,0.8,2, , , ,1,Church,1,Church Group,1,GRYD,1,Church,1, ,5,0,5,5,4,2,3,4,4,4,4,4,4, ,2,4,2,2,2,4,5,4,5,3, ,3,1,3,3,0,0,0,0, ,3,3,2,1,1,4,4,Blank, ,777,FGSEARE-0-60-1, , , , , , , ,no page 17 completed, 
Newton 2-23-140-1,"1,13,2017",1,18,1,13,4, ,1,0,1,5,2,0,4,"Job readiness classes, and one on one sessions at program",3,0,0,1,0,0,777,0,4,3,4,4, ,3,1,4,1,5,3,3,5,5,2,2,5,1,0,1,0,0,,0,,0,, ,Best,Yes. I'm on probation. I want to get off.,Probation,0,0,0,0,0,0,1,1,0,0,0,0,0,0,999,999,6,2,2,3,1, ,0,5,13,777,1,0,0,3,3,2,3,3,2,3,3, ,1,1,1,1,3,2,2,2,4,4,3,4,4,2,4,3,4,3, ,5,5,5,5,3,4,3,2,3,4,4,2,4,3, ,Best,1, ,1,12,0,,6,15,10,70,1,1,5,5,5,5,3,3,3, ,7,4,4,4,5,5,4,5,3,5,1,4,3,3,3, ,5,5,5,5,4,3,4,4,3,2,1,3,3,3,5, ,1,0,1,1,0,0.6,2, , , ,1,VOA,0,777,1,Best,1,Volunteers of America (GRYD),1, ,2,0,3,2,2,2,1,4,3,2,3,3,4, ,1,5,1,1,1,1,5,5,5,5, ,1,3,1,4,2,0,3,4, ,1,4,3,1,5,3,4,4, ,777,Newton 2-23-140-1,"1,13,2017","9,09,1999",1,4,4,1,9,Willing to learn, 
Newton 2-23-156-1,"1,13,2017",1,26,1,13,4, ,0,1,0,0,0,10,2,"VOA, programming",3,0,0,1,0,0,777,0,3,4,3,4, ,3,2,4,3,4,3,5,5,5,2,2,5,0,,0,,1,0,0,,0,, ,D,No I don't feel I am being pushed away,I want to be a better dad to my kids. I've been thinking of how to do that.,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,1, ,2,5,1,777,1,1,1,2,1,1,1,3,4,2,4, ,2,2,2,1,2,1,3,3,4,4,3,3,1,5,1,1,1,5, ,5,5,5,5,3,5,3,3,4,4,4,3,3,3, ,D,1, ,1,14,0,,6,15,9,55,1,1,4,4,4,4,5,7,3, ,4,4,4,4,4,4,4,5,3,3,3,3,3,3,3, ,5,5,5,5,4,3,4,3,3,3,4,4,2,3,5, ,1,1,1,1,0,0.8,2, , , ,1,VOA,0,777,1,VOA,1,Volunteers of America (GRYD),1, ,1,1,1,7,2,2,1,4,4,2,3,3,4, ,1,5,1,1,1,5,5,5,5,5, ,1,3,1,2,0,0,1,2, ,1,2,4,1,4,3,,4, ,777,Newton 2-23-156-1,"9,09,1999","9,09,1999",1,3,3,1,5,"CIW is determined to grow, and become a better person.", 
Newton 2-23-161-1,"1,13,2017",1,15,1,13,1, ,0,0,0,40,0,0,15,999,3,0,0,0,0,0,777,0,2,3,3,3, ,3,4,1,1,1,1,2,3,3,4,2,2,1,0,0,,0,,0,,0,, ,No group,777,777,0,999,0,999,0,999,1,999,0,999,0,999,0,999,0,999,3,2,0,1,999, ,,5,5,777,1,1,3,5,5,5,3,3,3,5,5, ,3,5,3,2,2,4,3,4,1,5,4,4,1,5,1,1,1,5, ,5,5,5,3,3,2,4,3,3,2,3,3,3,3, ,No group,0,1,0,,,,,,,,,777,,777,,,,,9, ,777,,777,,777,,,,,,,,,777,777, ,,,,,777,777,777,777,,,777,,777,777,, ,1,1,1,1,1,1,1,"9,09,1999",3:30:00,4:00:00,1,Classmates,1,VOA drawing workshop...,1,VOA,1,Volunteers of America (GRYD),1, ,3,0,5,0,2,2,2,3,3,4,3,3,3, ,1,5,1,1,1,4,2,1,1,2, ,2,2,2,9,0,9,0,0, ,3,2,0,4,0,2,0,Blank, ,777,Newton 2-23-161-1,"1,13,2017","9,09,1999",3,2,0,1,4,"Client has exhibited attitudes that are positive, and has expensed a willingness to change", 
Pacific-18-228-1,"1,14,2017",1,16,1,16,0, ,1,0,0,25,5,0,2,Counseling,0,0,0,1,0,0,777,0,2,2,2,2, ,1,4,1,1,1,4,2,5,5,1,1,5,0,,0,,0,,0,,0,, ,999,My girlfriend is having my baby,The same as I entered before. Having a baby.,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,1,2,1,1, ,0,5,3,777,1,3,7,5,4,4,4,4,4,4,5, ,5,5,2,4,3,5,4,4,4,4,4,4,1,5,1,1,1,5, ,5,1,5,2,5,2,4,4,2,2,4,4,2,2, ,Homies,1, ,1,15,,,6,21,14,52,1,888,3,3,3,3,3,5,3, ,999,4,4,4,4,4,4,4,2,2,4,2,2,2,4, ,5,1,5,3,3,2,3,4,2,2,4,3,2,2,5, ,1,0,0,0,0,0.2,2, , , ,1,School friends,0,777,0,777,1,Helper Foundation,1, ,2,1,4,4,1,0,1,5,3,4,3,3,4, ,2,4,2,2,2,4,2,1,2,1, ,2,3,1,4,1,3,0,0, ,2,2,0,4,0,4,4,Blank, ,777,Pacific-18-228-1, , , , , , , ,no page 17 completed, 
BVCB-0-88-3,"1,17,2017",1,21,1,22,3, ,1,0,0,9,9,14,7,Attending activities that are beneficial,7,2,2,1,1,1,"Financial stress, brother incarcerated",1,3,2,2,1, ,1,4,1,1,1,4,3,4,3,2,2,3,0,,0,,0,,0,,1,3, ,Group,Friends have gotten arrested,"Job, school, and famiy",0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,3,1,1, ,1,30,7,777,1,5,0,5,4,4,3,2,5,2,5, ,5,3,3,2,3,4,4,5,4,4,4,4,2,3,2,2,2,4, ,4,1,5,1,4,3,3,2,4,4,4,3,2,3, ,Group,1, ,1,13,1,14,4,30,13,50,1,0,0,0,1,0,0,0,0, ,3,2,2,1,1,1,3,2,4,2,3,2,3,2,3, ,1,1,2,1,4,4,5,4,2,1,2,4,1,4,1, ,0,1,1,0,1,0.6,2, , , ,1,Study group,0,777,0,777,1,No other group,0, ,,,,777,,,9,,,,,,, ,,,,,,777,,,,, ,2,0,9,1,1,9,0,0, ,1,2,0,1,2,3,3,Blank, ,777,BVCB-0-88-3, , , , , , , ,no page 17 completed, 
77th 2-13-1340-1,"1,17,2017",1,17,1,2,1, ,0,1,0,2,4,24,8,"Football, basketball, lacross, and boxing",7,3,3,1,0,1,Father moved to San Diego and he hasn't had communication with him in sometime [sic],1,3,4,2,1, ,3,3,3,2,2,4,4,4,3,1,1,3,0,,0,,0,,0,,0,, ,No group,777,777,1,0,0,0,0,0,1,1,1,1,0,0,0,1,0,0,2,2,0,1,0, ,3,10,3,777,1,0,0,4,5,3,2,3,4,1,5, ,5,2,5,2,5,4,3,4,4,4,4,4,3,3,3,2,2,3, ,3,5,4,2,5,3,3,4,4,3,2,1,4,5, ,No group,0,1,0,,,,,,,,,777,,777,,,,,9, ,777,,777,,777,,,,,,,,,777,777, ,,,,,777,777,777,777,,,777,,777,777,, ,0,1,1,0,1,0.6,2, , , ,1,Client plays sports but is not on a team at this time,0,777,0,777,0,No other group,0, ,,,,777,,,9,,,,,,, ,,,,,,777,,,,, ,1,2,2,4,4,9,2,3, ,2,3,2,1,0,4,3,Blank, ,777,77th 2-13-1340-1, , , , , , , ,no page 17 completed, 
Hollenbeck 3-20-118-2,"1,17,2017",1,16,1,9,2, ,0,0,0,7,1,0,0,777,3,1,1,0,0,1,Home problems,,2,3,3,2, ,2,4,2,3,3,3,2,3,3,3,3,3,0,,0,,0,,0,,0,, ,Homies,"Yes, some problems at home",No,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,2,1,0,1,2, ,0,20,,777,1,1,7,4,2,4,4,4,5,3,4, ,3,2,2,2,2,3,3,3,3,3,4,4,2,4,2,2,2,4, ,4,4,4,4,3,3,3,3,3,3,4,3,3,3, ,Homies,1, ,1,12,0,,3,25,13,29,1,1,1,1,3,0,1,1,1, ,4,3,2,2,2,3,3,3,2,3,3,3,3,3,3, ,3,3,3,2,2,2,2,2,4,4,4,2,4,2,4, ,1,1,1,0,0,0.6,2, , , ,0,777,0,777,0,777,0,No other group,0, ,,,,777,,,9,,,,,,, ,,,,,,777,,,,, ,3,1,9,0,0,9,2,2, ,3,2,2,2,1,4,2,Blank, ,777,Hollenbeck 3-20-118-2, , , , , , , ,no page 17 completed, 
Southeast 2-20-155-1,"1,17,2017",1,18,2,20,1, ,0,0,1,36,7,0,8,Hygiene,1,0,0,1,0,0,777,0,3,2,1,2, ,2,4,2,2,2,4,1,3,5,3,4,3,0,,0,,0,,0,,0,, ,No group,777,777,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,999,999,999,999,999, ,0,0,4,777,1,1,3,5,5,5,5,4,5,4,4, ,4,3,4,4,4,3,4,4,4,4,5,5,2,3,2,1,2,4, ,5,5,5,4,4,4,4,3,3,3,2,3,3,3, ,No group,0,1,0,,,,,,,,,777,,777,,,,,9, ,777,,777,,777,,,,,,,,,777,777, ,,,,,777,777,777,777,,,777,,777,777,, ,1,1,1,0,0,0.6,1,"1,19,2017", , ,1,School classmate,0,777,0,777,0,Classmate,1, ,5,5,5,2,1,2,3,3,3,2,2,2,5, ,3,1,3,3,3,3,3,3,4,3, ,2,3,3,2,1,0,0,0, ,4,1,0,4,3,3,3,Blank, ,777,Southeast 2-20-155-1, , , , , , , ,no page 17 completed, 
Southeast 2-20-138-1,"1,17,2017",1,23,1,20,1, ,0,0,0,0,0,35,8,Hygiene,3,1,1,1,0,0,777,0,2,2,3,2, ,1,4,1,1,2,5,3,4,3,3,5,2,0,,0,,0,,0,,0,, ,No group,777,777,0,0,0,0,0,0,0,1,0,999,0,0,1,0,0,0,1,999,2,999,999, ,0,5,3,777,1,2,3,3,2,3,4,3,4,4,4, ,4,2,3,4,3,3,3,4,4,5,5,5,3,2,3,2,2,2, ,5,2,5,3,4,4,3,3,4,3,2,3,3,3, ,No group,0,1,0,,,,,,,,,777,,777,,,,,9, ,777,,777,,777,,,,,,,,,777,777, ,,,,,777,777,777,777,,,777,,777,777,, ,1,0,1,0,0,0.4,1,"1,18,2017", , ,0,777,1,Volunteer SNL,0,777,1,SNL,1, ,4,5,4,1,3,2,1,3,2,3,4,4,5, ,4,3,2,2,3,2,4,3,2,3, ,3,2,1,3,3,4,4,0, ,4,1,0,1,1,3,4,Blank, ,777,Southeast 2-20-138-1,"1,18,2017","1,18,2017",1,3,1,4,1,Blank, 
FGSEARE-0-69-1,"1,17,2017",1,18,1,999,4, ,0,0,1,0,0,0,0,777,6,3,3,1,0,0,777,0,2,2,2,2, ,2,4,2,2,2,4,1,4,4,3,4,4,1,0,1,180,0,,0,,0,, ,No name,Wanting to help my family move to a better situation,Understanding who was really there for me.,0,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0,1,2,1,1,999, ,0,30,5,777,1,1,5,2,1,2,2,4,4,3,1, ,1,2,3,1,1,3,4,3,2,2,4,4,3,2,3,2,2,2, ,5,5,5,4,4,3,2,3,5,2,4,2,2,3, ,No group,0,4,0,,,,,,,,,777,,777,,,,,9, ,777,,777,,777,,,,,,,,,777,777, ,,,,,777,777,777,777,,,777,,777,777,, ,1,0,1,0,0,0.4,2, , , ,0,777,0,777,0,777,0,No other group,0, ,,,,777,,,9,,,,,,, ,,,,,,777,,,,, ,1,0,0,0,0,0,0,0, ,4,2,1,4,1,3,3,Blank, ,777,FGSEARE-0-69-1, , , , , , , ,no page 17 completed, 
Foothill-14-297-1,"1,18,2017",1,17,1,5,1, ,1,1,0,4,1,20,0,777,4,0,0,0,0,0,777,0,2,2,3,1, ,1,4,1,1,1,4,1,2,1,2,2,2,1,0,0,,0,,0,,0,, ,No group,Nothing,No,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,3,1,0,0, ,3,10,19,777,1,5,6,5,4,5,5,5,5,5,5, ,5,4,4,5,4,5,5,4,4,4,4,4,1,4,1,1,1,4, ,5,5,5,2,4,2,4,4,3,3,3,4,2,4, ,No group,0,1,0,,,,,,,,,777,,777,,,,,9, ,777,,777,,777,,,,,,,,,777,777, ,,,,,777,777,777,777,,,777,,777,777,, ,0,1,1,0,0,0.4,2, , , ,1,School friends,0,777,0,777,0,School friends,1, ,4,4,2,3,0,1,0,4,4,3,3,3,3, ,3,3,2,2,2,3,3,2,5,3, ,3,0,0,0,0,9,3,3, ,2,2,3,3,2,5,2,Blank, ,777,Foothill-14-297-1, , , , , , , ,no page 17 completed, 
Foothill-14-308-1,"1,18,2017",1,17,1,5,1, ,0,0,1,35,0,0,4,Working with sound systems on Sundays at church,5,1,1,0,0,1,Losing my groups,0,3,2,2,2, ,2,4,2,2,2,4,3,2,2,3,2,3,1,0,0,,0,,0,,0,, ,No group,777,777,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,7,4,6,13,1, ,0,5,5,777,1,3,7,5,5,5,5,5,4,5,5, ,4,3,4,3,3,5,4,4,2,4,5,5,2,4,1,2,2,4, ,4,1,4,2,4,2,4,5,2,2,2,4,3,4, ,No group,0,1,0,,,,,,,,,777,,777,,,,,9, ,777,,777,,777,,,,,,,,,777,777, ,,,,,777,777,777,777,,,777,,777,777,, ,0,0,0,0,0,0,2, , , ,1,School friends,0,777,0,777,0,No other group,0, ,,,,777,,,9,,,,,,, ,,,,,,777,,,,, ,2,9,9,9,9,9,1,0, ,3,2,2,4,1,3,3,Not sure, ,777,Foothill-14-308-1, , , , , , , ,no page 17 completed, 
